,file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,event_chr,histories,n_events,is_event_cluster,n_path_diff,approximated_distance,n_approximated_edges,karsim_missed_transition,n_karsim_missed_transition,n_omkar_missed_transition,SV_missed,CNV_missed,log10_CNV_missed,n_dummies,n_leftover_dummies,n_seg_changed,n_leftover_segchange,n_significant_dummies,n_leftover_significant_dummies,n_significant_seg_change,n_leftover_significant_seg_change,dummy_distance,n_initial_SVs,preILP_similar_SV,n_preILP_similar_SV
45,23X_1q21_recurrent_microduplication_r2,0,1,['Chr3'],2,1,1083545,"[1049631, 33914]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']","{'deletion': 1, 'left duplication inversion': 1}",2,True,-1,0,0,"[('Chr3', 66004585, 'Chr3', 67187238)]",1,1,2,387309693,8.588058365986177,0,0,0,0,0,0,0,0,[],1,"[('Chr3', 65902850, 'Chr3', 67190427)]",1
46,23X_1q21_recurrent_microduplication_r2,1,1,['Chr4'],2,1,383186730,"[192992175, 190194555]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{'right duplication inversion': 2},2,True,-1,0,0,"[('Chr4', 10000, 'Chr4', 1767591), ('Chr4', 108043767, 'Chr4', 109512826)]",2,2,4,373527335,8.572322389298062,1,0,1,0,1,0,1,0,[1273496],2,"[('Chr4', 12986, 'Chr4', 1818081)]",1
106,23X_22q11-2_distal_deletion_r2,8,1,['Chr11'],2,3,10088977,"[6067305, 4021672]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'left duplication inversion': 1},1,True,1,29934,3,[],0,0,0,12072565,7.081799552367296,0,0,0,0,0,0,0,0,[],0,[],0
154,23X_Angelman_r2,11,1,['Chr14'],2,1,2696,"[1348, 1348]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr10', 'Chr14', 'Chr15', 'Chr16']",{'left duplication inversion': 1},1,True,-1,34148,4,[],0,0,0,177454524,8.24908707566553,0,0,1,0,0,0,1,0,[],1,[],0
167,23X_Angelman_r2,5,2,"['Chr5', 'Chr8']",4,3,268085,"[255159, 12926]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr10', 'Chr14', 'Chr15', 'Chr16']","{'left duplication inversion': 1, 'balanced reciprocal translocation': 2, 'inversion': 1}",4,True,-1,56704,14,[],0,0,0,286390936,8.456959268847147,0,0,1,0,0,0,1,0,[],7,[],0
184,23X_Cri_du_Chat_r1,2,1,['Chr5'],1,2,482396,"[89984, 392412]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr16', 'Chr20']","{'deletion': 1, 'chromosomal deletion': 1}",2,True,1,0,0,[],0,1,1,420986,5.624267653498748,1,1,1,0,1,1,1,0,[181047274],0,[],0
189,23X_Cri_du_Chat_r1,6,3,"['Chr3', 'Chr4', 'Chr9']",6,5,792411093,"[109270767, 265505767, 27364498, 241558829, 139196416, 9514816]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr16', 'Chr20']","{'left duplication inversion': 2, 'right duplication inversion': 2, 'nonreciprocal translocation': 2, 'tandem duplication': 1}",7,True,-1,269835,22,"[('Chr9', 16140423, 'Chr9', 20180540), ('Chr9', 101869534, 'Chr9', 111314623)]",2,3,5,75127650,7.875799804279736,4,1,1,0,4,1,0,0,"[9213644, 81765692, 10275364, 110952900]",10,"[('Chr9', 16144121, 'Chr9', 20186111)]",1
198,23X_Cri_du_Chat_r2,13,1,['Chr15'],2,1,163900349,"[163875138, 25211]","['Chr1', 'Chr3', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr10', 'Chr10', 'Chr11', 'Chr15', 'Chr18']",{'right duplication inversion': 1},1,True,-1,2,2,[],0,1,1,145829027,8.163843978105522,1,0,0,0,1,0,0,0,[9015125],0,[],0
214,23X_Cri_du_Chat_r2,9,2,"['Chr10', 'Chr11']",5,4,561934814,"[126999146, 300870288, 1214889, 132843435, 7056]","['Chr1', 'Chr3', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr10', 'Chr10', 'Chr11', 'Chr15', 'Chr18']","{'tandem duplication': 2, 'chromosomal duplication': 1, 'right duplication inversion': 1, 'nonreciprocal translocation': 1}",5,True,-1,446573,31,"[('Chr10', 120399824, 'Chr10', 125828590)]",1,7,8,29719795,7.473045809439956,2,1,1,0,2,1,1,0,"[125528074, 5971432]",7,"[('Chr10', 120400468, 'Chr10', 125829449)]",1
286,23X_Xp11_22_Microduplication_r2,4,1,['Chr8'],2,1,288951930,"[145018636, 143933294]","['Chr1', 'Chr3', 'Chr4', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr17', 'Chr20', 'ChrX']",{'inversion': 1},1,True,-1,7838,2,[],0,0,0,285275532,8.455264523942116,0,0,1,0,0,0,1,0,[],1,[],0
