chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path1 : 1	1	7080315	p36.31	gneg	p36	Path1	+	1	True	5300000	7100000	gneg	0	Path1 : 1	1	p36.3	gneg
Path1 : 1	7080315	15880313	p36.21	gpos50	p36	Path1	+	1	True	15553792	15900000	gneg	0	Path1 : 1	1	p36.2	gpos50
Path1 : 1	15880313	27580313	p36.11	gneg	p36	Path1	+	1	True	23600000	27600000	gneg	0	Path1 : 1	1	p36.1	gneg
Path1 : 1	27580313	34280313	p35.1	gpos25	p35	Path1	+	1	True	32300000	34300000	gpos25	0	Path1 : 1	1	p35	gpos25
Path1 : 1	34280313	39580313	p34.3	gneg	p34	Path1	+	1	True	34300000	39600000	gneg	0	Path1 : 1	1	p34.3	gneg
Path1 : 1	39580313	43680313	p34.2	gpos25	p34	Path1	+	1	True	39600000	43700000	gneg	0	Path1 : 1	1	p34.2	gpos25
Path1 : 1	43680313	46280313	p34.1	gneg	p34	Path1	+	1	True	43700000	46300000	gneg	0	Path1 : 1	1	p34.1	gneg
Path1 : 1	46280313	50180313	p33	gpos75	p33	Path1	+	1	True	46300000	50200000	gpos75	0	Path1 : 1	1	p33	gpos75
Path1 : 1	50180313	60780313	p32.1	gneg	p32	Path1	+	1	True	58500000	60800000	gneg	0	Path1 : 1	1	p32	gneg
Path1 : 1	60780313	84380311	p31.1	gpos100	p31	Path1	+	1	True	77371001	84400000	gpos100	0	Path1 : 1	1	p31	gpos100
Path1 : 1	84380311	94280311	p22.1	gneg	p22	Path1	+	1	True	91500000	94300000	gneg	0	Path1 : 1	1	p22	gneg
Path1 : 1	94280311	106680311	p21.1	gpos100	p21	Path1	+	1	True	101800000	106700000	gpos75	0	Path1 : 1	1	p21	gpos100
Path1 : 1	106680311	117180311	p13.1	gneg	p13	Path1	+	1	True	115500000	117200000	gneg	0	Path1 : 1	1	p13	gneg
Path1 : 1	117180311	120380311	p12	gpos50	p12	Path1	+	1	True	117200000	120400000	gpos50	0	Path1 : 1	1	p12	gpos575
Path1 : 1	120380311	123380311	p11.1	acen	p11	Path1	+	1	True	121700000	123400000	acen	0	Path1 : 1	1	p11	acen
Path1 : 1	123380311	125080311	q11	acen	q11	Path1	+	1	True	123400000	125100000	acen	0	Path1 : 1	1	q11	acen
Path1 : 1	125080311	143180311	q12	gvar	q12	Path1	+	1	True	125100000	143200000	gvar	0	Path1 : 1	1	q12	gpos100
