0	1	0.0	2	H	[1]
1	1	146327104.0	2	T	[0, 2]
2	1	146327105.0	2	H	[1, 3, 4]
3	1	149352353.0	2	T	[2, 4]
4	1	149352354.0	2	H	[2, 3, 5]
5	1	248943333.0	2	T	[4]
6	2	0	2	H	[7]
7	2	242181357	2	T	[6]
8	3	17438	2	H	[9]
9	3	160944331	2	T	[8, 10]
10	3	160953070.0	2	H	[9, 11]
11	3	163446499.0	2	T	[10, 12]
12	3	163447624	2	H	[11, 13]
13	3	198217553	2	T	[12]
14	4	0	2	H	[15]
15	4	190202564	2	T	[14]
16	5	0	2	H	[17]
17	5	181472714	2	T	[16]
18	6	0	2	H	[19]
19	6	170739897	2	T	[18]
20	7	0	2	H	[21]
21	7	159334984	2	T	[20]
22	8	0	2	H	[23]
23	8	145076125	2	T	[22]
24	9	0.0	2	H	[25]
25	9	39822667.0	2	T	[24, 26, 29]
26	9	39822668.0	2	H	[25, 27]
27	9	39875145.0	2	T	[26, 28]
28	9	39875146.0	2	H	[34, 27, 29]
29	9	41293385.0	2	T	[25, 28, 30, 31]
30	9	41293386.0	2	H	[29, 31]
31	9	42512240.0	2	T	[32, 29, 30]
32	9	42512241.0	2	H	[33, 31]
33	9	42568104.0	2	T	[32, 34]
34	9	42568105.0	2	H	[33, 35, 28]
35	9	138334464.0	2	T	[34]
36	10	0	2	H	[37]
37	10	133785266	2	T	[36]
38	11	0	2	H	[39]
39	11	135069565	2	T	[38]
40	12	0	2	H	[41]
41	12	133263960	2	T	[40]
42	13	0	2	H	[43]
43	13	114352102	2	T	[42]
44	14	0	2	H	[45]
45	14	106873282	2	T	[44]
46	15	0.0	2	H	[47]
47	15	23322186.0	2	T	[48, 46]
48	15	23322187.0	2	H	[49, 50, 47]
49	15	28338926.0	2	T	[48, 50]
50	15	28338927.0	2	H	[48, 49, 51]
51	15	101976509.0	2	T	[50]
52	16	19375.0	2	H	[53]
53	16	21502977.5	2	T	[57, 52, 54]
54	16	21502978.5	2	H	[58, 53, 55]
55	16	21557960.0	2	T	[56, 59, 54]
56	16	21557961.0	2	H	[57, 55]
57	16	22436123.5	2	T	[56, 58, 53]
58	16	22436124.5	2	H	[57, 59, 54]
59	16	22708167.0	2	T	[58, 60, 55]
60	16	22708168.0	2	H	[59, 61]
61	16	35212604.0	2	T	[60, 62]
62	16	35227666.0	3	H	[61, 62, 63]
63	16	35472809.0	3	T	[64, 62]
64	16	35476071	2	H	[65, 63]
65	16	90220072	2	T	[64]
66	17	0.0	2	H	[67]
67	17	16806183.0	2	T	[66, 68, 69]
68	17	16806184.0	2	H	[67, 69]
69	17	18509508.0	2	T	[67, 68, 70]
70	17	18509509.0	2	H	[69, 71]
71	17	45568280.0	2	T	[72, 73, 70]
72	17	45568281.0	2	H	[73, 71]
73	17	46495155.0	2	T	[72, 74, 71]
74	17	46495156.0	2	H	[73, 75]
75	17	83246392.0	2	T	[74]
76	18	0	2	H	[77]
77	18	80256374	2	T	[76]
78	19	0	2	H	[79]
79	19	58605715	2	T	[78]
80	20	0	2	H	[81]
81	20	64333718	2	T	[80]
82	21	0	2	H	[83]
83	21	46697230	2	T	[82]
84	22	0.0	2	H	[85]
85	22	18876658.0	2	T	[84, 86]
86	22	18876659.0	2	H	[88, 85, 87]
87	22	21188290.5	2	T	[88, 86]
88	22	21188291.5	2	H	[89, 86, 87]
89	22	50805587.0	2	T	[88]
90	23	0	1	H	[91]
91	23	156025612	1	T	[90]
92	24	0	1	H	[93]
93	24	57212132	1	T	[92]
