chr	start	end
Path1 : 1	1	248943333
Path2 : 1	1	248943333
Path3 : 2	1	242181357
Path4 : 2	1	242181357
Path5 : 3	1	198194922
Path6 : 3	1	193836586
Path7 : 4	1	190202564
Path8 : 4	1	190202564
Path10 : 5	1	441159367
Path9 : 5	1	181324716
Path14 : 6	1	170739893
Path16 : der(6)t(6;9)	1	165316018
Path17 : 7	1	159334984
Path18 : 7	1	159334984
Path11 : 8	1	145076122
Path13 : der(8)t(6;8)	1	154572766
Path12 : der(9)t(6;9)	1	134219933
Path15 : 9	1	138292702
Path19 : 10	1	133785264
Path20 : 10	1	133785264
Path21 : 11	1	135069565
Path22 : 11	1	135069565
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	98296677
Path26 : 13	1	105557811
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	101976509
Path30 : 15	1	101976509
Path31 : 16	1	90224751
Path32 : 16	1	90224751
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80218689
Path36 : 18	1	83486591
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : Y	1	57212132
