0	1	0.0	2	H	[1]
1	1	166521145.5	2	T	[0, 2, 3]
2	1	166521146.5	2	H	[1, 3, 4]
3	1	173731347.0	2	T	[1, 2, 4]
4	1	173731348.0	2	H	[2, 3, 5]
5	1	248943333.0	2	T	[4]
6	2	15925.0	2	H	[7]
7	2	114361602.5	2	T	[8, 10, 6]
8	2	114361603.5	2	H	[9, 11, 7]
9	2	132443160.5	2	T	[8, 10, 12]
10	2	132443161.5	2	H	[9, 11, 7]
11	2	139345651.0	2	T	[8, 10, 12]
12	2	139345652.0	2	H	[9, 11, 13]
13	2	159654659.5	2	T	[34, 12, 14]
14	2	159654660.5	2	H	[33, 13, 15]
15	2	165391384.5	2	T	[16, 36, 14]
16	2	165391385.5	2	H	[17, 35, 15]
17	2	237185586.0	2	T	[16, 18]
18	2	237185587.0	3	H	[17, 19]
19	2	242181357.0	3	T	[18]
20	3	0.0	2	H	[21]
21	3	155953510.0	2	T	[26, 20, 22]
22	3	155953511.0	2	H	[25, 21, 23]
23	3	160790039.0	2	T	[24, 28, 22]
24	3	160790040.0	2	H	[25, 27, 23]
25	3	175291114.25	2	T	[24, 26, 22]
26	3	175291115.25	2	H	[25, 27, 21]
27	3	182906583.0	2	T	[24, 26, 28]
28	3	182906584.0	2	H	[27, 29, 23]
29	3	198230596.0	2	T	[28]
30	4	0	2	H	[31]
31	4	190202564	2	T	[30]
32	5	19315.0	2	H	[33]
33	5	36297604.5	2	T	[32, 34, 14]
34	5	36297605.5	2	H	[33, 35, 13]
35	5	42036817.5	2	T	[16, 34, 36]
36	5	42036818.5	2	H	[35, 37, 15]
37	5	65692386.0	2	T	[36, 38]
38	5	65695185.666666664	3	H	[40, 37, 39]
39	5	67854335.0	3	T	[40, 38, 39]
40	5	67867511.5	2	H	[41, 38, 39]
41	5	181472713.0	2	T	[40]
42	6	76216.0	1	H	[43]
43	6	32763937.0	1	T	[42, 44]
44	6	32763938.0	1	H	[43, 45]
45	6	58445657.0	1	T	[44, 46]
46	6	59282244.0	1	H	[45, 47]
47	6	118099240.0	1	T	[48, 46]
48	6	118105278.0	1	H	[49, 47]
49	6	170739897.0	1	T	[48]
50	7	0.0	2	H	[51]
51	7	85999283.0	2	T	[50, 52, 90]
52	7	85999284.0	2	H	[91, 51, 53]
53	7	159334984.0	2	T	[52]
54	8	61805.0	3	H	[55]
55	8	6971580.0	3	T	[56, 54]
56	8	6990740	2	H	[57, 55]
57	8	145076124	2	T	[56]
58	9	14567	2	H	[59]
59	9	264300.0	2	T	[58, 60]
60	9	264301.0	1	H	[59, 61]
61	9	30657886.0	1	T	[60, 62]
62	9	30659355.0	1	H	[61, 63]
63	9	43279152.0	1	T	[64, 62]
64	9	43279153	2	H	[65, 63]
65	9	138334463	2	T	[64]
66	10	18515	2	H	[67]
67	10	11294501.0	2	T	[66, 68, 70]
68	10	11294502.0	1	H	[67, 69]
69	10	15249379.0	1	T	[68, 70]
70	10	15249380.0	2	H	[67, 69, 71]
71	10	25144555.0	2	T	[72, 82, 70]
72	10	25144556.0	2	H	[73, 83, 71]
73	10	32656336.0	2	T	[72, 74]
74	10	32656337.0	2	H	[73, 75, 85]
75	10	35776459.0	2	T	[74, 76, 86]
76	10	35776460.0	2	H	[75, 77]
77	10	133785265.0	2	T	[76]
78	11	0	2	H	[79]
79	11	135069565	2	T	[78]
80	12	0.0	2	H	[81]
81	12	72157988.0	2	T	[80, 82, 84]
82	12	72157989.0	2	H	[81, 83, 71]
83	12	81109358.5	2	T	[72, 82, 84]
84	12	81109359.5	2	H	[81, 83, 85]
85	12	98528491.75	2	T	[74, 84, 86]
86	12	98528492.75	2	H	[75, 85, 87]
87	12	133263960.0	2	T	[86]
88	13	0.0	2	H	[89]
89	13	93267175.0	2	T	[88, 90, 92]
90	13	93267176.0	2	H	[89, 91, 51]
91	13	99037412.0	2	T	[90, 92, 52]
92	13	99037413.0	2	H	[89, 91, 93]
93	13	114352102.0	2	T	[92]
94	14	0	2	H	[95]
95	14	106873282	2	T	[94]
96	15	0.0	2	H	[97]
97	15	30766282.0	2	T	[96, 98]
98	15	30766283.0	2	H	[97, 99, 100]
99	15	31639515.0	2	T	[98, 100]
100	15	31639516.0	2	H	[98, 99, 101]
101	15	101976509.0	2	T	[100]
102	16	0	2	H	[103]
103	16	90224751	2	T	[102]
104	17	0	2	H	[105]
105	17	83246392	2	T	[104]
106	18	0	2	H	[107]
107	18	80256374	2	T	[106]
108	19	0	2	H	[109]
109	19	58605715	2	T	[108]
110	20	70157	2	H	[111]
111	20	286085.0	2	T	[112, 110]
112	20	286086.0	3	H	[113, 111]
113	20	6057095.0	3	T	[112, 114]
114	20	6057096	2	H	[113, 115]
115	20	64333717	2	T	[114]
116	21	0	2	H	[117]
117	21	46697230	2	T	[116]
118	22	0	2	H	[119]
119	22	50805587	2	T	[118]
120	23	11555	2	H	[121]
121	23	6441087.0	2	T	[120, 122, 124]
122	23	6441088.0	1	H	[121, 123]
123	23	8165704.0	1	T	[122, 124]
124	23	8165705	2	H	[121, 123, 125]
125	23	156025611	2	T	[124]
126	24	0	0	H	[127]
127	24	57212132	0	T	[126]
