Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 1,16,112,1,1,25604756.0,26945099.0,1.0,inversion,1335797.0,0,[]
Segment 1,7,111,1,1,25604756.0,26945099.0,1.0,inversion,1335797.0,0,[]
Segment 2,16,112,1,1,25604756.0,26945099.0,1.0,inversion,1335797.0,0,['Path 7']
Segment 2,18,111,1,1,25609302.0,26971954.0,1.0,inversion,1335797.0,0,[]
Segment 2,20,112,1,1,25609302.0,26971954.0,1.0,inversion,1335797.0,0,[]
Segment 2,7,111,1,1,25604756.0,26945099.0,1.0,inversion,1335797.0,0,[]
Segment 3,18,111,1,1,25609302.0,26971954.0,1.0,inversion,1335797.0,0,['Path 7']
Segment 3,20,112,1,1,25609302.0,26971954.0,1.0,inversion,1335797.0,0,[]
Segment 4,160,1160,1,1,147057352.0,148342632.0,-1.0,duplication_split,1341598.0,0,"['Path 1', 'Path 7', 'Path 7', 'Path 7']"
Segment 5,234,261,1,7,244449278.5,136597879.0,0.19,translocation_interchr,-1.0,0,[]
Segment 5,259,262,1,7,244449278.5,136597879.0,0.22,translocation_interchr,-1.0,0,[]
Segment 6,264,1171,1,7,245922142.5,138466454.0,0.79,translocation_interchr,-1.0,0,['Path 3']
Segment 6,260,161,1,7,244462048.0,136595150.0,0.9,translocation_interchr,-1.0,0,[]
Segment 6,263,162,1,7,244462048.0,136595150.0,0.33,translocation_interchr,-1.0,0,[]
Segment 7,266,1222,1,7,245930011.5,138457419.0,0.68,translocation_interchr,-1.0,0,['Path 2']
Segment 7,269,1221,1,7,245930011.5,138457419.0,0.89,translocation_interchr,-1.0,0,[]
Segment 8,301,11,2,13,56053297.0,21066539.0,0.22,translocation_interchr,-1.0,0,[]
Segment 8,326,12,2,13,56053297.0,21066539.0,0.42,translocation_interchr,-1.0,0,[]
Segment 9,368,372,2,13,56053297.0,21066539.0,0.29,translocation_interchr,-1.0,0,['Path 5']
