index	origin	start	end
1	Chr1	10000	22901573
2	Chr1	22901574	22901574
3	Chr1	22901575	24341762
4	Chr1	24341763	37390241
5	Chr1	37390242	39919584
6	Chr1	39919585	122026459
CEN1	Chr1	122026460	125184587
7	Chr1	125184588	248946421
8	Chr2	10000	81691027
9	Chr2	81691028	84648669
10	Chr2	84648670	92188145
CEN2	Chr2	92188146	94090557
11	Chr2	94090558	242183528
12	Chr3	10000	7602310
13	Chr3	7602311	9291997
14	Chr3	9291998	90772458
CEN3	Chr3	90772459	93655574
15	Chr3	93655575	198235558
16	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
17	Chr4	51743952	190204554
18	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
19	Chr5	50059808	154522854
20	Chr5	154522855	156417746
21	Chr5	156417747	181478258
22	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
23	Chr6	59829935	170745978
24	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
25	Chr7	60828235	69355347
26	Chr7	69355348	70743087
27	Chr7	70743088	92416859
28	Chr7	92416860	93653260
29	Chr7	93653261	159335972
30	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
31	Chr8	45877266	145078635
32	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
33	Chr9	45518559	84894202
34	Chr9	84894203	87737333
35	Chr9	87737334	138334716
36	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
37	Chr10	41593522	133787421
38	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
39	Chr11	54425075	135076621
40	Chr12	10000	1692252
41	Chr12	1692253	3997839
42	Chr12	3997840	34769407
CEN12	Chr12	34769408	37185252
43	Chr12	37185253	98261820
44	Chr12	98261821	99907990
45	Chr12	99907991	117609329
46	Chr12	117609330	120254017
47	Chr12	120254018	130620621
48	Chr12	130620622	133265308
49	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
50	Chr13	18051249	25657299
51	Chr13	25657300	28566259
52	Chr13	28566260	30635827
53	Chr13	30635828	33123050
54	Chr13	33123051	114354327
55	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
56	Chr14	18173524	106883717
57	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
58	Chr15	19725255	58376186
59	Chr15	58376187	59817930
60	Chr15	59817931	61131975
61	Chr15	61131976	101981188
62	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
63	Chr16	38280683	90228344
64	Chr17	60000	16869757
65	Chr17	16869758	20318836
66	Chr17	20318837	22813679
CEN17	Chr17	22813680	26885980
67	Chr17	26885981	69555054
68	Chr17	69555055	72461663
69	Chr17	72461664	80340832
70	Chr17	80340833	83247440
71	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
72	Chr18	20861207	80263284
73	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
74	Chr19	27190875	58607615
75	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
76	Chr20	30038349	64334166
77	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
78	Chr21	12915809	46699982
79	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
80	Chr22	15054319	50808467
81	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
82	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2+,3+,4+,5+,6+,CEN1+,7+	10000	10000
Chr1b	1+,59+,34+,4+,9+,6+,CEN1+,7+	10000	10000
Chr2a	8+,9+,10+,CEN2+,11+	10000	10000
Chr2b	8+,5+,10+,CEN2+,11+	10000	10000
Chr3a	12+,13+,14+,CEN3+,15+	10000	60000
Chr3b	12+,13+,13-,14+,CEN3+,15+	10000	60000
Chr4a	16+,CEN4+,17+	10000	10000
Chr4b	16+,CEN4+,17+	10000	10000
Chr4c	CEN4+,17+	10000	10000
Chr5a	18+,CEN5+,19+,20-,20+,21+	10000	60000
Chr5b	18+,CEN5+,19+,20+,21+	10000	60000
Chr6a	22+,CEN6+,23+	60000	60000
Chr6b	22+,CEN6+,23+	60000	60000
