index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	147061831
3	Chr1	147061832	148411223
4	Chr1	148411224	248946421
5	Chr2	10000	12928515
6	Chr2	12928516	14346812
7	Chr2	14346813	52111175
8	Chr2	52111176	52860493
9	Chr2	52860494	92188145
CEN2	Chr2	92188146	94090557
10	Chr2	94090558	242183528
11	Chr3	10000	50853235
12	Chr3	50853236	50853236
13	Chr3	50853237	55880917
14	Chr3	55880918	57601739
15	Chr3	57601740	58416046
16	Chr3	58416047	60275523
17	Chr3	60275524	88533778
18	Chr3	88533779	89262745
19	Chr3	89262746	90772458
CEN3	Chr3	90772459	93655574
20	Chr3	93655575	198235558
21	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
22	Chr4	51743952	175411955
23	Chr4	175411956	176467335
24	Chr4	176467336	190204554
25	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
26	Chr5	50059808	181478258
27	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
28	Chr6	59829935	139612236
29	Chr6	139612237	140923008
30	Chr6	140923009	170745978
31	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
32	Chr7	60828235	159335972
33	Chr8	60000	37174487
34	Chr8	37174488	38467277
35	Chr8	38467278	44033744
CEN8	Chr8	44033745	45877265
36	Chr8	45877266	66829428
37	Chr8	66829429	67573925
38	Chr8	67573926	144334139
39	Chr8	144334140	145078635
40	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
41	Chr9	45518559	138334716
42	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
43	Chr10	41593522	133787421
44	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
45	Chr11	54425075	130317615
46	Chr11	130317616	132138677
47	Chr11	132138678	135076621
48	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
49	Chr12	37185253	133265308
50	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
51	Chr13	18051249	114354327
52	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
53	Chr14	18173524	106883717
54	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
55	Chr15	19725255	101981188
56	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
57	Chr16	38280683	58230289
58	Chr16	58230290	59377917
59	Chr16	59377918	90228344
60	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
61	Chr17	26885981	83247440
62	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
63	Chr18	20861207	31097291
64	Chr18	31097292	31944597
65	Chr18	31944598	56773509
66	Chr18	56773510	58658359
67	Chr18	58658360	80263284
68	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
69	Chr19	27190875	58607615
70	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
71	Chr20	30038349	64334166
72	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
73	Chr21	12915809	27035970
74	Chr21	27035971	27681310
75	Chr21	27681311	46699982
76	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
77	Chr22	15054319	50808467
78	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
79	ChrX	62412543	146839252
80	ChrX	146839253	148696711
81	ChrX	148696712	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,3+,3+,4+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+	10000	10000
Chr2a	5+,7+,8+,8+,9+,CEN2+,10+	10000	10000
Chr2b	5+,6+,7+,8+,9+,CEN2+,10+	10000	10000
Chr3a	11+,29+,12+,13+,14+,14-,15+,16-,16+,17+,18+,18+,19+,CEN3+,20+	10000	60000
Chr3b	11+,12+,13+,14+,15+,16+,17+,18+,19+,CEN3+,20+	10000	60000
Chr4a	21+,CEN4+,22+,23-,24+	10000	10000
Chr4b	21+,CEN4+,22+,23+,24+	10000	10000
Chr5a	25+,CEN5+,26+	10000	60000
Chr5b	25+,CEN5+,26+	10000	60000
Chr6a	27+,CEN6+,28+,30+	60000	60000
Chr6b	27+,CEN6+,28+,29+,30+	60000	60000
Chr7a	31+,CEN7+,32+	10000	10000
Chr7b	31+,CEN7+,32+	10000	10000
Chr8a	33+,34+,34+,35+,CEN8+,36+,37+,38+	60000	60000
Chr8b	33+,34+,35+,CEN8+,36+,37+,38+,39+	60000	60000
Chr9a	40+,CEN9+,41+	10000	60000
Chr9b	40+,CEN9+,41+	10000	60000
Chr10a	42+,CEN10+,43+	10000	10000
Chr10b	42+,CEN10+,43+	10000	10000
Chr11a	44+,CEN11+,45+,46-,47+	60000	10000
Chr11b	44+,CEN11+,45+,46+,47+	60000	10000
Chr12a	48+,CEN12+,49+	10000	10000
Chr12b	48+,CEN12+,49+	10000	10000
Chr13a	50+,CEN13+,51+	16000000	10000
Chr13b	50+,CEN13+,51+	16000000	10000
Chr14a	52+,CEN14+,53+	16000000	160000
Chr14b	52+,CEN14+,53+	16000000	160000
Chr15a	54+,CEN15+,55+	17000000	10000
Chr15b	54+,CEN15+,55+	17000000	10000
Chr16a	56+,CEN16+,57+,58+,58-,59+	10000	110000
Chr16b	56+,CEN16+,57+,58+,59+	10000	110000
Chr17a	60+,CEN17+,61+	60000	10000
Chr17b	60+,CEN17+,61+	60000	10000
Chr18a	62+,CEN18+,63+,64-,65+,66+,66+,67+	10000	110000
Chr18b	62+,CEN18+,63+,64+,65+,66+,67+	10000	110000
Chr19a	68+,CEN19+,69+	60000	10000
Chr19b	68+,CEN19+,69+	60000	10000
Chr20a	70+,CEN20+,71+	60000	110000
Chr20b	70+,CEN20+,71+	60000	110000
Chr21a	72+,CEN21+,73+,74+,74-,75+	5010000	10000
Chr21b	72+,CEN21+,73+,74+,75+	5010000	10000
Chr22a	76+,CEN22+,77+	10510000	10000
Chr22b	76+,CEN22+,77+	10510000	10000
ChrXa	78+,CENX+,79+,80+,80+,81+	10000	10000
ChrXb	78+,CENX+,79+,80+,81+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: 1q21_recurrent_microduplication
	tandem_duplication on segments [3+], from Chr1a to Chr1a
block 2: random events
	deletion on segments [6+], from Chr2a to Chr2a
	right duplication inversion on segments [14+], from Chr3a to Chr3a
	right duplication inversion on segments [58+], from Chr16a to Chr16a
	tandem duplication on segments [8+], from Chr2a to Chr2a
	tandem duplication on segments [66+], from Chr18a to Chr18a
	tandem duplication on segments [80+], from ChrXa to ChrXa
	left duplication inversion on segments [16+], from Chr3a to Chr3a
	deletion on segments [39+], from Chr8a to Chr8a
	right duplication inversion on segments [74+], from Chr21a to Chr21a
	inversion on segments [46+], from Chr11a to Chr11a
	nonreciprocal translocation on segments [29+], from Chr6a to Chr3a
	tandem duplication on segments [18+], from Chr3a to Chr3a
	inversion on segments [23+], from Chr4a to Chr4a
	inversion on segments [64+], from Chr18a to Chr18a
	tandem duplication on segments [34+], from Chr8a to Chr8a
