0	1	14454.0	2	H	[1]
1	1	174250945.75	2	T	[0, 2, 4]
2	1	174251833.0	1	H	[1, 3]
3	1	183913155.0	1	T	[2, 4]
4	1	183913156.0	1	H	[1, 3, 5]
5	1	183983331.0	1	T	[4, 6]
6	1	183983332	2	H	[5, 7]
7	1	248943332	2	T	[6]
8	2	0	2	H	[9]
9	2	242181357	2	T	[8]
10	3	12920.0	2	H	[11]
11	3	101965410.0	2	T	[10, 12, 15]
12	3	101965411.0	2	H	[11, 13]
13	3	102019482.0	2	T	[12, 14]
14	3	102019483.0	3	H	[13, 14, 15]
15	3	105161596.0	3	T	[16, 11, 14]
16	3	105171802	2	H	[17, 15]
17	3	198230595	2	T	[16]
18	4	0	2	H	[19]
19	4	190202564	2	T	[18]
20	5	0.0	2	H	[21]
21	5	91750293.33333333	2	T	[20, 22, 23]
22	5	91750294.33333333	2	H	[24, 21, 23]
23	5	97635381.5	2	T	[24, 21, 22]
24	5	97635382.5	2	H	[25, 22, 23]
25	5	181472714.0	2	T	[24]
26	6	0.0	2	H	[27]
27	6	72402100.5	2	T	[72, 26, 28]
28	6	72402101.5	2	H	[27, 29, 71]
29	6	77168795.5	2	T	[74, 28, 30]
30	6	77168796.5	2	H	[73, 29, 31]
31	6	170739897.0	2	T	[30]
32	7	0	2	H	[33]
33	7	159334984	2	T	[32]
34	8	61806	2	H	[35]
35	8	91508478.0	2	T	[34, 36]
36	8	91509948.0	3	H	[40, 35, 37]
37	8	99127748.0	3	T	[36, 38]
38	8	99127749.0	2	H	[37, 39]
39	8	99216203.0	2	T	[40, 38]
40	8	99216204.0	2	H	[41, 36, 39]
41	8	136753953.0	2	T	[40, 42]
42	8	136753954.0	1	H	[41, 43]
43	8	144888115.0	1	T	[42, 44]
44	8	144888116	2	H	[43, 45]
45	8	145076124	2	T	[44]
46	9	0	2	H	[47]
47	9	138334464	2	T	[46]
48	10	0.0	2	H	[49]
49	10	46991592.0	2	T	[48, 50, 51]
50	10	46991593.0	2	H	[49, 51]
51	10	48060267.0	2	T	[49, 50, 52]
52	10	48060268.0	2	H	[51, 53]
53	10	133785266.0	2	T	[52]
54	11	0	2	H	[55]
55	11	135069565	2	T	[54]
56	12	14569	2	H	[57]
57	12	55706940.0	2	T	[56, 58]
58	12	55706941.0	3	H	[57, 59]
59	12	58131588.0	3	T	[58, 60]
60	12	58131589	2	H	[59, 61]
61	12	133263959	2	T	[60]
62	13	0	2	H	[63]
63	13	114352102	2	T	[62]
64	14	0.0	2	H	[65]
65	14	38305868.0	2	T	[64, 66]
66	14	38305869.0	2	H	[65, 67, 103]
67	14	40639811.0	2	T	[104, 66, 68]
68	14	40639812.0	2	H	[67, 69]
69	14	106873282.0	2	T	[68]
70	15	17050954.0	2	H	[71]
71	15	46931882.333333336	2	T	[72, 28, 70]
72	15	46931883.333333336	2	H	[73, 27, 71]
73	15	50696605.0	2	T	[72, 74, 30]
74	15	50696606.0	2	H	[73, 75, 29]
75	15	59270734.0	2	T	[74, 76]
76	15	59276749.5	3	H	[75, 77]
77	15	67609049.0	3	T	[76, 78]
78	15	67620690.5	2	H	[77, 79]
79	15	101976508.0	2	T	[78]
80	16	14135	2	H	[81]
81	16	82097903.0	2	T	[80, 82]
82	16	82097904.0	3	H	[81, 83]
83	16	84609571.0	3	T	[82, 84]
84	16	84609572	2	H	[83, 85]
85	16	90224750	2	T	[84]
86	17	0	2	H	[87]
87	17	83246392	2	T	[86]
88	18	0	2	H	[89]
89	18	80256374	2	T	[88]
90	19	0	2	H	[91]
91	19	58605715	2	T	[90]
92	20	0	2	H	[93]
93	20	64333718	2	T	[92]
94	21	0	2	H	[95]
95	21	46697230	2	T	[94]
96	22	10514804	2	H	[97]
97	22	19135728.0	2	T	[96, 98]
98	22	19135729.0	3	H	[97, 99]
99	22	20818831.0	3	T	[98, 100]
100	22	20818832	2	H	[99, 101]
101	22	50805586	2	T	[100]
102	23	0.0	2	H	[103]
103	23	100139867.25	2	T	[104, 66, 102]
104	23	100139868.25	2	H	[105, 67, 103]
105	23	156025612.0	2	T	[104]
106	24	0	0	H	[107]
107	24	57212132	0	T	[106]
