chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248943334	q44	gneg	q44	Path1	+	1	False	243500000	248943333	gneg	0	Path1 : 1	1	q44	gneg	5443333	124471667.5
Path10 : 5	1	441159368	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12451393	220579684.5
Path11 : 8	1	145076123	q24.3	gneg	q24	Path11	-	8	False	138900000	145076125	gneg	0	Path11 : 8	8	q24.3	gneg	6176125	72538062.0
Path12 : der(9)t(6;9)	1	110097193	q31.3	gpos25	q31	Path12	+	9	True	108500000	110130581	gpos100	0	Path12 : (9;6)	9	q31	gpos100	10330581	55048597.0
Path12 : der(9)t(6;9)	110097193	115532393	p12.3	gpos100	p12	Path12	+	6	True	46200000	46292092	gpos100	0	Path12 : (9;6)	9	p12	gpos75	92092	112814793.0
Path12 : der(9)t(6;9)	115532393	134219934	q34.3	gneg	q34	Path12	+	9	True	134500000	138326093	gneg	0	Path12 : (9;6)	9	q34	gneg	10826093	124876163.5
Path13 : der(8)t(6;8)	1	43346812	p11.1	acen	p11	Path13	+	8	False	43200000	43346811	acen	0	Path13 : (8;6)	8	p11.1	acen	146811	21673406.5
Path13 : der(8)t(6;8)	43346812	52843456	q16.2	gneg	q16	Path13	+	6	True	98900000	99571233	gpos100	0	Path13 : (8;6)	8	q16	gpos100	7071233	48095134.0
Path13 : der(8)t(6;8)	52843456	154572767	q24.3	gneg	q24	Path13	+	8	True	138900000	145076125	gneg	0	Path13 : (8;6)	8	q24.3	gneg	6176125	103708111.5
Path14 : 6	1	170739894	q27	gneg	q27	Path14	+	6	True	164100000	170739897	gneg	0	Path14 : 6	6	q27	gneg	6639897	85369947.5
Path15 : 9	1	138292703	q34.11	gneg	q34	Path15	-	9	True	127500000	130600000	gneg	0	Path15 : 9	9	q34	gneg	10826093	69146352.0
Path16 : der(6)t(6;9)	1	40856892	p21.1	gneg	p21	Path16	-	6	True	40500000	40856891	gneg	0	Path16 : (6;9)	6	p21.1	gneg	356891	20428446.5
Path16 : der(6)t(6;9)	40856892	50364861	q33.1	gpos75	q33	Path16	-	9	True	114900000	119638551	gpos75	0	Path16 : (6;9)	6	q33	gpos75	4738551	45610876.5
Path16 : der(6)t(6;9)	50364861	165316019	q27	gneg	q27	Path16	-	6	False	164100000	170739897	gneg	0	Path16 : (6;9)	6	q27	gneg	6639897	107840440.0
Path17 : 7	1	159334985	q36.3	gneg	q36	Path17	+	7	False	155200000	159334984	gneg	0	Path17 : 7	7	q36	gneg	11134984	79667493.0
Path18 : 7	1	159334985	q36.1	gneg	q36	Path18	-	7	True	148200000	152800000	gneg	0	Path18 : 7	7	q36	gneg	11134984	79667493.0
Path19 : 10	1	133785265	q26.3	gneg	q26	Path19	+	10	True	128800000	133785266	gneg	0	Path19 : 10	10	q26	gneg	16485266	66892633.0
Path2 : 1	1	248943334	q44	gneg	q44	Path2	-	1	False	243500000	248943333	gneg	0	Path2 : 1	1	q44	gneg	5443333	124471667.5
Path20 : 10	1	133785265	q26.11	gneg	q26	Path20	-	10	True	117300000	119900000	gneg	0	Path20 : 10	10	q26	gneg	16485266	66892633.0
Path21 : 11	1	135069566	q25	gneg	q25	Path21	+	11	False	130900000	135069565	gneg	0	Path21 : 11	11	q25	gneg	4169565	67534783.5
Path22 : 11	1	135069566	q25	gneg	q25	Path22	-	11	False	130900000	135069565	gneg	0	Path22 : 11	11	q25	gneg	4169565	67534783.5
Path23 : 12	1	133263961	q24.33	gneg	q24	Path23	+	12	False	128700000	133263960	gneg	0	Path23 : 12	12	q24.3	gneg	12963960	66631981.0
Path24 : 12	1	133263961	q24.31	gneg	q24	Path24	-	12	True	120300000	125400000	gneg	0	Path24 : 12	12	q24.3	gneg	12963960	66631981.0
Path25 : 13	1	98296678	q34	gneg	q34	Path25	+	13	True	109600000	114350910	gneg	0	Path25 : 13	13	q34	gneg	4750910	49148339.5
Path26 : 13	1	105557812	q34	gneg	q34	Path26	-	13	False	109600000	114350910	gneg	0	Path26 : 13	13	q34	gneg	4750910	52778906.5
Path27 : 14	1	106873283	q32.33	gneg	q32	Path27	+	14	False	103500000	106873282	gneg	0	Path27 : 14	14	q32	gneg	17573282	53436642.0
Path28 : 14	1	106873283	q32.11	gneg	q32	Path28	-	14	True	89300000	91400000	gneg	0	Path28 : 14	14	q32	gneg	17573282	53436642.0
Path29 : 15	1	101976510	q26.3	gneg	q26	Path29	+	15	False	98000000	101976509	gneg	0	Path29 : 15	15	q26.3	gneg	3976509	50988255.5
Path3 : 2	1	242181358	q37.3	gneg	q37	Path3	+	2	False	236400000	242181357	gneg	0	Path3 : 2	2	q37	gneg	12081357	121090679.5
Path30 : 15	1	101976510	q26.3	gneg	q26	Path30	-	15	False	98000000	101976509	gneg	0	Path30 : 15	15	q26.3	gneg	3976509	50988255.5
Path31 : 16	1	90224752	q24.3	gneg	q24	Path31	+	16	False	88700000	90224751	gneg	0	Path31 : 16	16	q24	gneg	6124751	45112376.5
Path32 : 16	1	90224752	q24.1	gneg	q24	Path32	-	16	True	84100000	87000000	gneg	0	Path32 : 16	16	q24	gneg	6124751	45112376.5
Path33 : 17	1	83246393	q25.3	gneg	q25	Path33	+	17	False	77200000	83246392	gneg	0	Path33 : 17	17	q25	gneg	10346392	41623197.0
