index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
4	Chr2	94090558	242183528
5	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
6	Chr3	93655575	150344721
7	Chr3	150344722	154697826
8	Chr3	154697827	198235558
9	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
10	Chr4	51743952	190204554
11	Chr5	10000	10000
12	Chr5	10001	12533192
13	Chr5	12533193	46485900
CEN5	Chr5	46485901	50059807
14	Chr5	50059808	83800313
15	Chr5	83800314	88024582
16	Chr5	88024583	181478258
17	Chr6	60000	40855761
18	Chr6	40855762	46289485
19	Chr6	46289486	58553888
CEN6	Chr6	58553889	59829934
20	Chr6	59829935	90073957
21	Chr6	90073958	99571924
22	Chr6	99571925	170745978
23	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
24	Chr7	60828235	159335972
25	Chr8	60000	43343526
26	Chr8	43343527	43343527
27	Chr8	43343528	44033744
CEN8	Chr8	44033745	45877265
28	Chr8	45877266	47777913
29	Chr8	47777914	52947048
30	Chr8	52947049	145078635
31	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
32	Chr9	45518559	110124457
33	Chr9	110124458	119639280
34	Chr9	119639281	138334716
35	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
36	Chr10	41593522	72258767
37	Chr10	72258768	76841522
38	Chr10	76841523	133787421
39	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
40	Chr11	54425075	135076621
41	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
42	Chr12	37185253	133265308
43	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
44	Chr13	18051249	42442300
45	Chr13	42442301	49794278
46	Chr13	49794279	114354327
47	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
48	Chr14	18173524	106883717
49	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
50	Chr15	19725255	101981188
51	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
52	Chr16	38280683	90228344
53	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
54	Chr17	26885981	83247440
55	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
56	Chr18	20861207	28624254
57	Chr18	28624255	31903584
58	Chr18	31903585	80263284
59	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
60	Chr19	27190875	58607615
61	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
62	Chr20	30038349	64334166
63	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
64	Chr21	12915809	46699982
65	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
66	Chr22	15054319	50808467
67	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
68	ChrX	62412543	156030894
69	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
70	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,CEN2+,4+	10000	10000
Chr2b	3+,CEN2+,4+	10000	10000
Chr3a	5+,CEN3+,6+,8+	10000	60000
Chr3b	5+,CEN3+,6+,7+,8+	10000	60000
Chr4a	9+,CEN4+,10+	10000	10000
Chr4b	9+,CEN4+,10+	10000	10000
Chr5a	11+,13+,CEN5+,14+,15+,16+	10000	60000
Chr5b	CEN5+,14+,15+,16+	10000	60000
Chr5c	11+,13+,CEN5+,14+,15+,15-,16+	10000	60000
Chr5d	11+,12+,13+,CEN5+,14+,15+,16+	10000	60000
Chr6a	17+,33+,19+,CEN6+,20+,22+	60000	60000
Chr6b	17+,18+,19+,CEN6+,20+,21+,22+	60000	60000
Chr7a	23+,CEN7+,24+	10000	10000
Chr7b	23+,CEN7+,24+	10000	10000
Chr8a	25+,21+,26+,27+,CEN8+,28+,29-,30+	60000	60000
Chr8b	25+,26+,27+,CEN8+,28+,29+,30+	60000	60000
Chr9a	31+,CEN9+,32+,18+,34+	10000	60000
Chr9b	31+,CEN9+,32+,33+,34+	10000	60000
Chr10a	35+,CEN10+,36+,37-,38+	10000	10000
Chr10b	35+,CEN10+,36+,37+,38+	10000	10000
Chr11a	39+,CEN11+,40+	60000	10000
Chr11b	39+,CEN11+,40+	60000	10000
Chr12a	41+,CEN12+,42+	10000	10000
Chr12b	41+,CEN12+,42+	10000	10000
Chr13a	43+,CEN13+,44+,45-,45+,46+	16000000	10000
Chr13b	43+,CEN13+,44+,45+,46+	16000000	10000
Chr14a	47+,CEN14+,48+	16000000	160000
Chr14b	47+,CEN14+,48+	16000000	160000
Chr15a	49+,CEN15+,50+	17000000	10000
Chr15b	49+,CEN15+,50+	17000000	10000
Chr16a	51+,CEN16+,52+	10000	110000
Chr16b	51+,CEN16+,52+	10000	110000
Chr17a	53+,CEN17+,54+	60000	10000
Chr17b	53+,CEN17+,54+	60000	10000
Chr18a	55+,CEN18+,56+,57+,57+,58+	10000	110000
Chr18b	55+,CEN18+,56+,57+,58+	10000	110000
Chr19a	59+,CEN19+,60+	60000	10000
Chr19b	59+,CEN19+,60+	60000	10000
Chr20a	61+,CEN20+,62+	60000	110000
Chr20b	61+,CEN20+,62+	60000	110000
Chr21a	63+,CEN21+,64+	5010000	10000
Chr21b	63+,CEN21+,64+	5010000	10000
Chr22a	65+,CEN22+,66+	10510000	10000
Chr22b	65+,CEN22+,66+	10510000	10000
ChrXa	67+,CENX+,68+	10000	10000
ChrYa	69+,CENY+,70+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: Cri_du_Chat
	deletion on segments [12+], from Chr5a to Chr5a
block 2: random events
	arm tandem duplication on segments [14+,15+,16+], from Chr5a to Chr5b
	balanced reciprocal translocation on segments [33+], from Chr9a to Chr6a
	balanced reciprocal translocation on segments [18+], from Chr6a to Chr9a
	left duplication inversion on segments [45+], from Chr13a to Chr13a
	inversion on segments [29+], from Chr8a to Chr8a
	inversion on segments [37+], from Chr10a to Chr10a
	tandem duplication on segments [57+], from Chr18a to Chr18a
	chromosomal duplication on segments [11+,13+,CEN5+,14+,15+,16+], from Chr5a to Chr5a
	right duplication inversion on segments [15+], from Chr5c to Chr5c
	deletion on segments [7+], from Chr3a to Chr3a
	nonreciprocal translocation on segments [21+], from Chr6a to Chr8a
