chr	start	end
Path1 : 1	1	248943330
Path2 : 1	1	251294241
Path3 : 2	1	242154366
Path4 : 2	1	248934366
Path7 : der(3)t(3;4)	1	194860212
Path6 : 4	1	190143269
Path11 : 5	1	181378270
Path13 : 6	1	170739895
Path14 : 6	1	170739895
Path15 : 7	1	159312357
Path16 : 7	1	166093415
Path17 : 8	1	145076125
Path18 : 8	1	145076125
Path9 : 9	1	147760300
Path19 : 10	1	133785266
Path20 : 10	1	133785266
Path21 : 11	1	135069565
Path22 : 11	1	135069565
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	114352102
Path26 : 13	1	114352102
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	101976509
Path30 : 15	1	101976509
Path31 : 16	1	90190061
Path32 : 16	1	83000667
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80256374
Path36 : 18	1	80256374
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64246443
Path40 : 20	1	68237846
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : X	1	156025612
Path8 : dic(3;4;9)	1	463669016
Path5 : 2	1	9361899
Path12 : 5	1	392410
Path10 : 4;9	1	51364270
