index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
4	Chr2	94090558	105391163
5	Chr2	105391164	109500999
6	Chr2	109501000	242183528
7	Chr3	10000	38614580
8	Chr3	38614581	41731335
9	Chr3	41731336	77976344
10	Chr3	77976345	85455775
11	Chr3	85455776	90772458
CEN3	Chr3	90772459	93655574
12	Chr3	93655575	130684958
13	Chr3	130684959	130684959
14	Chr3	130684960	198235558
15	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
16	Chr4	51743952	190204554
17	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
18	Chr5	50059808	181478258
19	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
20	Chr6	59829935	97154845
21	Chr6	97154846	99494665
22	Chr6	99494666	168406159
23	Chr6	168406160	170745978
24	Chr7	10000	38380135
25	Chr7	38380136	45897873
26	Chr7	45897874	58169653
CEN7	Chr7	58169654	60828234
27	Chr7	60828235	103767360
28	Chr7	103767361	113367724
29	Chr7	113367725	159335972
30	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
31	Chr8	45877266	145078635
32	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
33	Chr9	45518559	138334716
34	Chr10	10000	20925479
35	Chr10	20925480	23541303
36	Chr10	23541304	39686682
CEN10	Chr10	39686683	41593521
37	Chr10	41593522	133787421
38	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
39	Chr11	54425075	135076621
40	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
41	Chr12	37185253	133265308
42	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
43	Chr13	18051249	21558116
44	Chr13	21558117	28860607
45	Chr13	28860608	98280386
46	Chr13	98280387	98280387
47	Chr13	98280388	114354327
48	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
49	Chr14	18173524	39942730
50	Chr14	39942731	45477657
51	Chr14	45477658	101348791
52	Chr14	101348792	106883717
53	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
54	Chr15	19725255	101981188
55	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
56	Chr16	38280683	53033247
57	Chr16	53033248	59101127
58	Chr16	59101128	90228344
59	Chr17	60000	14194597
60	Chr17	14194598	15567589
61	Chr17	15567590	22813679
CEN17	Chr17	22813680	26885980
62	Chr17	26885981	83247440
63	Chr18	10000	2119660
64	Chr18	2119661	8253155
65	Chr18	8253156	15460899
CEN18	Chr18	15460900	20861206
66	Chr18	20861207	80263284
67	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
68	Chr19	27190875	58607615
69	Chr20	60000	16246753
70	Chr20	16246754	20647574
71	Chr20	20647575	26436232
CEN20	Chr20	26436233	30038348
72	Chr20	30038349	64334166
73	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
74	Chr21	12915809	46699982
75	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
76	Chr22	15054319	50808467
77	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
78	ChrX	62412543	156030894
79	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
80	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+	10000	10000
Chr1c	1+,CEN1+,2+	10000	10000
Chr2a	3+,CEN2+,4+,5+,5+,6+	10000	10000
Chr2b	3+,CEN2+,4+,5+,6+	10000	10000
Chr3a	7+,8+,8+,9+,10-,10+,11+,CEN3+,12+,25+,13+,14+	10000	60000
Chr3b	7+,8+,9+,10+,11+,CEN3+,12+,13+,14+	10000	60000
Chr4a	15+,CEN4+,16+	10000	10000
Chr4b	15+,CEN4+,16+	10000	10000
Chr5a	deleted	0	0
Chr5b	17+,CEN5+,18+	10000	60000
Chr6a	19+,CEN6+,20+,21+,22+,23-,23+	60000	60000
Chr6b	19+,CEN6+,20+,21+,22+,23+	60000	60000
Chr7a	24+,26+,CEN7+,27+,28-,28+,29+	10000	10000
Chr7b	CEN7+,27+,28-,28+,29+	10000	10000
Chr7c	24+,25+,26+,CEN7+,27+,28+,29+	10000	10000
Chr8a	30+,CEN8+,31+	60000	60000
Chr8b	30+,CEN8+,31+	60000	60000
Chr9a	32+,CEN9+,33+	10000	60000
Chr9b	32+,CEN9+,33+	10000	60000
Chr10a	34+,35-,36+,CEN10+,37+	10000	10000
Chr10b	34+,35+,36+,CEN10+,37+	10000	10000
Chr11a	38+,CEN11+,39+	60000	10000
Chr11b	38+,CEN11+,39+	60000	10000
Chr12a	40+,CEN12+,41+	10000	10000
Chr12b	40+,CEN12+,41+	10000	10000
Chr13a	42+,CEN13+,43+,44+,44+,45+,57+,46+,47+	16000000	10000
Chr13b	42+,CEN13+,43+,44+,45+,46+,47+	16000000	10000
Chr14a	48+,CEN14+,49+,50+,51+,52-,52+	16000000	160000
Chr14b	48+,CEN14+,49+,50+,51+,52+	16000000	160000
Chr15a	53+,CEN15+,54+	17000000	10000
Chr15b	53+,CEN15+,54+	17000000	10000
Chr16a	55+,CEN16+,56+,58+	10000	110000
Chr16b	55+,CEN16+,56+,57+,58+	10000	110000
Chr17a	59+,60+,60+,61+,CEN17+,62+	60000	10000
Chr17b	59+,60+,61+,CEN17+,62+	60000	10000
Chr18a	63+,64+,64+,65+,CEN18+,66+	10000	110000
Chr18b	63+,64+,65+,CEN18+,66+	10000	110000
Chr19a	67+,CEN19+,68+	60000	10000
Chr19b	67+,CEN19+,68+	60000	10000
Chr20a	69+,70+,70-,71+,CEN20+,72+	60000	110000
Chr20b	69+,70+,71+,CEN20+,72+	60000	110000
Chr21a	73+,CEN21+,74+	5010000	10000
Chr21b	73+,CEN21+,74+	5010000	10000
Chr22a	75+,CEN22+,76+	10510000	10000
Chr22b	75+,CEN22+,76+	10510000	10000
ChrXa	77+,CENX+,78+	10000	10000
ChrYa	79+,CENY+,80+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: CMT1A
	duplication on segments [60+], from Chr17a to Chr17a
block 2: random events
	right duplication inversion on segments [70+], from Chr20a to Chr20a
	nonreciprocal translocation on segments [57+], from Chr16a to Chr13a
	chromosomal deletion on segments [17+,CEN5+,18+], from Chr5a to Chr5a
	tandem duplication on segments [64+], from Chr18a to Chr18a
	left duplication inversion on segments [52+], from Chr14a to Chr14a
	left duplication inversion on segments [28+], from Chr7a to Chr7a
	left duplication inversion on segments [23+], from Chr6a to Chr6a
	arm tandem duplication on segments [1+], from Chr1a to Chr1b
	tandem duplication on segments [5+], from Chr2a to Chr2a
	tandem duplication on segments [44+], from Chr13a to Chr13a
	nonreciprocal translocation on segments [25+], from Chr7a to Chr3a
	inversion on segments [35+], from Chr10a to Chr10a
	arm tandem duplication on segments [27+,28+,28+,29+], from Chr7a to Chr7b
	left duplication inversion on segments [10+], from Chr3a to Chr3a
	tandem duplication on segments [8+], from Chr3a to Chr3a
