Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 1,198,1160,1,1,166519777.0,173724042.0,0.49,translocation_intrachr,-1.0,0,[]
Segment 2,198,1160,1,1,166519777.0,173724042.0,0.49,translocation_intrachr,-1.0,0,['Path 2']
Segment 2,199,1170,1,1,166522514.0,173738652.0,0.33,translocation_intrachr,-1.0,0,[]
Segment 3,199,1170,1,1,166522514.0,173738652.0,0.33,translocation_intrachr,-1.0,0,['Path 2']
Segment 4,389,561,2,2,114357620.0,132447609.0,0.16,translocation_intrachr,-1.0,0,['Path 4']
Segment 5,403,472,2,2,114365585.0,139345651.0,0.53,translocation_intrachr,-1.0,0,['Path 4']
Segment 5,397,471,2,2,114365585.0,139345651.0,0.52,translocation_intrachr,-1.0,0,[]
Segment 5,406,1240,2,2,132438712.0,139345651.0,0.73,translocation_intrachr,-1.0,0,[]
Segment 6,403,472,2,2,114365585.0,139345651.0,0.53,translocation_intrachr,-1.0,0,['Path 4']
Segment 6,389,561,2,2,114357620.0,132447609.0,0.16,translocation_intrachr,-1.0,0,[]
Segment 6,397,471,2,2,114365585.0,139345651.0,0.52,translocation_intrachr,-1.0,0,[]
Segment 7,440,1140,2,5,159644344.0,36301924.0,0.61,translocation_interchr,-1.0,0,['Path 4']
Segment 7,406,1240,2,2,132438712.0,139345651.0,0.73,translocation_intrachr,-1.0,0,[]
Segment 8,441,1210,2,5,159664975.0,36293285.0,0.57,translocation_interchr,-1.0,0,['Path 5']
Segment 8,426,401,2,5,165389947.0,42040507.0,0.78,translocation_interchr,-1.0,0,[]
Segment 8,439,402,2,5,165389947.0,42040507.0,0.82,translocation_interchr,-1.0,0,[]
Segment 9,489,21,2,2,237185587.0,242181357.0,-1.0,duplication,5140188.0,0,[]
Segment 9,490,21,2,5,165392822.0,42033128.0,0.63,translocation_interchr,-1.0,0,[]
Segment 9,546,22,2,5,165392822.0,42033128.0,0.53,translocation_interchr,-1.0,0,[]
Segment 9,545,22,2,2,237185587.0,242181357.0,-1.0,duplication,5140188.0,0,[]
Segment 10,489,21,2,2,237185587.0,242181357.0,-1.0,duplication,5140188.0,0,['Path 3']
Segment 10,545,22,2,2,237185587.0,242181357.0,-1.0,duplication,5140188.0,0,[]
Segment 11,738,1182,3,3,155949163.0,175299678.0,0.53,translocation_intrachr,-1.0,0,[]
Segment 11,739,1181,3,3,155949163.0,175299678.0,0.57,translocation_intrachr,-1.0,0,[]
Segment 12,776,512,3,3,160787758.0,182904631.0,0.54,translocation_intrachr,-1.0,0,['Path 7']
Segment 12,740,1151,3,3,155955927.0,175282550.5,0.31,translocation_intrachr,-1.0,0,[]
Segment 12,741,1152,3,3,155955440.0,175282550.5,0.29,translocation_intrachr,-1.0,0,[]
Segment 12,742,511,3,3,160787758.0,182904631.0,0.05,translocation_intrachr,-1.0,0,[]
Segment 13,777,1192,3,3,160792320.0,182908535.0,0.06,translocation_intrachr,-1.0,0,['Path 7']
Segment 13,778,1191,3,3,160792320.0,182908535.0,0.5,translocation_intrachr,-1.0,0,[]
Segment 13,740,1151,3,3,155955927.0,175282550.5,0.31,translocation_intrachr,-1.0,0,[]
Segment 13,741,1152,3,3,155955440.0,175282550.5,0.29,translocation_intrachr,-1.0,0,[]
Segment 14,778,1191,3,3,160792320.0,182908535.0,0.5,translocation_intrachr,-1.0,0,['Path 7']
Segment 14,777,1192,3,3,160792320.0,182908535.0,0.06,translocation_intrachr,-1.0,0,[]
Segment 14,738,1182,3,3,155949163.0,175299678.0,0.53,translocation_intrachr,-1.0,0,[]
Segment 14,739,1181,3,3,155949163.0,175299678.0,0.57,translocation_intrachr,-1.0,0,[]
Segment 15,776,512,3,3,160787758.0,182904631.0,0.54,translocation_intrachr,-1.0,0,['Path 7']
Segment 15,742,511,3,3,160787758.0,182904631.0,0.05,translocation_intrachr,-1.0,0,[]
Segment 17,441,1210,2,5,159664975.0,36293285.0,0.57,translocation_interchr,-1.0,0,[]
Segment 18,440,1140,2,5,159644344.0,36301924.0,0.61,translocation_interchr,-1.0,0,[]
Segment 18,490,21,2,5,165392822.0,42033128.0,0.63,translocation_interchr,-1.0,0,[]
Segment 18,546,22,2,5,165392822.0,42033128.0,0.53,translocation_interchr,-1.0,0,[]
Segment 19,426,401,2,5,165389947.0,42040507.0,0.78,translocation_interchr,-1.0,0,['Path 5']
Segment 19,439,402,2,5,165389947.0,42040507.0,0.82,translocation_interchr,-1.0,0,[]
Segment 20,1153,1221,5,5,65696289.0,67880687.0,1.0,inversion,298248.0,0,['Path 5']
Segment 20,1155,1222,5,5,65696881.0,67880687.0,1.0,inversion,275957.5,0,[]
Segment 20,1159,1320,5,5,67854335.0,67854335.0,-1.0,duplication_inverted,256882.0,0,[]
Segment 21,1153,1221,5,5,65696289.0,67880687.0,1.0,inversion,298248.0,0,['Path 5']
Segment 21,1155,1222,5,5,65696881.0,67880687.0,1.0,inversion,275957.5,0,[]
Segment 26,1674,1250,7,13,85985088.0,93271980.0,0.83,translocation_interchr,-1.0,0,[]
Segment 27,1721,141,7,13,86013478.0,99034398.0,0.78,translocation_interchr,-1.0,0,['Path 12']
Segment 27,1779,142,7,13,86013478.0,99035916.0,0.72,translocation_interchr,-1.0,0,[]
