chr	start	end
Path1 : 1	1	248917833
Path2 : 1	1	248917833
Path4 : der(2)t(2;14)	1	232648901
Path7 : 2	1	233147688
Path8 : 3	1	198230596
Path9 : 3	1	198230596
Path10 : 4	1	190186053
Path11 : 4	1	190186053
Path14 : 5	1	177714852
Path15 : der(5)t(5;7)	1	146763484
Path17 : 6	1	170619637
Path18 : 6	1	96173240
Path13 : der(7)t(5;7)	1	202220704
Path16 : 7	1	151121134
Path19 : 8	1	145076125
Path20 : 8	1	145076125
Path21 : 9	1	138334464
Path22 : 9	1	138334464
Path23 : 10	1	133785262
Path26 : der(10)t(10;12)	1	192826506
Path27 : 11	1	135069565
Path28 : 11	1	135069565
Path24 : der(12)t(10;12)	1	77661978
Path25 : 12	1	133263959
Path29 : 13	1	114352102
Path30 : 13	1	114352102
Path5 : 14	1	106873281
Path6 : der(14)t(2;14)	1	122792167
Path31 : 15	1	101976507
Path32 : 15	1	101976507
Path33 : 16	1	90224751
Path34 : 16	1	90224751
Path35 : 17	1	83246392
Path36 : 17	1	83246392
Path37 : 18	1	80203364
Path38 : 18	1	72825771
Path39 : 19	1	58605715
Path40 : 19	1	58605715
Path41 : 20	1	64333718
Path42 : 20	1	64333718
Path43 : 21	1	46697230
Path44 : 21	1	46697230
Path45 : 22	1	50805587
Path46 : 22	1	50805587
Path47 : X	1	156025612
Path48 : Y	1	57212132
Path3 : 1	1	5452768
Path12 : 4	1	7497580
