chr	start	end
Path1 : 1	1	248920363
Path6 : der(1)t(1;2;7)	1	393626672
Path4 : der(2)t(2;7)	1	115986294
Path8 : der(2)t(2;7;13)	1	242604308
Path10 : 3	1	196904067
Path9 : 3	1	198191642
Path11 : 4	1	379801842
Path12 : 5	1	181472712
Path15 : der(5)t(5;16)	1	176422165
Path16 : 6	1	170739895
Path17 : 6	1	170739895
Path2 : der(7)t(1;7)	1	141478177
Path3 : der(7)t(1;7)	1	158939972
Path18 : 8	1	145076125
Path19 : 8	1	145076125
Path20 : 9	1	138334462
Path21 : 9	1	138334462
Path22 : 10	1	133785264
Path23 : 10	1	133785264
Path24 : 11	1	135069565
Path25 : 11	1	135069565
Path26 : 12	1	133228466
Path27 : 12	1	134254362
Path5 : der(13)t(2;13)	1	100742383
Path7 : 13	1	98325901
Path28 : 14	1	106873282
Path29 : 14	1	106873282
Path30 : 15	1	101976509
Path31 : 15	1	101976509
Path13 : der(16)t(5;16)	1	95163154
Path14 : der(16)t(5;16)	1	90336887
Path32 : 17	1	83246392
Path33 : 17	1	83246392
Path34 : 18	1	80256374
Path35 : 18	1	80256374
Path36 : 19	1	58605715
Path37 : 19	1	58605715
Path38 : 20	1	64333718
Path39 : 20	1	64333718
Path40 : 21	1	46697228
Path41 : 21	1	46697228
Path42 : 22	1	50805587
Path43 : 22	1	50805587
Path44 : X	1	156025612
Path45 : X	1	156025612
