file_name,cluster,origin_chr_df1,origin_chr_df2,n_path_diff_df1,n_path_diff_df2,SV_missed_df1,SV_missed_df2,SV_missed_delta
23Y_Potocki_Shaffer_r2,4,"['Chr5', 'Chr7', 'Chr8']","['Chr5', 'Chr7', 'Chr8']",0,0,0,3,3
23X_STS_r1,8,"['Chr1', 'Chr12']","['Chr1', 'Chr12']",0,0,9,11,2
23X_22q11-2_distal_deletion_r2,14,['Chr17'],['Chr17'],0,-1,0,2,2
23Y_CMT1A_r2,4,"['Chr5', 'Chr8']","['Chr5', 'Chr8']",-1,-1,2,4,2
23Y_NF1_microdeletion_r2,11,"['Chr9', 'Chr14']","['Chr9', 'Chr14']",-1,-1,3,5,2
23Y_NF1_microdeletion_r2,5,"['Chr1', 'Chr7']","['Chr1', 'Chr7']",1,1,1,3,2
23Y_NF1_microdeletion_r2,6,['Chr8'],['Chr8'],0,0,0,2,2
23X_Cri_du_Chat_r2,9,"['Chr10', 'Chr11']","['Chr10', 'Chr11']",-1,-1,8,9,1
23X_22q11-2_distal_deletion_r1,5,['Chr6'],['Chr6'],0,0,3,4,1
23X_22q11-2_distal_deletion_r2,8,['Chr11'],['Chr11'],0,-1,0,1,1
23X_Cri_du_Chat_r1,2,['Chr5'],['Chr5'],0,1,1,2,1
23Y_CMT1A_r1,3,['Chr5'],['Chr5'],0,1,1,2,1
23Y_Potocki_Shaffer_r1,2,['Chr3'],['Chr3'],0,1,0,1,1
23Y_WAGR_11p13_deletion_r1,8,['Chr9'],['Chr9'],-1,-1,1,2,1
23Y_Potocki_Shaffer_r1,8,"['Chr9', 'Chr10']","['Chr9', 'Chr10']",-1,0,2,0,-2
23X_1q21_recurrent_microduplication_r2,1,['Chr4'],['Chr4'],-1,0,4,0,-4
