index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	147061831
3	Chr1	147061832	148411223
4	Chr1	148411224	164858002
5	Chr1	164858003	164858003
6	Chr1	164858004	248946421
7	Chr2	10000	8351449
8	Chr2	8351450	10880379
9	Chr2	10880380	18195498
10	Chr2	18195499	23935269
11	Chr2	23935270	64775555
12	Chr2	64775556	74054975
13	Chr2	74054976	92188145
CEN2	Chr2	92188146	94090557
14	Chr2	94090558	242183528
15	Chr3	10000	31268684
16	Chr3	31268685	40288953
17	Chr3	40288954	90772458
CEN3	Chr3	90772459	93655574
18	Chr3	93655575	195254195
19	Chr3	195254196	195254196
20	Chr3	195254197	198235558
21	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
22	Chr4	51743952	101537441
23	Chr4	101537442	109098650
24	Chr4	109098651	190204554
25	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
26	Chr5	50059808	181478258
27	Chr6	60000	40631776
28	Chr6	40631777	43796967
29	Chr6	43796968	58553888
CEN6	Chr6	58553889	59829934
30	Chr6	59829935	170745978
31	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
32	Chr7	60828235	159335972
33	Chr8	60000	26203544
34	Chr8	26203545	28348877
35	Chr8	28348878	44033744
CEN8	Chr8	44033745	45877265
36	Chr8	45877266	119136163
37	Chr8	119136164	124949204
38	Chr8	124949205	145078635
39	Chr9	10000	18038843
40	Chr9	18038844	24142201
41	Chr9	24142202	43236167
CEN9	Chr9	43236168	45518558
42	Chr9	45518559	75992693
43	Chr9	75992694	78297670
44	Chr9	78297671	89549185
45	Chr9	89549186	94802832
46	Chr9	94802833	138334716
47	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
48	Chr10	41593522	133787421
49	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
50	Chr11	54425075	122869959
51	Chr11	122869960	122869960
52	Chr11	122869961	135076621
53	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
54	Chr12	37185253	52518276
55	Chr12	52518277	59004176
56	Chr12	59004177	133265308
57	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
58	Chr13	18051249	114354327
59	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
60	Chr14	18173524	106883717
61	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
62	Chr15	19725255	101981188
63	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
64	Chr16	38280683	90228344
65	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
66	Chr17	26885981	83247440
67	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
68	Chr18	20861207	80263284
69	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
70	Chr19	27190875	58607615
71	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
72	Chr20	30038349	64334166
73	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
74	Chr21	12915809	46699982
75	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
76	Chr22	15054319	50808467
77	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
78	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,4+,5+,6+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+,16+,5+,6+	10000	10000
Chr2a	7+,8+,8-,9+,11+,13+,CEN2+,14+	10000	10000
Chr2b	7+,8+,9+,10+,11+,12+,13+,CEN2+,14+	10000	10000
Chr3a	15+,17+,CEN3+,18+,12+,19+,20+	10000	60000
Chr3b	15+,16+,17+,CEN3+,18+,19+,20+	10000	60000
Chr4a	21+,CEN4+,22+,55+,24+	10000	10000
Chr4b	21+,CEN4+,22+,23+,24+	10000	10000
Chr5a	25+,CEN5+,26+	10000	60000
Chr5b	25+,CEN5+,26+	10000	60000
Chr6a	27+,29+,CEN6+,30+	60000	60000
Chr6b	27+,28+,29+,CEN6+,30+	60000	60000
Chr6c	27+,29+,CEN6+	60000	60000
Chr7a	31+,CEN7+,32+	10000	10000
Chr7b	31+,CEN7+,32+	10000	10000
Chr8a	33+,43+,35+,CEN8+,36+,37+,37+,38+	60000	60000
Chr8b	33+,34+,35+,CEN8+,36+,37+,38+	60000	60000
Chr9a	39+,40+,41+,CEN9+,42+,43+,44+,45+,46+	10000	60000
Chr9b	39+,45+,41+,CEN9+,42+,34+,44+,40+,46+	10000	60000
Chr10a	47+,CEN10+,48+	10000	10000
Chr10b	47+,CEN10+,48+	10000	10000
Chr11a	49+,CEN11+,50+,51+,52+	60000	10000
Chr11b	49+,CEN11+,50+,10+,51+,52+	60000	10000
Chr12a	53+,CEN12+,54+,55+,56+	10000	10000
Chr12b	53+,CEN12+,54+,23+,56+	10000	10000
Chr13a	57+,CEN13+,58+	16000000	10000
Chr13b	57+,CEN13+,58+	16000000	10000
Chr14a	59+,CEN14+,60+	16000000	160000
Chr14b	59+,CEN14+,60+	16000000	160000
Chr15a	61+,CEN15+,62+	17000000	10000
Chr15b	61+,CEN15+,62+	17000000	10000
Chr16a	63+,CEN16+,64+	10000	110000
Chr16b	63+,CEN16+,64+	10000	110000
Chr17a	65+,CEN17+,66+	60000	10000
Chr17b	65+,CEN17+,66+	60000	10000
Chr18a	67+,CEN18+,68+	10000	110000
Chr18b	67+,CEN18+,68+	10000	110000
Chr19a	69+,CEN19+,70+	60000	10000
Chr19b	69+,CEN19+,70+	60000	10000
Chr20a	71+,CEN20+,72+	60000	110000
Chr20b	71+,CEN20+,72+	60000	110000
Chr21a	73+,CEN21+,74+	5010000	10000
Chr21b	73+,CEN21+,74+	5010000	10000
Chr22a	75+,CEN22+,76+	10510000	10000
Chr22b	75+,CEN22+,76+	10510000	10000
ChrXa	77+,CENX+,78+	10000	10000
ChrXb	77+,CENX+,78+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrX']
block 1: random events
	deletion on segments [3+], from Chr1a to Chr1a	(del,2.1,4.1)
	balanced reciprocal translocation on segments [43+], from Chr9b to Chr8a	(del,42.1,44.1)(ins,43.1)
	balanced reciprocal translocation on segments [34+], from Chr8a to Chr9b	(del,33.1,35.1)(ins,34.1)
	deletion on segments [28+], from Chr6a to Chr6a	(del,27.1,29.1)
	balanced reciprocal translocation on segments [55+], from Chr12b to Chr4a	(del,54.1,56.1)(ins,55.1)
	balanced reciprocal translocation on segments [23+], from Chr4a to Chr12b	(del,22.1,24.1)(ins,23.1)
	nonreciprocal translocation on segments [12+], from Chr2a to Chr3a	(del,11.1,13.1)(ins,12.1)
	tandem duplication on segments [37+], from Chr8a to Chr8a	(ins,37.2)
	balanced reciprocal translocation on segments [40+], from Chr9b to Chr9b	(del,39.1,41.1)(ins,40.1)
	balanced reciprocal translocation on segments [45+], from Chr9b to Chr9b	(del,44.1,46.1)(ins,45.1)
	nonreciprocal translocation on segments [10+], from Chr2a to Chr11b	(del,9.1,11.1)(ins,10.1)
	nonreciprocal translocation on segments [16+], from Chr3a to Chr1b	(del,15.1,17.1)(ins,16.1)
	arm tandem duplication on segments [27+,29+], from Chr6a to Chr6c	-
	right duplication inversion on segments [8+], from Chr2a to Chr2a	(ins,8.2)
