chr	start	end
Path1 : 1	1	248943333
Path2 : 1	1	248943333
Path3 : 2	1	242112104
Path4 : 2	1	226671031
Path5 : 3	1	198230596
Path6 : 3	1	198230596
Path7 : 4	1	190187988
Path8 : 4	1	49474582
Path10 : 5	1	181472714
Path9 : 5	1	181472714
Path11 : 6	1	170739897
Path12 : 6	1	170739897
Path13 : 7	1	159334984
Path14 : 7	1	159334984
Path15 : 8	1	145076125
Path16 : 8	1	145076125
Path17 : 9	1	138226780
Path18 : 9	1	207711558
Path19 : 10	1	132640459
Path20 : 10	1	39796299
Path21 : 11	1	134988924
Path24 : der(11)t(11;20)	1	145747414
Path25 : 12	1	133263959
Path28 : der(12)t(12;13)	1	67169967
Path26 : der(13)t(12;13)	1	172692755
Path27 : 13	1	98105051
Path29 : 14	1	106873282
Path30 : 14	1	106873282
Path31 : 15	1	101976507
Path32 : 15	1	101976507
Path33 : 16	1	90224749
Path34 : 16	1	90224749
Path35 : 17	1	83246392
Path36 : 17	1	83246392
Path37 : 18	1	80256374
Path38 : 18	1	80256374
Path39 : 19	1	58605715
Path40 : 19	1	58605715
Path22 : der(20)t(11;20)	1	54623677
Path23 : der(20)t(11;20)	1	62535089
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : Y	1	57212132
