Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 1,241,292,1,1,243490565.0,248943333.0,-1.0,duplication,5435126.0,0,['Path 2']
Segment 1,215,291,1,1,243490565.0,248943333.0,-1.0,duplication,5435126.0,0,[]
Segment 2,241,292,1,1,243490565.0,248943333.0,-1.0,duplication,5435126.0,0,['Path 1']
Segment 2,215,291,1,1,243490565.0,248943333.0,-1.0,duplication,5435126.0,0,[]
Segment 3,316,471,2,2,59014091.0,61597130.0,0.99,deletion,2534127.8,0,[]
Segment 3,317,472,2,2,59014091.0,61597130.0,0.99,deletion,2534127.9,0,[]
Segment 5,316,471,2,2,59014091.0,61597130.0,0.99,deletion,2534127.8,0,['Path 6']
Segment 5,317,472,2,2,59014091.0,61597130.0,0.99,deletion,2534127.9,0,[]
Segment 5,478,232,2,2,186971655.0,193413451.0,0.54,translocation_intrachr,-1.0,0,[]
Segment 5,479,231,2,2,186971655.0,193413451.0,0.87,translocation_intrachr,-1.0,0,[]
Segment 6,490,612,2,14,193395416.0,67606319.0,0.79,translocation_interchr,-1.0,0,['Path 3']
Segment 6,500,611,2,14,193395416.0,67606319.0,0.47,translocation_interchr,-1.0,0,[]
Segment 6,501,1281,2,14,187000150.5,67597984.0,0.6,translocation_interchr,-1.0,0,[]
Segment 6,502,1282,2,14,187000150.5,67597984.0,0.88,translocation_interchr,-1.0,0,[]
Segment 7,478,232,2,2,186971655.0,193413451.0,0.54,translocation_intrachr,-1.0,0,['Path 6']
Segment 7,479,231,2,2,186971655.0,193413451.0,0.87,translocation_intrachr,-1.0,0,[]
Segment 11,1308,931,5,7,97330860.0,109892831.0,0.78,translocation_interchr,-1.0,0,['Path 13']
Segment 11,1309,932,5,7,97330860.0,109892831.0,0.7,translocation_interchr,-1.0,0,[]
Segment 12,1310,591,5,7,97351659.5,118099243.0,0.56,translocation_interchr,-1.0,0,[]
Segment 12,1311,592,5,7,97351659.5,118099243.0,0.66,translocation_interchr,-1.0,0,[]
Segment 16,1646,1410,6,6,87970506.0,90470603.0,0.9,inversion,292786.0,0,[]
Segment 19,1646,1410,6,6,87970506.0,90470603.0,0.9,inversion,292786.0,0,[]
Segment 21,1723,1380,7,7,12437706.0,129389736.5,0.03,translocation_intrachr,-1.0,0,[]
Segment 22,1724,1390,7,7,12457983.0,129386664.0,0.17,translocation_intrachr,-1.0,0,['Path 14']
Segment 22,1725,1301,7,7,17949214.0,136047443.5,0.21,translocation_intrachr,-1.0,0,[]
Segment 22,1726,1302,7,7,17957333.0,136047443.5,0.24,translocation_intrachr,-1.0,0,[]
Segment 23,1800,1261,7,7,109892831.0,118114109.5,0.59,translocation_intrachr,-1.0,0,['Path 14']
Segment 23,1729,1351,7,7,17966436.0,136038607.5,0.08,translocation_intrachr,-1.0,0,[]
Segment 23,1801,1262,7,7,109892831.0,118114109.5,0.48,translocation_intrachr,-1.0,0,[]
Segment 23,1727,1352,7,7,17966436.0,136038607.5,0.51,translocation_intrachr,-1.0,0,[]
Segment 24,1308,931,5,7,97330860.0,109892831.0,0.78,translocation_interchr,-1.0,0,['Path 11']
Segment 24,1309,932,5,7,97330860.0,109892831.0,0.7,translocation_interchr,-1.0,0,[]
Segment 24,1310,591,5,7,97351659.5,118099243.0,0.56,translocation_interchr,-1.0,0,[]
Segment 24,1311,592,5,7,97351659.5,118099243.0,0.66,translocation_interchr,-1.0,0,[]
Segment 25,1800,1261,7,7,109892831.0,118114109.5,0.59,translocation_intrachr,-1.0,0,['Path 14']
Segment 25,1801,1262,7,7,109892831.0,118114109.5,0.48,translocation_intrachr,-1.0,0,[]
Segment 25,1724,1390,7,7,12457983.0,129386664.0,0.17,translocation_intrachr,-1.0,0,[]
Segment 26,1729,1351,7,7,17966436.0,136038607.5,0.08,translocation_intrachr,-1.0,0,['Path 14']
Segment 26,1723,1380,7,7,12437706.0,129389736.5,0.03,translocation_intrachr,-1.0,0,[]
Segment 26,1727,1352,7,7,17966436.0,136038607.5,0.51,translocation_intrachr,-1.0,0,[]
Segment 27,1725,1301,7,7,17949214.0,136047443.5,0.21,translocation_intrachr,-1.0,0,['Path 14']
Segment 27,1726,1302,7,7,17957333.0,136047443.5,0.24,translocation_intrachr,-1.0,0,[]
Segment 30,2361,1582,10,10,46991592.0,48060267.0,0.94,inversion,184646.0,0,[]
Segment 30,2359,1581,10,10,46991592.0,48060267.0,0.9,inversion,189840.5,0,[]
Segment 31,2361,1582,10,10,46991592.0,48060267.0,0.94,inversion,184646.0,0,[]
Segment 31,2359,1581,10,10,46991592.0,48060267.0,0.9,inversion,189840.5,0,[]
Segment 33,2368,1341,10,12,105455048.0,49322159.0,0.94,translocation_interchr,-1.0,0,['Path 22']
Segment 33,2369,1342,10,12,105455048.0,49322159.0,0.91,translocation_interchr,-1.0,0,[]
Segment 33,2372,72,10,12,108894312.0,49341365.5,0.93,translocation_interchr,-1.0,0,[]
Segment 33,2373,71,10,12,108894312.0,49341365.5,0.71,translocation_interchr,-1.0,0,[]
Segment 36,2368,1341,10,12,105455048.0,49322159.0,0.94,translocation_interchr,-1.0,0,[]
Segment 36,2369,1342,10,12,105455048.0,49322159.0,0.91,translocation_interchr,-1.0,0,[]
Segment 37,2372,72,10,12,108894312.0,49341365.5,0.93,translocation_interchr,-1.0,0,['Path 24']
Segment 37,2373,71,10,12,108894312.0,49341365.5,0.71,translocation_interchr,-1.0,0,[]
Segment 39,501,1281,2,14,187000150.5,67597984.0,0.6,translocation_interchr,-1.0,0,['Path 5']
Segment 39,502,1282,2,14,187000150.5,67597984.0,0.88,translocation_interchr,-1.0,0,[]
Segment 40,490,612,2,14,193395416.0,67606319.0,0.79,translocation_interchr,-1.0,0,[]
Segment 40,500,611,2,14,193395416.0,67606319.0,0.47,translocation_interchr,-1.0,0,[]
Segment 42,3024,1541,15,15,30766282.0,31639515.0,0.86,inversion,197002.0,0,[]
Segment 43,3024,1541,15,15,30766282.0,31639515.0,0.86,inversion,197002.0,0,[]
Segment 46,3273,572,18,18,62929304.0,70300144.0,0.07,translocation_intrachr,-1.0,0,[]
Segment 48,3273,572,18,18,62929304.0,70300144.0,0.07,translocation_intrachr,-1.0,0,['Path 36']
