chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248913377	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124456689.0
Path10 : 5	1	174125789	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12466351	87062895.0
Path11 : 6	1	347504550	p25.3	gneg	p25	Path11	-	6	True	78491	2300000	gneg	0	Path11 : 6	6	p25	gneg	7021509	173752275.5
Path12 : 7	1	159334985	q36.3	gneg	q36	Path12	+	7	False	155200000	159334984	gneg	0	Path12 : 7	7	q36	gneg	11134984	79667493.0
Path13 : 7	1	159334985	q36.1	gneg	q36	Path13	-	7	True	148200000	152800000	gneg	0	Path13 : 7	7	q36	gneg	11134984	79667493.0
Path14 : 8	1	144998698	q24.3	gneg	q24	Path14	+	8	True	138900000	145074239	gneg	0	Path14 : 8	8	q24.3	gneg	6174239	72499349.5
Path15 : 8	1	153916479	q24.3	gneg	q24	Path15	-	8	False	138900000	145074239	gpos50	0	Path15 : 8	8	q24.3	gneg	6174239	76958240.0
Path16 : 9	1	138334465	q34.3	gneg	q34	Path16	+	9	False	134500000	138334464	gneg	0	Path16 : 9	9	q34	gneg	10834464	69167233.0
Path17 : 9	1	138334465	q34.11	gneg	q34	Path17	-	9	True	127500000	130600000	gneg	0	Path17 : 9	9	q34	gneg	10834464	69167233.0
Path18 : 10	1	133785265	q26.3	gneg	q26	Path18	+	10	True	128800000	133785266	gneg	0	Path18 : 10	10	q26	gneg	16485266	66892633.0
Path19 : 10	1	133785265	q26.11	gneg	q26	Path19	-	10	True	117300000	119900000	gneg	0	Path19 : 10	10	q26	gneg	16485266	66892633.0
Path2 : 1	1	244746817	q44	gneg	q44	Path2	-	1	False	243500000	248942320	gneg	0	Path2 : 1	1	q44	gneg	5442320	122373409.0
Path20 : 11	1	135069564	q25	gneg	q25	Path20	+	11	True	130900000	135069565	gneg	0	Path20 : 11	11	q25	gneg	4169565	67534782.5
Path21 : 11	1	135069564	q25	gneg	q25	Path21	-	11	False	130900000	135069565	gneg	0	Path21 : 11	11	q25	gneg	4169565	67534782.5
Path22 : 12	1	133263961	q24.33	gneg	q24	Path22	+	12	False	128700000	133263960	gneg	0	Path22 : 12	12	q24.3	gneg	12963960	66631981.0
Path23 : 12	1	133263961	q24.31	gneg	q24	Path23	-	12	True	120300000	125400000	gneg	0	Path23 : 12	12	q24.3	gneg	12963960	66631981.0
Path24 : 13	1	219689730	p13	gvar	p13	Path24	-	13	True	0	4600000	gvar	0	Path24 : 13	13	p13	gpos25	4600000	109844865.5
Path25 : 14	1	106873283	q32.33	gneg	q32	Path25	+	14	False	103500000	106873282	gneg	0	Path25 : 14	14	q32	gneg	17573282	53436642.0
Path26 : 14	1	106873283	q32.11	gneg	q32	Path26	-	14	True	89300000	91400000	gneg	0	Path26 : 14	14	q32	gneg	17573282	53436642.0
Path27 : 15	1	84886771	q26.3	gneg	q26	Path27	+	15	True	101749751	101971270	gneg	0	Path27 : 15	15	q26.3	gneg	3957678	42443386.0
Path28 : 15	1	80064808	q26.3	gneg	q26	Path28	-	15	True	98000000	98833775	gneg	0	Path28 : 15	15	q26.3	gneg	6860062	40032404.5
Path29 : 16	1	90224750	q24.3	gneg	q24	Path29	+	16	True	88700000	90224751	gneg	0	Path29 : 16	16	q24	gneg	6124751	45112375.5
Path3 : 2	1	94151829	p25.3	gneg	p25	Path3	-	2	True	22064	4400000	gneg	0	Path3 : 2	2	p25	gneg	11977936	47075915.0
Path30 : 16	1	90224750	q24.1	gneg	q24	Path30	-	16	True	84100000	87000000	gneg	0	Path30 : 16	16	q24	gneg	6124751	45112375.5
Path31 : 17	1	83246393	q25.3	gneg	q25	Path31	+	17	False	77200000	83246392	gneg	0	Path31 : 17	17	q25	gneg	10346392	41623197.0
Path32 : 17	1	83246393	q25.1	gneg	q25	Path32	-	17	True	72900000	76800000	gneg	0	Path32 : 17	17	q25	gneg	10346392	41623197.0
Path33 : 18	1	80256375	q23	gneg	q23	Path33	+	18	False	75400000	80256374	gneg	0	Path33 : 18	18	q23	gneg	4856374	40128188.0
Path34 : 18	1	80256375	q23	gneg	q23	Path34	-	18	False	75400000	80256374	gneg	0	Path34 : 18	18	q23	gneg	4856374	40128188.0
Path35 : 19	1	58605716	q13.43	gpos25	q13	Path35	+	19	False	55800000	58605715	gneg	0	Path35 : 19	19	q13.4	gpos25	7705715	29302858.5
Path36 : 19	1	58605716	q13.41	gpos25	q13	Path36	-	19	True	50900000	53100000	gpos25	0	Path36 : 19	19	q13.4	gpos25	7705715	29302858.5
Path37 : 20	1	64333719	q13.33	gneg	q13	Path37	+	20	False	59700000	64333718	gneg	0	Path37 : 20	20	q13.3	gneg	7933718	32166860.0
