Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 3,769,281,3,3,150334995.0,154693331.0,0.99,deletion,4353460.2,0,[]
Segment 3,777,282,3,3,150334995.0,154693331.0,0.99,deletion,4353460.2,0,[]
Segment 5,769,281,3,3,150334995.0,154693331.0,0.99,deletion,4353460.2,0,['Path 6']
Segment 5,777,282,3,3,150334995.0,154693331.0,0.99,deletion,4353460.2,0,[]
Segment 14,1312,1291,5,5,83802442.0,88027017.0,1.0,inversion,300032.0,0,[]
Segment 14,1314,1292,5,5,83802442.0,88027017.0,1.0,inversion,300032.0,0,[]
Segment 16,1312,1291,5,5,83802442.0,88027017.0,1.0,inversion,300032.0,0,['Path 10']
Segment 16,1314,1292,5,5,83802442.0,88027017.0,1.0,inversion,300032.0,0,[]
Segment 22,1338,151,6,9,40854909.0,110139087.0,0.31,translocation_interchr,-1.0,0,[]
Segment 22,1363,152,6,9,40854909.0,110139087.0,0.33,translocation_interchr,-1.0,0,[]
Segment 23,1389,1352,6,9,46289346.0,119639791.0,0.58,translocation_interchr,-1.0,0,['Path 14']
Segment 23,1387,172,6,9,40858873.0,110122076.0,0.24,translocation_interchr,-1.0,0,[]
Segment 23,1388,1351,6,9,46289346.0,119639791.0,0.92,translocation_interchr,-1.0,0,[]
Segment 23,1381,171,6,9,40858873.0,110122076.0,0.14,translocation_interchr,-1.0,0,[]
Segment 24,1425,801,6,6,90073395.0,99572055.0,0.15,translocation_intrachr,-1.0,0,['Path 13']
Segment 24,1427,802,6,6,90073395.0,99572055.0,0.13,translocation_intrachr,-1.0,0,[]
Segment 24,1390,1390,6,9,46294839.0,119637312.0,0.76,translocation_interchr,-1.0,0,[]
Segment 25,1441,1010,6,8,99570412.0,43353984.0,0.68,translocation_interchr,-1.0,0,['Path 11']
Segment 25,1428,332,6,8,90075782.0,43339639.0,0.43,translocation_interchr,-1.0,0,[]
Segment 25,1430,331,6,8,90075782.0,43339639.0,0.79,translocation_interchr,-1.0,0,[]
Segment 26,1425,801,6,6,90073395.0,99572055.0,0.15,translocation_intrachr,-1.0,0,['Path 13']
Segment 26,1427,802,6,6,90073395.0,99572055.0,0.13,translocation_intrachr,-1.0,0,[]
Segment 28,1428,332,6,8,90075782.0,43339639.0,0.43,translocation_interchr,-1.0,0,[]
Segment 28,1430,331,6,8,90075782.0,43339639.0,0.79,translocation_interchr,-1.0,0,[]
Segment 29,1441,1010,6,8,99570412.0,43353984.0,0.68,translocation_interchr,-1.0,0,[]
Segment 29,1817,32,8,8,47743108.0,52946792.0,1.0,inversion,5159349.0,0,[]
Segment 29,1815,31,8,8,47743108.0,52946792.0,1.0,inversion,5159349.0,0,[]
Segment 30,1817,32,8,8,47743108.0,52946792.0,1.0,inversion,5159349.0,0,['Path 12']
Segment 30,1826,31,8,8,47787935.0,52949370.0,1.0,inversion,5158857.0,0,[]
Segment 30,1836,32,8,8,47787935.0,52949370.0,1.0,inversion,5158857.0,0,[]
Segment 30,1815,31,8,8,47743108.0,52946792.0,1.0,inversion,5159349.0,0,[]
Segment 31,1826,31,8,8,47787935.0,52949370.0,1.0,inversion,5158857.0,0,['Path 12']
Segment 31,1836,32,8,8,47787935.0,52949370.0,1.0,inversion,5158857.0,0,[]
Segment 34,1387,172,6,9,40858873.0,110122076.0,0.24,translocation_interchr,-1.0,0,['Path 14']
Segment 34,1381,171,6,9,40858873.0,110122076.0,0.14,translocation_interchr,-1.0,0,[]
Segment 35,1338,151,6,9,40854909.0,110139087.0,0.31,translocation_interchr,-1.0,0,[]
Segment 35,1363,152,6,9,40854909.0,110139087.0,0.33,translocation_interchr,-1.0,0,[]
Segment 35,1390,1390,6,9,46294839.0,119637312.0,0.76,translocation_interchr,-1.0,0,[]
Segment 36,1388,1351,6,9,46289346.0,119639791.0,0.92,translocation_interchr,-1.0,0,[]
Segment 36,1389,1352,6,9,46289346.0,119639791.0,0.58,translocation_interchr,-1.0,0,[]
Segment 37,2192,61,10,10,72256473.0,76839570.0,1.0,inversion,4579704.0,0,[]
Segment 37,2209,62,10,10,72256473.0,76839570.0,1.0,inversion,4579704.0,0,[]
