chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248863493	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124431747.0
Path10 : der(18)t(3;18)	1	58243372	q21.31	gneg	q21	Path10	-	18	True	56200000	58243372	gneg	0	Path10 : (18;3)	18	q21.3	gneg	2043372	29121686.5
Path10 : der(18)t(3;18)	58243372	89146666	q29	gneg	q29	Path10	-	3	False	192600000	198217553	gneg	0	Path10 : (18;3)	18	q29	gneg	5617553	73695019.0
Path11 : der(18)t(3;18)	1	53123445	q21.2	gpos75	q21	Path11	+	18	False	50700000	53123444	gneg	0	Path11 : (18;3)	18	q21.2	gpos50	2423444	26561723.0
Path11 : der(18)t(3;18)	53123445	55487955	q26.1	gpos100	q26	Path11	+	3	True	164949748	167314258	gpos100	0	Path11 : (18;3)	18	q26.1	gpos100	2364510	54305700.0
Path11 : der(18)t(3;18)	55487955	77500956	q23	gneg	q23	Path11	+	18	True	75400000	80256374	gneg	0	Path11 : (18;3)	18	q23	gneg	4856374	66494455.5
Path12 : der(3)t(3;18)	1	158610904	q26.1	gpos100	q26	Path12	-	3	True	161000000	164949747	gpos100	0	Path12 : (3;18)	3	q26.1	gpos100	3949747	79305452.5
Path12 : der(3)t(3;18)	158610904	185743832	q23	gneg	q23	Path12	-	18	False	75400000	80256374	gneg	0	Path12 : (3;18)	3	q23	gneg	4856374	172177368.0
Path13 : 4	1	190202565	q35.2	gpos25	q35	Path13	+	4	False	186200000	190202564	gneg	0	Path13 : 4	4	q35	gneg	7902564	95101283.0
Path14 : 4	1	190202565	q35.1	gneg	q35	Path14	-	4	True	182300000	186200000	gpos25	0	Path14 : 4	4	q35	gneg	7902564	95101283.0
Path15 : 5	1	181472715	q35.3	gneg	q35	Path15	+	5	False	177100000	181472714	gneg	0	Path15 : 5	5	q35	gneg	12472714	90736358.0
Path16 : 5	1	181472715	q35.1	gneg	q35	Path16	-	5	True	169000000	173300000	gneg	0	Path16 : 5	5	q35	gneg	12472714	90736358.0
Path17 : 6	1	170739898	q27	gneg	q27	Path17	+	6	False	164100000	170739897	gneg	0	Path17 : 6	6	q27	gneg	6639897	85369949.5
Path18 : 6	1	170739898	q27	gneg	q27	Path18	-	6	False	164100000	170739897	gneg	0	Path18 : 6	6	q27	gneg	6639897	85369949.5
Path19 : 7	1	159277520	q36.3	gneg	q36	Path19	+	7	True	159103088	159329464	gneg	0	Path19 : 7	7	q36	gneg	11122495	79638760.5
Path2 : 12	1	133200512	q24.33	gneg	q24	Path2	+	12	True	128700000	133258008	gneg	0	Path2 : 12	12	q24.3	gneg	12958008	66600256.5
Path20 : 7	1	62057057	q36.3	gneg	q36	Path20	-	7	False	159103088	159329464	gneg	0	Path20 : 7	7	q36	gneg	226376	31028529.0
Path21 : 8	1	145076126	q24.3	gneg	q24	Path21	+	8	False	138900000	145076125	gneg	0	Path21 : 8	8	q24.3	gneg	6176125	72538063.5
Path22 : 8	1	145076126	q24.3	gneg	q24	Path22	-	8	False	138900000	145076125	gneg	0	Path22 : 8	8	q24.3	gneg	6176125	72538063.5
Path23 : 9	1	138298005	q34.3	gneg	q34	Path23	+	9	True	134500000	138326093	gneg	0	Path23 : 9	9	q34	gneg	10826093	69149003.0
Path24 : 9	1	146519258	q34.11	gneg	q34	Path24	-	9	True	127500000	130600000	gneg	0	Path24 : 9	9	q34	gneg	10826093	73259629.5
Path25 : 10	1	133785267	q26.3	gneg	q26	Path25	+	10	False	128800000	133785266	gneg	0	Path25 : 10	10	q26	gneg	16485266	66892634.0
Path26 : 10	1	133785267	q26.11	gneg	q26	Path26	-	10	True	117300000	119900000	gneg	0	Path26 : 10	10	q26	gneg	16485266	66892634.0
Path27 : 13	1	114352103	q34	gneg	q34	Path27	+	13	False	109600000	114352102	gneg	0	Path27 : 13	13	q34	gneg	4752102	57176052.0
Path28 : 13	1	114352103	q34	gneg	q34	Path28	-	13	False	109600000	114352102	gneg	0	Path28 : 13	13	q34	gneg	4752102	57176052.0
Path29 : 14	1	106873283	q32.33	gneg	q32	Path29	+	14	False	103500000	106873282	gneg	0	Path29 : 14	14	q32	gneg	17573282	53436642.0
Path3 : 12	1	133200512	q24.31	gneg	q24	Path3	-	12	True	120300000	125400000	gneg	0	Path3 : 12	12	q24.3	gneg	12958008	66600256.5
Path30 : 14	1	106873283	q32.11	gneg	q32	Path30	-	14	True	89300000	91400000	gneg	0	Path30 : 14	14	q32	gneg	17573282	53436642.0
Path31 : 15	1	84905376	q26.3	gneg	q26	Path31	+	15	True	98000000	101971270	gneg	0	Path31 : 15	15	q26.3	gneg	3971270	42452688.5
Path32 : 15	1	92316406	q26.3	gneg	q26	Path32	-	15	False	98000000	101971270	gneg	0	Path32 : 15	15	q26.3	gneg	3971270	46158203.5
Path33 : 16	1	89130573	q24.3	gneg	q24	Path33	+	16	True	89981994	90220072	gneg	0	Path33 : 16	16	q24	gneg	6097985	44565287.0
Path34 : 16	1	37447683	q24.3	gneg	q24	Path34	-	16	False	89981994	90220072	gneg	0	Path34 : 16	16	q24	gneg	238078	18723842.0
Path35 : 17	1	83246393	q25.3	gneg	q25	Path35	+	17	False	77200000	83246392	gneg	0	Path35 : 17	17	q25	gneg	10346392	41623197.0
Path36 : 17	1	83246393	q25.1	gneg	q25	Path36	-	17	True	72900000	76800000	gneg	0	Path36 : 17	17	q25	gneg	10346392	41623197.0
Path37 : 19	1	58605716	q13.43	gpos25	q13	Path37	+	19	False	55800000	58605715	gneg	0	Path37 : 19	19	q13.4	gpos25	7705715	29302858.5
