0	1	14454.0	2	H	[1]
1	1	14320536.0	2	T	[0, 16, 2]
2	1	14320537.0	2	H	[1, 3, 15]
3	1	15553791.5	2	T	[2, 18, 4]
4	1	15553792.5	2	H	[17, 3, 5]
5	1	76357103.5	2	T	[78, 4, 6]
6	1	76357104.5	2	H	[77, 5, 7]
7	1	77371000.5	2	T	[8, 80, 6]
8	1	77371001.5	2	H	[9, 79, 7]
9	1	163397550.0	2	T	[8, 10]
10	1	163397551.0	3	H	[9, 11]
11	1	164579254.0	3	T	[10, 12]
12	1	164579255	2	H	[11, 13]
13	1	248943332	2	T	[12]
14	2	0.0	2	H	[15]
15	2	42730632.0	2	T	[16, 2, 14]
16	2	42730633.0	2	H	[17, 1, 15]
17	2	44306675.0	2	T	[16, 18, 4]
18	2	44306676.0	2	H	[3, 17, 19]
19	2	173008572.5	2	T	[18, 20, 21]
20	2	173008573.5	2	H	[19, 21, 22]
21	2	174838702.5	2	T	[19, 20, 22]
22	2	174838703.5	2	H	[20, 21, 23]
23	2	242181357.0	2	T	[22]
24	3	12920	2	H	[25]
25	3	84077165.0	2	T	[24, 26]
26	3	84077166.0	3	H	[25, 26, 27]
27	3	84689839.0	3	T	[26, 28]
28	3	84689840.0	2	H	[27, 29]
29	3	194512502.0	2	T	[86, 28, 30]
30	3	194512503.0	2	H	[85, 29, 31]
31	3	195520682.5	2	T	[32, 88, 30]
32	3	195520683.5	2	H	[33, 87, 31]
33	3	198230595.0	2	T	[32]
34	4	12986	2	H	[35]
35	4	91681685.0	2	T	[34, 36]
36	4	91681686.0	3	H	[35, 36, 37]
37	4	92358554.0	3	T	[36, 38]
38	4	92358555	2	H	[37, 39]
39	4	190202563	2	T	[38]
40	5	19315.0	2	H	[41]
41	5	23917829.0	2	T	[40, 42, 47]
42	5	23917830.0	2	H	[41, 43]
43	5	23991438.0	2	T	[42, 44]
44	5	23991439.0	3	H	[43, 44, 45]
45	5	24997608.0	3	T	[44, 46]
46	5	24997609.0	2	H	[45, 47]
47	5	25168765.0	2	T	[48, 41, 46]
48	5	25168766.0	2	H	[49, 47]
49	5	60183707.0	2	T	[48, 50, 56]
50	5	60183708.0	2	H	[49, 51, 57]
51	5	181472713.0	2	T	[50]
52	6	0	2	H	[53]
53	6	170739897	2	T	[52]
54	7	0.0	2	H	[55]
55	7	130353969.0	2	T	[56, 54]
56	7	130353970.0	2	H	[57, 49, 55]
57	7	131830570.0	2	T	[56, 58, 50]
58	7	131830571.0	2	H	[57, 59]
59	7	159334984.0	2	T	[58]
60	8	0	2	H	[61]
61	8	145076125	2	T	[60]
62	9	0	2	H	[63]
63	9	138334464	2	T	[62]
64	10	0	2	H	[65]
65	10	133785266	2	T	[64]
66	11	60458	2	H	[67]
67	11	86881964.0	2	T	[66, 68]
68	11	86881965.0	3	H	[67, 69]
69	11	88665365.0	3	T	[68, 70]
70	11	88665366	2	H	[69, 71]
71	11	135069564	2	T	[70]
72	12	14569	2	H	[73]
73	12	64655543.0	2	T	[72, 74, 76]
74	12	64655544.0	1	H	[73, 75]
75	12	68282927.0	1	T	[74, 76]
76	12	68282928.0	2	H	[73, 75, 77]
77	12	120079170.0	2	T	[76, 78, 6]
78	12	120079171.0	2	H	[5, 77, 79]
79	12	121294373.0	2	T	[80, 8, 78]
80	12	121294374.0	2	H	[81, 7, 79]
81	12	133263959.0	2	T	[80]
82	13	0	2	H	[83]
83	13	114352102	2	T	[82]
84	14	0.0	2	H	[85]
85	14	63342995.0	2	T	[84, 86, 30]
86	14	63342996.0	2	H	[29, 85, 87]
87	14	64123995.5	2	T	[88, 32, 86]
88	14	64123996.5	2	H	[89, 31, 87]
89	14	106873282.0	2	T	[88]
90	15	0	2	H	[91]
91	15	101976509	2	T	[90]
92	16	0.0	2	H	[93]
93	16	21500434.0	2	T	[92, 94, 95]
94	16	21500435.0	2	H	[93, 95]
95	16	22438802.0	2	T	[96, 93, 94]
96	16	22438803.0	2	H	[97, 95]
97	16	90224751.0	2	T	[96]
98	17	0	2	H	[99]
99	17	83246392	2	T	[98]
100	18	18869.0	2	H	[101]
101	18	23899026.5	2	T	[100, 102, 103]
102	18	23906323.0	3	H	[101, 102, 103]
103	18	25662472.0	3	T	[104, 101, 102]
104	18	25666553.0	2	H	[105, 103]
105	18	80256373.0	2	T	[104]
106	19	0	2	H	[107]
107	19	58605715	2	T	[106]
108	20	0	2	H	[109]
109	20	64333718	2	T	[108]
110	21	0	2	H	[111]
111	21	46697230	2	T	[110]
112	22	0.0	2	H	[113]
113	22	28073392.5	2	T	[112, 114, 115]
114	22	28073393.5	2	H	[113, 115, 116]
115	22	29075354.0	2	T	[113, 114, 116]
116	22	29075355.0	2	H	[114, 115, 117]
117	22	50805587.0	2	T	[116]
118	23	0	1	H	[119]
119	23	156025612	1	T	[118]
120	24	0	1	H	[121]
121	24	57212132	1	T	[120]
