index	origin	start	end
1	Chr1	10000	98101998
2	Chr1	98101999	99722540
3	Chr1	99722541	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	248946421
5	Chr2	10000	6275463
6	Chr2	6275464	6275464
7	Chr2	6275465	16850307
8	Chr2	16850308	18182579
9	Chr2	18182580	92188145
CEN2	Chr2	92188146	94090557
10	Chr2	94090558	232448241
11	Chr2	232448242	233568340
12	Chr2	233568341	242183528
13	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
14	Chr3	93655575	130964918
15	Chr3	130964919	130964919
16	Chr3	130964920	198235558
17	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
18	Chr4	51743952	55395985
19	Chr4	55395986	56237706
20	Chr4	56237707	166964163
21	Chr4	166964164	168880581
22	Chr4	168880582	188288137
23	Chr4	188288138	190204554
24	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
25	Chr5	50059808	125223813
26	Chr5	125223814	125223814
27	Chr5	125223815	181478258
28	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
29	Chr6	59829935	109313630
30	Chr6	109313631	110743333
31	Chr6	110743334	170745978
32	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
33	Chr7	60828235	80613912
34	Chr7	80613913	82470869
35	Chr7	82470870	159335972
36	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
37	Chr8	45877266	145078635
38	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
39	Chr9	45518559	92759486
40	Chr9	92759487	93695720
41	Chr9	93695721	138334716
42	Chr10	10000	2006471
43	Chr10	2006472	3161945
44	Chr10	3161946	39686682
CEN10	Chr10	39686683	41593521
45	Chr10	41593522	133787421
46	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
47	Chr11	54425075	58430852
48	Chr11	58430853	59512856
49	Chr11	59512857	135076621
50	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
51	Chr12	37185253	133265308
52	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
53	Chr13	18051249	114354327
54	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
55	Chr14	18173524	73354939
56	Chr14	73354940	74164723
57	Chr14	74164724	106883717
58	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
59	Chr15	19725255	97444726
60	Chr15	97444727	98934030
61	Chr15	98934031	101981188
62	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
63	Chr16	38280683	90228344
64	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
65	Chr17	26885981	83247440
66	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
67	Chr18	20861207	80263284
68	Chr19	60000	20915095
69	Chr19	20915096	22252129
70	Chr19	22252130	24498980
CEN19	Chr19	24498981	27190874
71	Chr19	27190875	31875704
72	Chr19	31875705	33048598
73	Chr19	33048599	58607615
74	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
75	Chr20	30038349	64334166
76	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
77	Chr21	12915809	20063262
78	Chr21	20063263	21505629
79	Chr21	21505630	46699982
80	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
81	Chr22	15054319	33729889
82	Chr22	33729890	34949099
83	Chr22	34949100	49589258
84	Chr22	49589259	50808467
85	ChrX	10000	12122336
86	ChrX	12122337	12122337
87	ChrX	12122338	48476160
88	ChrX	48476161	52374518
89	ChrX	52374519	58605579
CENX	ChrX	58605580	62412542
90	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2+,2+,3+,CEN1+,4+	10000	10000
Chr2a	5+,60+,6+,7+,9+,CEN2+,10+,11-,11+,12+	10000	10000
Chr3a	13+,CEN3+,14+,48+,15+,16+	10000	60000
Chr4a	17+,CEN4+,18+,20+,21+,22+	10000	10000
Chr5a	24+,CEN5+,25+,8+,26+,27+	10000	60000
Chr6a	28+,CEN6+,29+,30-,31+	60000	60000
Chr7a	32+,CEN7+,33+,34-,35+	10000	10000
Chr8a	36+,CEN8+,37+	60000	60000
Chr9a	38+,CEN9+,39+,40+,40-,41+	10000	60000
Chr10a	42+,44+,CEN10+,45+	10000	10000
Chr11a	46+,CEN11+,47+,49+	60000	10000
Chr12a	50+,CEN12+,51+	10000	10000
Chr13a	52+,CEN13+,53+	16000000	10000
Chr14a	54+,CEN14+,55+,56+,56+,57+	16000000	160000
Chr15a	58+,CEN15+,59+,61+	17000000	10000
Chr16a	62+,CEN16+,63+	10000	110000
Chr17a	64+,CEN17+,65+	60000	10000
Chr18a	66+,CEN18+,67+	10000	110000
Chr19a	68+,72+,70+,CEN19+,71+,69+,73+	60000	10000
Chr20a	74+,CEN20+,75+	60000	110000
Chr21a	76+,CEN21+,77+,78-,78+,79+	5010000	10000
Chr22a	80+,CEN22+,81+,82+,83+,84-	10510000	10000
ChrXa	85+,19+,86+,87+,88+,88+,89+,CENX+,90+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: Xp11.22_Microduplication
	tandem_duplication on segments [88+], from ChrXa to ChrXa
block 2: random events
	right duplication inversion on segments [40+], from Chr9a to Chr9a
	tandem duplication on segments [56+], from Chr14a to Chr14a
	inversion on segments [30+], from Chr6a to Chr6a
	balanced reciprocal translocation on segments [69+], from Chr19a to Chr19a
	balanced reciprocal translocation on segments [72+], from Chr19a to Chr19a
	nonreciprocal translocation on segments [19+], from Chr4a to ChrXa
	inversion on segments [84+], from Chr22a to Chr22a
	left duplication inversion on segments [11+], from Chr2a to Chr2a
	tandem duplication on segments [2+], from Chr1a to Chr1a
	nonreciprocal translocation on segments [60+], from Chr15a to Chr2a
	deletion on segments [23+], from Chr4a to Chr4a
	nonreciprocal translocation on segments [8+], from Chr2a to Chr5a
	inversion on segments [34+], from Chr7a to Chr7a
	nonreciprocal translocation on segments [48+], from Chr11a to Chr3a
	left duplication inversion on segments [78+], from Chr21a to Chr21a
	deletion on segments [43+], from Chr10a to Chr10a
