index	origin	start	end
1	Chr1	10000	78195894
2	Chr1	78195895	82594970
3	Chr1	82594971	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	248946421
5	Chr2	10000	48803312
6	Chr2	48803313	48803313
7	Chr2	48803314	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	242183528
9	Chr3	10000	34660653
10	Chr3	34660654	38054914
11	Chr3	38054915	90772458
CEN3	Chr3	90772459	93655574
12	Chr3	93655575	105435845
13	Chr3	105435846	105435846
14	Chr3	105435847	158214991
15	Chr3	158214992	158214992
16	Chr3	158214993	198235558
17	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
18	Chr4	51743952	190204554
19	Chr5	10000	35109951
20	Chr5	35109952	44480722
21	Chr5	44480723	46485900
CEN5	Chr5	46485901	50059807
22	Chr5	50059808	83832780
23	Chr5	83832781	87629039
24	Chr5	87629040	110932279
25	Chr5	110932280	116682095
26	Chr5	116682096	181478258
27	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
28	Chr6	59829935	130309642
29	Chr6	130309643	137267518
30	Chr6	137267519	139792639
31	Chr6	139792640	145923091
32	Chr6	145923092	170745978
33	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
34	Chr7	60828235	159335972
35	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
36	Chr8	45877266	145078635
37	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
38	Chr9	45518559	80694181
39	Chr9	80694182	86471034
40	Chr9	86471035	138334716
41	Chr10	10000	13440060
42	Chr10	13440061	18526518
43	Chr10	18526519	39686682
CEN10	Chr10	39686683	41593521
44	Chr10	41593522	59334261
45	Chr10	59334262	67870389
46	Chr10	67870390	133787421
47	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
48	Chr11	54425075	123392268
49	Chr11	123392269	129105178
50	Chr11	129105179	135076621
51	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
52	Chr12	37185253	64678138
53	Chr12	64678139	68251745
54	Chr12	68251746	96267932
55	Chr12	96267933	102732224
56	Chr12	102732225	133265308
57	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
58	Chr13	18051249	114354327
59	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
60	Chr14	18173524	85935173
61	Chr14	85935174	94354450
62	Chr14	94354451	106883717
63	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
64	Chr15	19725255	95123042
65	Chr15	95123043	100963673
66	Chr15	100963674	101981188
67	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
68	Chr16	38280683	65123529
69	Chr16	65123530	68253511
70	Chr16	68253512	90228344
71	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
72	Chr17	26885981	83247440
73	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
74	Chr18	20861207	80263284
75	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
76	Chr19	27190875	58607615
77	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
78	Chr20	30038349	64334166
79	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
80	Chr21	12915809	46699982
81	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
82	Chr22	15054319	27003643
83	Chr22	27003644	36913204
84	Chr22	36913205	50808467
85	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
86	ChrX	62412543	156030894
87	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
88	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2+,3+,CEN1+,4+	10000	10000
Chr1b	1+,23+,3+,CEN1+,4+	10000	10000
Chr2a	5+,6+,7+,CEN2+,8+	10000	10000
Chr2b	deleted	0	0
Chr3a	9+,10+,11+,CEN3+,12+,13+,14+,39+,15+,16+	10000	60000
Chr3b	9+,11+,CEN3+,12+,83+,13+,14+,15+,16+	10000	60000
Chr4a	17+,CEN4+,18+	10000	10000
Chr4b	17+,CEN4+,18+	10000	10000
Chr5a	19+,20+,21+,CEN5+,22+,23+,24+,25+,26+	10000	60000
Chr5b	19+,20-,21+,CEN5+,22+,2+,24+,69+,26+	10000	60000
Chr6a	27+,CEN6+,28+,29+,30+,30-,29-,31+,32+	60000	60000
Chr6b	27+,CEN6+,28+,29+,61+,32+	60000	60000
Chr7a	33+,CEN7+,34+	10000	10000
Chr7b	33+,CEN7+,34+	10000	10000
Chr8a	35+,CEN8+,36+	60000	60000
Chr8b	35+,CEN8+,36+	60000	60000
Chr9a	37+,CEN9+,38+,39+,40+	10000	60000
Chr9b	37+,CEN9+,38+,40+	10000	60000
Chr10a	41+,42+,43+,CEN10+,44+,45+,46+	10000	10000
Chr10b	41+,43+,CEN10+	10000	10000
Chr11a	47+,CEN11+,48+,49-,50+	60000	10000
Chr11b	47+,CEN11+,48+,49+,50+	60000	10000
Chr12a	51+,CEN12+,52+,54+,55+,56+	10000	10000
Chr12b	51+,CEN12+,52+,53+,54+,65+,56+	10000	10000
Chr12c	51+,CEN12+	10000	10000
Chr13a	57+,CEN13+,58+	16000000	10000
Chr13b	57+,CEN13+,58+	16000000	10000
Chr14a	59+,CEN14+,60+,61+,62+	16000000	160000
Chr14b	59+,CEN14+,60+,30+,31+,62+	16000000	160000
Chr15a	63+,CEN15+,64+,55+,66+	17000000	10000
Chr15b	63+,CEN15+,64+,65+,66+	17000000	10000
Chr16a	67+,CEN16+,68+,69+,70+	10000	110000
Chr16b	67+,CEN16+,68+,25+,70+	10000	110000
Chr17a	71+,CEN17+,72+	60000	10000
Chr17b	71+,CEN17+,72+	60000	10000
Chr18a	73+,CEN18+,74+	10000	110000
Chr18b	73+,CEN18+,74+	10000	110000
Chr19a	75+,CEN19+,76+	60000	10000
