Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 1,121,561,1,1,157643152.0,160237794.0,0.99,deletion,2449838.3,0,[]
Segment 1,126,562,1,1,157643152.0,160237794.0,0.99,deletion,2449838.3,0,[]
Segment 3,160,262,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,['Path 2']
Segment 3,121,561,1,1,157643152.0,160237794.0,0.99,deletion,2449838.3,0,[]
Segment 3,146,261,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,[]
Segment 3,126,562,1,1,157643152.0,160237794.0,0.99,deletion,2449838.3,0,[]
Segment 4,168,261,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,['Path 2']
Segment 4,146,261,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,[]
Segment 4,171,262,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,[]
Segment 4,160,262,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,[]
Segment 5,168,261,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,['Path 2']
Segment 5,171,262,1,1,183231150.0,186072906.0,0.88,inversion,2841756.0,0,[]
Segment 8,596,541,3,3,348236.0,5841513.0,-1.0,duplication_split,5854970.0,0,"['Path 5', 'Path 6', 'Path 6', 'Path 6']"
Segment 8,590,542,3,3,348236.0,5841513.0,-1.0,duplication_split,5859488.5,0,[]
Segment 10,597,541,3,3,9402535.0,15651361.0,0.65,translocation_intrachr,-1.0,0,[]
Segment 10,591,542,3,3,9402535.0,15651361.0,0.66,translocation_intrachr,-1.0,0,[]
Segment 12,597,541,3,3,9402535.0,15651361.0,0.65,translocation_intrachr,-1.0,0,['Path 6']
Segment 12,591,542,3,3,9402535.0,15651361.0,0.66,translocation_intrachr,-1.0,0,[]
Segment 17,1348,1180,5,5,150602198.0,154298696.0,-1.0,duplication_split,4095529.0,0,"['Path 9', 'Path 10', 'Path 10', 'Path 10']"
Segment 19,1423,1240,6,6,11690435.0,19736111.5,0.45,translocation_intrachr,-1.0,0,[]
Segment 20,1425,1251,6,6,11702191.0,19739822.0,0.34,translocation_intrachr,-1.0,0,['Path 12']
Segment 20,1427,1252,6,6,11702191.0,19739822.0,0.33,translocation_intrachr,-1.0,0,[]
Segment 20,1423,1240,6,6,11690435.0,19736111.5,0.45,translocation_intrachr,-1.0,0,[]
Segment 21,1425,1251,6,6,11702191.0,19739822.0,0.34,translocation_intrachr,-1.0,0,['Path 12']
Segment 21,1427,1252,6,6,11702191.0,19739822.0,0.33,translocation_intrachr,-1.0,0,[]
Segment 23,1744,1161,7,7,133840078.0,139782949.0,0.81,translocation_intrachr,-1.0,0,[]
Segment 23,1745,1162,7,7,133840078.0,139782949.0,0.52,translocation_intrachr,-1.0,0,[]
Segment 25,1744,1161,7,7,133840078.0,139782949.0,0.81,translocation_intrachr,-1.0,0,['Path 14']
Segment 25,1745,1162,7,7,133840078.0,139782949.0,0.52,translocation_intrachr,-1.0,0,[]
Segment 28,1992,1222,9,9,26193773.0,35009984.0,0.16,translocation_intrachr,-1.0,0,[]
Segment 28,1993,1221,9,9,26193773.0,35009984.0,0.09,translocation_intrachr,-1.0,0,[]
Segment 30,1992,1222,9,9,26193773.0,35009984.0,0.16,translocation_intrachr,-1.0,0,[]
Segment 30,1993,1221,9,9,26193773.0,35009984.0,0.09,translocation_intrachr,-1.0,0,[]
Segment 34,2138,1210,10,10,17322995.0,22666592.0,-1.0,duplication_split,5262946.0,0,"['Path 19', 'Path 20', 'Path 22', 'Path 22', 'Path 22']"
Segment 38,2144,911,10,10,46991592.0,48060267.0,0.96,inversion,189840.5,0,[]
Segment 39,2144,911,10,10,46991592.0,48060267.0,0.96,inversion,189840.5,0,"['Path 20', 'Path 22']"
Segment 39,2147,1991,10,10,46991592.0,48060267.0,0.98,inversion,785212.0,0,[]
Segment 40,2147,1991,10,10,46991592.0,48060267.0,0.98,inversion,785212.0,0,"['Path 20', 'Path 22']"
Segment 41,2272,901,10,10,126212749.0,122166225.0,0.46,translocation_intrachr,-1.0,0,['Path 20']
Segment 41,2257,901,10,10,120406900.0,125829448.5,0.49,translocation_intrachr,-1.0,0,[]
Segment 41,2273,902,10,10,126212749.0,122166225.0,0.65,translocation_intrachr,-1.0,0,[]
Segment 41,2263,902,10,10,120406900.0,125829448.5,0.1,translocation_intrachr,-1.0,0,[]
Segment 42,2264,621,10,11,125349462.0,23954723.0,0.39,translocation_interchr,-1.0,0,[]
Segment 42,2265,622,10,11,125349462.0,23954723.0,0.77,translocation_interchr,-1.0,0,[]
Segment 43,2271,890,10,11,125351095.0,26128152.0,0.61,translocation_interchr,-1.0,0,['Path 20']
Segment 44,2257,901,10,10,120406900.0,125829448.5,0.49,translocation_intrachr,-1.0,0,[]
Segment 44,2263,902,10,10,120406900.0,125829448.5,0.1,translocation_intrachr,-1.0,0,[]
Segment 45,2272,901,10,10,126212749.0,122166225.0,0.46,translocation_intrachr,-1.0,0,[]
Segment 45,2273,902,10,10,126212749.0,122166225.0,0.65,translocation_intrachr,-1.0,0,[]
Segment 48,2264,621,10,11,125349462.0,23954723.0,0.39,translocation_interchr,-1.0,0,['Path 22']
Segment 48,2265,622,10,11,125349462.0,23954723.0,0.77,translocation_interchr,-1.0,0,[]
Segment 48,2271,890,10,11,125351095.0,26128152.0,0.61,translocation_interchr,-1.0,0,[]
Segment 56,2910,1430,16,16,21500434.0,22438802.0,0.91,inversion,193928.0,0,[]
Segment 57,2910,1430,16,16,21500434.0,22438802.0,0.91,inversion,193928.0,0,[]
Segment 61,3166,1170,18,18,71075213.0,77336741.0,0.15,translocation_intrachr,-1.0,0,[]
Segment 63,3166,1170,18,18,71075213.0,77336741.0,0.15,translocation_intrachr,-1.0,0,['Path 36']
