chr	start	end
Path1 : 1	1	248943332
Path4 : der(1)t(1;21)	1	257697541
Path5 : 2	1	242138087
Path6 : 2	1	233801277
Path7 : 3	1	91515200
Path8 : 3	1	197786918
Path10 : 4	1	192585880
Path9 : 4	1	190161992
Path11 : 5	1	181433089
Path12 : der(5)t(5;7)	1	187202754
Path15 : 6	1	170739897
Path16 : 6	1	170739897
Path13 : 7	1	151446840
Path14 : der(7)t(5;7)	1	164480473
Path17 : 8	1	145076125
Path18 : 8	1	145076125
Path19 : 9	1	138334464
Path20 : 9	1	138334464
Path21 : 10	1	133785262
Path22 : 10	1	133785262
Path23 : 11	1	134981329
Path24 : 11	1	138967710
Path25 : 12	1	133263960
Path26 : 12	1	133263960
Path27 : 13	1	114352102
Path28 : 13	1	114352102
Path29 : 14	1	106873282
Path30 : 14	1	106873282
Path31 : 15	1	101976507
Path32 : 15	1	101976507
Path33 : 16	1	90224751
Path34 : 16	1	90224751
Path35 : 17	1	83141182
Path36 : 17	1	83141182
Path37 : 17	1	78093181
Path38 : 18	1	80256374
Path39 : 18	1	80256374
Path40 : 19	1	58605715
Path41 : 19	1	58605715
Path42 : 20	1	64333718
Path43 : 20	1	64333718
Path2 : 21	1	37943019
Path3 : 21	1	46697228
Path44 : 22	1	40265211
Path45 : 22	1	38341695
Path46 : X	1	156025612
Path47 : X	1	156025612
