chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248914948	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124457474.5
Path10 : 5	1	172721230	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12466351	86360615.5
Path11 : 6	1	170739896	q27	gneg	q27	Path11	+	6	True	164100000	170739897	gneg	0	Path11 : 6	6	q27	gneg	6639897	85369948.5
Path12 : 6	1	170739896	q27	gneg	q27	Path12	-	6	False	164100000	170739897	gneg	0	Path12 : 6	6	q27	gneg	6639897	85369948.5
Path13 : 7	1	159306465	q36.3	gneg	q36	Path13	+	7	True	155200000	159329464	gneg	0	Path13 : 7	7	q36	gneg	11129464	79653233.0
Path14 : 7	1	165064945	q36.1	gneg	q36	Path14	-	7	True	148200000	152800000	gneg	0	Path14 : 7	7	q36	gneg	11129464	82532473.0
Path15 : 8	1	145076126	q24.3	gneg	q24	Path15	+	8	False	138900000	145076125	gneg	0	Path15 : 8	8	q24.3	gneg	6176125	72538063.5
Path16 : 8	1	145076126	q24.3	gneg	q24	Path16	-	8	False	138900000	145076125	gneg	0	Path16 : 8	8	q24.3	gneg	6176125	72538063.5
Path17 : 9	1	138302397	q34.3	gneg	q34	Path17	+	9	True	134500000	138326093	gneg	0	Path17 : 9	9	q34	gneg	10826093	69151199.0
Path18 : 9	1	129175934	q34.11	gneg	q34	Path18	-	9	True	127500000	130600000	gneg	0	Path18 : 9	9	q34	gneg	10826093	64587967.5
Path19 : 10	1	132562519	q26.3	gneg	q26	Path19	+	10	True	132151855	133778994	gneg	0	Path19 : 10	10	q26	gneg	16409388	66281260.0
Path2 : 1	1	246320306	q44	gneg	q44	Path2	-	1	False	243500000	248942320	gneg	0	Path2 : 1	1	q44	gneg	5442320	123160153.5
Path20 : der(10)t(10;11)	1	26128152	p14.3	gpos100	p14	Path20	-	11	True	22000000	23954723	gpos100	0	Path20 : (10;11)	10	p14	gpos100	4128151	13064076.5
Path20 : der(10)t(10;11)	26128152	178920002	q26.11	gneg	q26	Path20	-	10	True	117300000	119900000	gneg	0	Path20 : (10;11)	10	q26	gneg	16409388	102524077.0
Path21 : 11	1	135069564	q25	gneg	q25	Path21	+	11	True	130900000	135069565	gneg	0	Path21 : 11	11	q25	gneg	4169565	67534782.5
Path22 : dic(10;11)	1	129501489	q26.11	gneg	q26	Path22	-	10	True	117300000	119900000	gneg	1	Path22 : (10;11)	10	q26	gneg	8004761	64750745.0
Path22 : dic(10;11)	129501489	240616329	q25	gneg	q25	Path22	-	11	False	130900000	135069565	gneg	1	Path22 : (10;11)	10	q25	gneg	4169565	185058909.0
Path23 : 12	1	133263961	q24.33	gneg	q24	Path23	+	12	False	128700000	133263960	gneg	0	Path23 : 12	12	q24.3	gneg	12963960	66631981.0
Path24 : 12	1	133263961	q24.31	gneg	q24	Path24	-	12	True	120300000	125400000	gneg	0	Path24 : 12	12	q24.3	gneg	12963960	66631981.0
Path25 : 13	1	114352103	q34	gneg	q34	Path25	+	13	False	109600000	114352102	gneg	0	Path25 : 13	13	q34	gneg	4752102	57176052.0
Path26 : 13	1	114352103	q34	gneg	q34	Path26	-	13	False	109600000	114352102	gneg	0	Path26 : 13	13	q34	gneg	4752102	57176052.0
Path27 : 14	1	106873283	q32.33	gneg	q32	Path27	+	14	False	103500000	106873282	gneg	0	Path27 : 14	14	q32	gneg	17573282	53436642.0
Path28 : 14	1	106873283	q32.11	gneg	q32	Path28	-	14	True	89300000	91400000	gneg	0	Path28 : 14	14	q32	gneg	17573282	53436642.0
Path29 : 15	1	84903551	q26.3	gneg	q26	Path29	+	15	True	101622225	101971270	gneg	0	Path29 : 15	15	q26.3	gneg	3958171	42451776.0
