chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248919097	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124459549.0
Path10 : 5	1	181472713	q35.1	gneg	q35	Path10	-	5	True	169000000	173300000	gneg	0	Path10 : 5	5	q35	gneg	12472714	90736357.0
Path11 : 6	1	170739896	q27	gneg	q27	Path11	+	6	True	164100000	170739897	gneg	0	Path11 : 6	6	q27	gneg	6639897	85369948.5
Path12 : der(15)t(6;15)	1	33644179	q21.1	gpos75	q21	Path12	-	15	True	44500000	46931882	gpos75	0	Path12 : (6;15)	15	q21	gpos100	6196604	16822090.0
Path12 : der(15)t(6;15)	33644179	127215280	q27	gneg	q27	Path12	-	6	False	164100000	170739897	gneg	0	Path12 : (6;15)	15	q27	gneg	6639897	80429729.5
Path13 : der(15)t(6;15)	1	29879457	q21.1	gpos75	q21	Path13	+	15	True	44500000	46931882	gpos75	0	Path13 : (15;6)	15	q21	gpos100	2431882	14939729.0
Path13 : der(15)t(6;15)	29879457	34646151	q14.1	gpos50	q14	Path13	+	6	True	75200000	77168795	gpos50	0	Path13 : (15;6)	15	q14	gpos75	1968795	32262804.0
Path13 : der(15)t(6;15)	34646151	85886368	q26.3	gneg	q26	Path13	+	15	True	98000000	101971270	gneg	0	Path13 : (15;6)	15	q26.3	gneg	3971270	60266259.5
Path14 : der(6)t(6;15)	1	72402101	q13	gneg	q13	Path14	-	6	True	69200000	72402100	gneg	0	Path14 : (15;6)	6	q13	gneg	3202100	36201051.0
Path14 : der(6)t(6;15)	72402101	135739340	q26.3	gneg	q26	Path14	-	15	False	98000000	101971270	gneg	0	Path14 : (15;6)	6	q26.3	gneg	3971270	104070720.5
Path15 : 7	1	159334985	q36.3	gneg	q36	Path15	+	7	False	155200000	159334984	gneg	0	Path15 : 7	7	q36	gneg	11134984	79667493.0
Path16 : 7	1	159334985	q36.1	gneg	q36	Path16	-	7	True	148200000	152800000	gneg	0	Path16 : 7	7	q36	gneg	11134984	79667493.0
Path17 : 8	1	145000919	q24.3	gneg	q24	Path17	+	8	True	144889180	145074239	gneg	0	Path17 : 8	8	q24.3	gneg	6173174	72500460.0
Path18 : 8	1	144484558	q24.3	gneg	q24	Path18	-	8	False	144889180	145074239	gneg	0	Path18 : 8	8	q24.3	gneg	185059	72242279.5
Path19 : 9	1	138334465	q34.3	gneg	q34	Path19	+	9	False	134500000	138334464	gneg	0	Path19 : 9	9	q34	gneg	10834464	69167233.0
Path2 : 1	1	239257775	q44	gneg	q44	Path2	-	1	False	243500000	248942320	gneg	0	Path2 : 1	1	q44	gneg	5442320	119628888.0
Path20 : 9	1	138334465	q34.11	gneg	q34	Path20	-	9	True	127500000	130600000	gneg	0	Path20 : 9	9	q34	gneg	10834464	69167233.0
Path21 : 10	1	133785265	q26.3	gneg	q26	Path21	+	10	True	128800000	133785266	gneg	0	Path21 : 10	10	q26	gneg	16485266	66892633.0
Path22 : 10	1	133785265	q26.11	gneg	q26	Path22	-	10	True	117300000	119900000	gneg	0	Path22 : 10	10	q26	gneg	16485266	66892633.0
Path23 : 11	1	135069566	q25	gneg	q25	Path23	+	11	False	130900000	135069565	gneg	0	Path23 : 11	11	q25	gneg	4169565	67534783.5
Path24 : 11	1	135069566	q25	gneg	q25	Path24	-	11	False	130900000	135069565	gneg	0	Path24 : 11	11	q25	gneg	4169565	67534783.5
Path25 : 12	1	133216636	q24.33	gneg	q24	Path25	+	12	True	128700000	133258008	gneg	0	Path25 : 12	12	q24.3	gneg	12958008	66608318.5
Path26 : 12	1	135641283	q24.31	gneg	q24	Path26	-	12	True	120300000	125400000	gneg	0	Path26 : 12	12	q24.3	gneg	12958008	67820642.0
Path27 : 13	1	114352103	q34	gneg	q34	Path27	+	13	False	109600000	114352102	gneg	0	Path27 : 13	13	q34	gneg	4752102	57176052.0
Path28 : 13	1	114352103	q34	gneg	q34	Path28	-	13	False	109600000	114352102	gneg	0	Path28 : 13	13	q34	gneg	4752102	57176052.0
Path29 : 14	1	106873281	q32.33	gneg	q32	Path29	+	14	True	103500000	106873282	gneg	0	Path29 : 14	14	q32	gneg	17573282	53436641.0
