index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	24190577
4	Chr2	24190578	28113967
5	Chr2	28113968	32131513
6	Chr2	32131514	36668070
7	Chr2	36668071	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	160226880
9	Chr2	160226881	164430102
10	Chr2	164430103	168857986
11	Chr2	168857987	171281436
12	Chr2	171281437	175639906
13	Chr2	175639907	180864470
14	Chr2	180864471	181051027
15	Chr2	181051028	186801848
16	Chr2	186801849	187329513
17	Chr2	187329514	193131550
18	Chr2	193131551	207356479
19	Chr2	207356480	212290929
20	Chr2	212290930	242183528
21	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
22	Chr3	93655575	198235558
23	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
24	Chr4	51743952	52044956
25	Chr4	52044957	60309496
26	Chr4	60309497	60865952
27	Chr4	60865953	65606084
28	Chr4	65606085	101745454
29	Chr4	101745455	101745455
30	Chr4	101745456	190204554
31	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
32	Chr5	50059808	141711291
33	Chr5	141711292	145597539
34	Chr5	145597540	181478258
35	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
36	Chr6	59829935	67566180
37	Chr6	67566181	71789830
38	Chr6	71789831	125729560
39	Chr6	125729561	132589794
40	Chr6	132589795	135151611
41	Chr6	135151612	135491905
42	Chr6	135491906	170745978
43	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
44	Chr7	60828235	159335972
45	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
46	Chr8	45877266	88602626
47	Chr8	88602627	90908595
48	Chr8	90908596	100009467
49	Chr8	100009468	103829932
50	Chr8	103829933	142772667
51	Chr8	142772668	145078635
52	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
53	Chr9	45518559	138334716
54	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
55	Chr10	41593522	133787421
56	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
57	Chr11	54425075	135076621
58	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
59	Chr12	37185253	66619130
60	Chr12	66619131	69245754
61	Chr12	69245755	106821517
62	Chr12	106821518	115906042
63	Chr12	115906043	124180784
64	Chr12	124180785	133265308
65	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
66	Chr13	18051249	114354327
67	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
68	Chr14	18173524	84108860
69	Chr14	84108861	93392402
70	Chr14	93392403	106883717
71	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
72	Chr15	19725255	101981188
73	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
74	Chr16	38280683	90228344
75	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
76	Chr17	26885981	30780078
77	Chr17	30780079	31936302
78	Chr17	31936303	83247440
79	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
80	Chr18	20861207	80263284
81	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
82	Chr19	27190875	58607615
83	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
84	Chr20	30038349	64334166
85	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
86	Chr21	12915809	46699982
87	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
88	Chr22	15054319	50808467
89	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
90	ChrX	62412543	156030894
91	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
92	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,17+,5+,7+,CEN2+,8+,9-,9+,10+,11+,12+,11+,33+,14+,69+,16+,4+,18+,19-,19+,20+	10000	10000
Chr2b	3+,4+,5+,6+,7+,CEN2+,8+,9+,10+,11+,12+,13+,14+,15+,16+,17+,18+,19+,20+	10000	10000
Chr3a	21+,CEN3+,22+	10000	60000
Chr3b	21+,CEN3+,22+	10000	60000
Chr4a	23+,CEN4+,24+,27+,26+,25+,28+,6+,29+,30+	10000	10000
Chr4b	23+,CEN4+,24+,25+,26+,27+,28+,29+,30+	10000	10000
Chr5a	31+,CEN5+,32+,12+,13+,34+	10000	60000
Chr5b	31+,CEN5+,32+,33+,34+	10000	60000
Chr6a	35+,CEN6+,36+,37-,38+,39+,40+,40+,41+,41-,40-,39-,42+	60000	60000
Chr6b	35+,CEN6+,36+,37+,38+,39+,40+,41+,42+	60000	60000
Chr7a	43+,CEN7+,44+	10000	10000
Chr7b	43+,CEN7+,44+	10000	10000
Chr8a	45+,CEN8+,46+,47+,48+,49+,49-,50+,51-	60000	60000
Chr8b	45+,CEN8+,46+,47+,48+,49+,50+,51+	60000	60000
Chr9a	52+,CEN9+,53+	10000	60000
Chr9b	52+,CEN9+,53+	10000	60000
Chr10a	54+,CEN10+,55+	10000	10000
Chr10b	54+,CEN10+,55+	10000	10000
Chr11a	56+,CEN11+,57+	60000	10000
Chr11b	56+,CEN11+,57+	60000	10000
Chr12a	58+,CEN12+,59+,60-,61+,62+,63+,64-,64+	10000	10000
Chr12b	58+,CEN12+,59+,60+,61+,62+,63+,64+	10000	10000
Chr13a	65+,CEN13+,66+	16000000	10000
Chr13b	65+,CEN13+,66+	16000000	10000
Chr14a	67+,CEN14+,68+,15+,70+	16000000	160000
Chr14b	67+,CEN14+,68+,69+,70+	16000000	160000
Chr15a	71+,CEN15+,72+	17000000	10000
Chr15b	71+,CEN15+,72+	17000000	10000
Chr16a	73+,CEN16+,74+	10000	110000
Chr16b	73+,CEN16+,74+	10000	110000
Chr17a	75+,CEN17+,76+,78+	60000	10000
Chr17b	75+,CEN17+,76+,77+,78+	60000	10000
Chr18a	79+,CEN18+,80+	10000	110000
Chr18b	79+,CEN18+,80+	10000	110000
Chr19a	81+,CEN19+,82+	60000	10000
Chr19b	81+,CEN19+,82+	60000	10000
Chr20a	83+,CEN20+,84+	60000	110000
Chr20b	83+,CEN20+,84+	60000	110000
Chr21a	85+,CEN21+,86+	5010000	10000
Chr21b	85+,CEN21+,86+	5010000	10000
Chr22a	87+,CEN22+,88+	10510000	10000
Chr22b	87+,CEN22+,88+	10510000	10000
ChrXa	89+,CENX+,90+	10000	10000
ChrYa	91+,CENY+,92+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: NF1
	deletion on segments [77+], from Chr17a to Chr17a
block 2: random events
	balanced reciprocal translocation on segments [4+], from Chr2a to Chr2a
	balanced reciprocal translocation on segments [17+], from Chr2a to Chr2a
	left duplication inversion on segments [19+], from Chr2a to Chr2a
	balanced reciprocal translocation on segments [27+], from Chr4a to Chr4a
	balanced reciprocal translocation on segments [25+], from Chr4a to Chr4a
	inversion on segments [37+], from Chr6a to Chr6a
	tandem duplication on segments [11+,12+], from Chr2a to Chr2a
	right duplication inversion on segments [39+,40+,41+], from Chr6a to Chr6a
	left duplication inversion on segments [64+], from Chr12a to Chr12a
	inversion on segments [51+], from Chr8a to Chr8a
	right duplication inversion on segments [49+], from Chr8a to Chr8a
	tandem duplication on segments [40+], from Chr6a to Chr6a
	balanced reciprocal translocation on segments [15+], from Chr2a to Chr14a
	balanced reciprocal translocation on segments [69+], from Chr14a to Chr2a
	balanced reciprocal translocation on segments [12+,13+], from Chr2a to Chr5a
	balanced reciprocal translocation on segments [33+], from Chr5a to Chr2a
	left duplication inversion on segments [9+], from Chr2a to Chr2a
	inversion on segments [60+], from Chr12a to Chr12a
	nonreciprocal translocation on segments [6+], from Chr2a to Chr4a
