chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : der(1)t(1;9)	1	172726871	q24.3	gpos75	q24	Path1	+	1	True	170900000	172726871	gpos50	0	Path1 : (1;9)	1	q24	gpos50	7226870	86363436.0
Path1 : der(1)t(1;9)	172726871	231886866	q34.3	gneg	q34	Path1	+	9	True	134500000	138326093	gneg	0	Path1 : (1;9)	1	q34	gneg	10826093	202306868.5
Path10 : 4	1	190202565	q35.1	gneg	q35	Path10	-	4	True	182300000	186200000	gpos25	0	Path10 : 4	4	q35	gneg	7902564	95101283.0
Path11 : 5	1	181421369	q35.3	gneg	q35	Path11	+	5	True	177100000	181466351	gneg	0	Path11 : 5	5	q35	gneg	12466351	90710685.0
Path12 : 5	1	194183616	q35.1	gneg	q35	Path12	-	5	True	169000000	173300000	gneg	0	Path12 : 5	5	q35	gneg	12466351	97091808.5
Path13 : 6	1	170739898	q27	gneg	q27	Path13	+	6	False	164100000	170739897	gneg	0	Path13 : 6	6	q27	gneg	6639897	85369949.5
Path14 : 6	1	170739898	q27	gneg	q27	Path14	-	6	False	164100000	170739897	gneg	0	Path14 : 6	6	q27	gneg	6639897	85369949.5
Path15 : 7	1	159278703	q36.3	gneg	q36	Path15	+	7	True	155200000	159329464	gneg	0	Path15 : 7	7	q36	gneg	11129464	79639352.0
Path16 : 7	1	159317089	q36.1	gneg	q36	Path16	-	7	True	148200000	152800000	gneg	0	Path16 : 7	7	q36	gneg	11129464	79658545.0
Path17 : 8	1	145076126	q24.3	gneg	q24	Path17	+	8	False	138900000	145076125	gneg	0	Path17 : 8	8	q24.3	gneg	6176125	72538063.5
Path18 : 8	1	145076126	q24.3	gneg	q24	Path18	-	8	False	138900000	145076125	gneg	0	Path18 : 8	8	q24.3	gneg	6176125	72538063.5
Path19 : 10	1	133785265	q26.3	gneg	q26	Path19	+	10	True	128800000	133785266	gneg	0	Path19 : 10	10	q26	gneg	16485266	66892633.0
Path2 : 9	1	138299746	q34.11	gneg	q34	Path2	-	9	True	127500000	130600000	gneg	0	Path2 : 9	9	q34	gneg	10826093	69149873.5
Path20 : 10	1	133785265	q26.11	gneg	q26	Path20	-	10	True	117300000	119900000	gneg	0	Path20 : 10	10	q26	gneg	16485266	66892633.0
Path21 : 11	1	134987456	q25	gneg	q25	Path21	+	11	True	130900000	135068991	gneg	0	Path21 : 11	11	q25	gneg	4168991	67493728.5
Path22 : 11	1	142773244	q25	gneg	q25	Path22	-	11	False	130900000	135068991	gneg	0	Path22 : 11	11	q25	gneg	4168991	71386622.5
Path23 : 12	1	133263961	q24.33	gneg	q24	Path23	+	12	False	128700000	133263960	gneg	0	Path23 : 12	12	q24.3	gneg	12963960	66631981.0
Path24 : 12	1	133263961	q24.31	gneg	q24	Path24	-	12	True	120300000	125400000	gneg	0	Path24 : 12	12	q24.3	gneg	12963960	66631981.0
Path25 : 13	1	114352103	q34	gneg	q34	Path25	+	13	False	109600000	114352102	gneg	0	Path25 : 13	13	q34	gneg	4752102	57176052.0
Path26 : 13	1	114352103	q34	gneg	q34	Path26	-	13	False	109600000	114352102	gneg	0	Path26 : 13	13	q34	gneg	4752102	57176052.0
Path27 : 14	1	106873283	q32.33	gneg	q32	Path27	+	14	False	103500000	106873282	gneg	0	Path27 : 14	14	q32	gneg	17573282	53436642.0
Path28 : 14	1	106873283	q32.11	gneg	q32	Path28	-	14	True	89300000	91400000	gneg	0	Path28 : 14	14	q32	gneg	17573282	53436642.0
Path29 : 15	1	84842474	q26.3	gneg	q26	Path29	+	15	True	98000000	101971270	gneg	0	Path29 : 15	15	q26.3	gneg	3971270	42421237.5
Path3 : der(9)t(1;9)	1	79139751	q21.31	gpos50	q21	Path3	+	9	True	78500000	79166097	gpos50	0	Path3 : (9;1)	9	q21	gpos100	14159549	39569876.0
Path3 : der(9)t(1;9)	79139751	161900316	q44	gneg	q44	Path3	+	1	True	243500000	248943333	gneg	0	Path3 : (9;1)	9	q44	gneg	5443333	120520033.5
Path30 : 15	1	85350411	q26.3	gneg	q26	Path30	-	15	False	98000000	101971270	gneg	0	Path30 : 15	15	q26.3	gneg	3971270	42675206.0
Path31 : 16	1	90224752	q24.3	gneg	q24	Path31	+	16	False	88700000	90224751	gneg	0	Path31 : 16	16	q24	gneg	6124751	45112376.5
Path32 : 16	1	90224752	q24.1	gneg	q24	Path32	-	16	True	84100000	87000000	gneg	0	Path32 : 16	16	q24	gneg	6124751	45112376.5
Path33 : 17	1	83246393	q25.3	gneg	q25	Path33	+	17	False	77200000	83246392	gneg	0	Path33 : 17	17	q25	gneg	10346392	41623197.0
Path34 : 17	1	83246393	q25.1	gneg	q25	Path34	-	17	True	72900000	76800000	gneg	0	Path34 : 17	17	q25	gneg	10346392	41623197.0
Path35 : 18	1	80256375	q23	gneg	q23	Path35	+	18	False	75400000	80256374	gneg	0	Path35 : 18	18	q23	gneg	4856374	40128188.0
Path36 : 18	1	80256375	q23	gneg	q23	Path36	-	18	False	75400000	80256374	gneg	0	Path36 : 18	18	q23	gneg	4856374	40128188.0
Path37 : 19	1	58605716	q13.43	gpos25	q13	Path37	+	19	False	55800000	58605715	gneg	0	Path37 : 19	19	q13.4	gpos25	7705715	29302858.5
Path38 : 19	1	58605716	q13.41	gpos25	q13	Path38	-	19	True	50900000	53100000	gpos25	0	Path38 : 19	19	q13.4	gpos25	7705715	29302858.5
Path39 : 20	1	64333719	q13.33	gneg	q13	Path39	+	20	False	59700000	64333718	gneg	0	Path39 : 20	20	q13.3	gneg	7933718	32166860.0
Path4 : 1	1	242399228	q44	gneg	q44	Path4	-	1	False	243500000	248943333	gneg	0	Path4 : 1	1	q44	gneg	5443333	121199614.5
Path40 : 20	1	64333719	q13.31	gneg	q13	Path40	-	20	True	56400000	57800000	gneg	0	Path40 : 20	20	q13.3	gneg	7933718	32166860.0
Path41 : 21	1	41674682	q22.3	gneg	q22	Path41	+	21	True	41200000	46696217	gneg	0	Path41 : 21	21	q22	gneg	16496217	20837341.5
Path42 : 21	1	35771813	q22.11	gneg	q22	Path42	-	21	True	30200000	34400000	gneg	0	Path42 : 21	21	q22	gneg	16496217	17885907.0
