index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	180513955
3	Chr1	180513956	188406793
4	Chr1	188406794	248946421
5	Chr2	10000	9332251
6	Chr2	9332252	67894958
7	Chr2	67894959	77217210
8	Chr2	77217211	92188145
CEN2	Chr2	92188146	94090557
9	Chr2	94090558	242183528
10	Chr3	10000	2933328
11	Chr3	2933329	16214608
12	Chr3	16214609	20519964
13	Chr3	20519965	33446382
14	Chr3	33446383	36369711
15	Chr3	36369712	90772458
CEN3	Chr3	90772459	93655574
16	Chr3	93655575	99893319
17	Chr3	99893320	107204258
18	Chr3	107204259	198235558
19	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
20	Chr4	51743952	190204554
21	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
22	Chr5	50059808	101933387
23	Chr5	101933388	101933388
24	Chr5	101933389	124559070
25	Chr5	124559071	125666565
26	Chr5	125666566	132326226
27	Chr5	132326227	181478258
28	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
29	Chr6	59829935	108771012
30	Chr6	108771013	113353432
31	Chr6	113353433	148559147
32	Chr6	148559148	154453377
33	Chr6	154453378	170745978
34	Chr7	10000	17941276
35	Chr7	17941277	25849331
36	Chr7	25849332	46774146
37	Chr7	46774147	48718074
38	Chr7	48718075	56248128
39	Chr7	56248129	58169653
CEN7	Chr7	58169654	60828234
40	Chr7	60828235	89869355
41	Chr7	89869356	92427407
42	Chr7	92427408	96087522
43	Chr7	96087523	100554162
44	Chr7	100554163	159335972
45	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
46	Chr8	45877266	99136676
47	Chr8	99136677	107156954
48	Chr8	107156955	145078635
49	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
50	Chr9	45518559	138334716
51	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
52	Chr10	41593522	63068472
53	Chr10	63068473	67303186
54	Chr10	67303187	133787421
55	Chr11	60000	43973249
56	Chr11	43973250	46030899
57	Chr11	46030900	51078348
CEN11	Chr11	51078349	54425074
58	Chr11	54425075	135076621
59	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
60	Chr12	37185253	133265308
61	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
62	Chr13	18051249	114354327
63	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
64	Chr14	18173524	106883717
65	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
66	Chr15	19725255	64655470
67	Chr15	64655471	64655471
68	Chr15	64655472	101981188
69	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
70	Chr16	38280683	90228344
71	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
72	Chr17	26885981	83247440
73	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
74	Chr18	20861207	80263284
75	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
76	Chr19	27190875	58607615
77	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
78	Chr20	30038349	38708902
79	Chr20	38708903	43406574
80	Chr20	43406575	64334166
81	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
82	Chr21	12915809	46699982
83	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
84	Chr22	15054319	50808467
85	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
86	ChrX	62412543	156030894
87	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
88	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,4+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+	10000	10000
Chr2a	5-,6+,7+,8+,CEN2+,9+	10000	10000
Chr2b	5+,6+,7+,8+,CEN2+,9+	10000	10000
Chr3a	10-,11+,13+,14+,15+,CEN3+,16+,17+,17+,18+	10000	60000
Chr3b	10+,11+,12+,13+,14+,15+,CEN3+,16+,17+,18+	10000	60000
Chr4a	19+,CEN4+,20+	10000	10000
Chr4b	19+,CEN4+,20+	10000	10000
Chr5a	21+,CEN5+,22+,47+,23+,24+,25+,37+,37-,25-,38+,27+	10000	60000
Chr5b	21+,CEN5+,22+,23+,24+,25+,26+,27+	10000	60000
Chr6a	28+,CEN6+,29+,31+,32+,32-,33+	60000	60000
Chr6b	28+,CEN6+,29+,30+,31+,32+,33+	60000	60000
Chr7a	34+,35+,35-,36+,26+,39+,CEN7+,40+,41-,42+,44+	10000	10000
Chr7b	34+,35+,36+,37+,38+,39+,CEN7+,40+,41+,42+,43+,44+	10000	10000
Chr8a	45+,CEN8+,46+,48+	60000	60000
Chr8b	45+,CEN8+,46+,47+,48+	60000	60000
Chr9a	49+,CEN9+,50+	10000	60000
Chr9b	49+,CEN9+,50+	10000	60000
Chr10a	51+,CEN10+,52+,53-,54+	10000	10000
Chr10b	51+,CEN10+,52+,53+,54+	10000	10000
Chr11a	55+,57+,CEN11+,58+	60000	10000
Chr11b	55+,56+,57+,CEN11+,58+	60000	10000
Chr12a	59+,CEN12+,60+	10000	10000
Chr12b	59+,CEN12+,60+	10000	10000
Chr13a	61+,CEN13+,62+	16000000	10000
Chr13b	61+,CEN13+,62+	16000000	10000
Chr14a	63+,CEN14+,64+	16000000	160000
Chr14b	63+,CEN14+,64+	16000000	160000
Chr15a	65+,CEN15+,66+,30+,67+,68+	17000000	10000
Chr15b	65+,CEN15+,66+,67+,68+	17000000	10000
Chr16a	69+,CEN16+,70+	10000	110000
Chr16b	69+,CEN16+,70+	10000	110000
Chr17a	71+,CEN17+,72+	60000	10000
Chr17b	71+,CEN17+,72+	60000	10000
Chr18a	73+,CEN18+,74+	10000	110000
Chr18b	73+,CEN18+,74+	10000	110000
Chr19a	75+,CEN19+,76+	60000	10000
Chr19b	75+,CEN19+,76+	60000	10000
Chr20a	77+,CEN20+,78+,79+,79-,80+	60000	110000
Chr20b	77+,CEN20+,78+,79+,80+	60000	110000
Chr21a	81+,CEN21+,82+	5010000	10000
Chr21b	81+,CEN21+,82+	5010000	10000
Chr22a	83+,CEN22+,84+	10510000	10000
Chr22b	83+,CEN22+,84+	10510000	10000
ChrXa	85+,CENX+,86+	10000	10000
ChrYa	87+,CENY+,88+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: Potocki_Shaffer
	deletion on segments [56+], from Chr11a to Chr11a
block 2: random events
	tandem duplication on segments [17+], from Chr3a to Chr3a
	inversion on segments [53+], from Chr10a to Chr10a
	right duplication inversion on segments [32+], from Chr6a to Chr6a
	inversion on segments [41+], from Chr7a to Chr7a
	balanced reciprocal translocation on segments [26+], from Chr5a to Chr7a
	balanced reciprocal translocation on segments [37+,38+], from Chr7a to Chr5a
	deletion on segments [43+], from Chr7a to Chr7a
	nonreciprocal translocation on segments [47+], from Chr8a to Chr5a
	right duplication inversion on segments [79+], from Chr20a to Chr20a
	deletion on segments [12+], from Chr3a to Chr3a
	right duplication inversion on segments [35+], from Chr7a to Chr7a
	nonreciprocal translocation on segments [30+], from Chr6a to Chr15a
	inversion on segments [5+], from Chr2a to Chr2a
	right duplication inversion on segments [25+,37+], from Chr5a to Chr5a
	inversion on segments [10+], from Chr3a to Chr3a
	deletion on segments [3+], from Chr1a to Chr1a
