chr	start	end
Path1 : 1	1	248922423
Path4 : der(1)t(1;11)	1	168612481
Path6 : 2	1	242181357
Path7 : 2	1	242181357
Path11 : der(3)t(3;17)	1	202673067
Path8 : 3	1	198184353
Path12 : 4	1	190170276
Path13 : 4	1	180446518
Path16 : 5	1	181333153
Path17 : der(5)t(5;8)	1	347729109
Path18 : 6	1	170650535
Path19 : 6	1	174401515
Path20 : 7	1	159296178
Path21 : 7	1	165052904
Path14 : der(8)t(5;8)	1	169195968
Path15 : der(8)t(5;8)	1	145588971
Path22 : 9	1	138334464
Path23 : 9	1	138334464
Path24 : 10	1	133747527
Path25 : 10	1	139758711
Path2 : der(11)t(1;11)	1	220136796
Path3 : 11	1	135069564
Path26 : 12	1	133263960
Path27 : 12	1	133263960
Path28 : 13	1	98334274
Path29 : 13	1	95925546
Path30 : 14	1	106873282
Path31 : 14	1	106873282
Path32 : 15	1	101976509
Path33 : 15	1	101976509
Path34 : 16	1	90224751
Path35 : 16	1	90224751
Path10 : 17	1	83150352
Path9 : 17	1	84462785
Path36 : 18	1	80256374
Path37 : 18	1	80256374
Path38 : 19	1	58605715
Path39 : 19	1	58605715
Path40 : 20	1	64333718
Path41 : 20	1	64333718
Path42 : 21	1	46697230
Path43 : 21	1	46697230
Path44 : 22	1	50805587
Path45 : 22	1	50805587
Path46 : X	1	156025612
Path47 : Y	1	57212132
Path5 : 1	1	5082199
