chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path1 : 1	1	7080315	p36.33	gneg	p36	Path1	-	1	True	19686	2300000	gneg	0	Path1 : 1	1	p36.3	gneg
Path1 : 1	7080315	15880315	p36.23	gpos25	p36	Path1	-	1	True	7100000	9100000	gneg	0	Path1 : 1	1	p36.2	gpos50
Path1 : 1	15880315	27580315	p36.13	gneg	p36	Path1	-	1	True	15900000	20100000	gneg	0	Path1 : 1	1	p36.1	gneg
Path1 : 1	27580315	34280315	p35.3	gpos25	p35	Path1	-	1	True	27600000	29900000	gpos25	0	Path1 : 1	1	p35	gpos25
Path1 : 1	34280315	39580315	p34.3	gneg	p34	Path1	-	1	True	34300000	39600000	gneg	0	Path1 : 1	1	p34.3	gneg
Path1 : 1	39580315	43680315	p34.2	gpos25	p34	Path1	-	1	True	39600000	43700000	gneg	0	Path1 : 1	1	p34.2	gpos25
Path1 : 1	43680315	46280315	p34.1	gneg	p34	Path1	-	1	True	43700000	46300000	gneg	0	Path1 : 1	1	p34.1	gneg
Path1 : 1	46280315	50180315	p33	gpos75	p33	Path1	-	1	True	46300000	50200000	gpos75	0	Path1 : 1	1	p33	gpos75
Path1 : 1	50180315	60780315	p32.3	gneg	p32	Path1	-	1	True	50200000	55600000	gneg	0	Path1 : 1	1	p32	gneg
Path1 : 1	60780315	84380315	p31.3	gpos50	p31	Path1	-	1	True	60800000	68500000	gpos100	0	Path1 : 1	1	p31	gpos100
Path1 : 1	84380315	94280315	p22.3	gneg	p22	Path1	-	1	True	84400000	87900000	gneg	0	Path1 : 1	1	p22	gneg
Path1 : 1	94280315	106680313	p21.3	gpos75	p21	Path1	-	1	True	94300000	96084215	gneg	0	Path1 : 1	1	p21	gpos100
Path1 : 1	106680313	117180313	p13.3	gneg	p13	Path1	-	1	True	106700000	111200000	gneg	0	Path1 : 1	1	p13	gneg
Path1 : 1	117180313	120380313	p12	gpos50	p12	Path1	-	1	True	117200000	120400000	gpos50	0	Path1 : 1	1	p12	gpos575
Path1 : 1	120380313	123380313	p11.2	gneg	p11	Path1	-	1	True	120400000	121700000	acen	0	Path1 : 1	1	p11	acen
Path1 : 1	123380313	125080313	q11	acen	q11	Path1	-	1	True	123400000	125100000	acen	0	Path1 : 1	1	q11	acen
Path1 : 1	125080313	143180313	q12	gvar	q12	Path1	-	1	True	125100000	143200000	gvar	0	Path1 : 1	1	q12	gpos100
Path1 : 1	143180313	155080313	q21.1	gneg	q21	Path1	-	1	True	143200000	147500000	gneg	0	Path1 : 1	1	q21	gneg
Path1 : 1	155080313	156580313	q22	gpos50	q22	Path1	-	1	True	155100000	156600000	gpos50	0	Path1 : 1	1	q22	gpos25
Path1 : 1	156580313	165480313	q23.1	gneg	q23	Path1	-	1	True	156600000	159100000	gneg	0	Path1 : 1	1	q23	gneg
Path1 : 1	165480313	172980313	q24.1	gpos50	q24	Path1	-	1	True	165500000	167200000	gpos75	0	Path1 : 1	1	q24	gpos50
Path1 : 1	172980313	185780313	q25.1	gneg	q25	Path1	-	1	True	173000000	176100000	gneg	0	Path1 : 1	1	q25	gneg
Path1 : 1	185780313	198680313	q31.1	gpos100	q31	Path1	-	1	True	185800000	190800000	gpos100	0	Path1 : 1	1	q31	gpos100
Path1 : 1	198680313	214380313	q32.1	gneg	q32	Path1	-	1	True	198700000	207100000	gneg	0	Path1 : 1	1	q32	gneg
Path1 : 1	214380313	223880313	q41	gpos100	q41	Path1	-	1	True	214400000	223900000	gpos100	0	Path1 : 1	1	q41	gpos100
Path1 : 1	223880313	236380313	q42.11	gneg	q42	Path1	-	1	True	223900000	224400000	gneg	0	Path1 : 1	1	q42	gneg
Path1 : 1	236380313	243480313	q43	gpos75	q43	Path1	-	1	True	236400000	243500000	gpos75	0	Path1 : 1	1	q43	gpos100
Path1 : 1	243480313	248922424	q44	gneg	q44	Path1	-	1	True	243500000	243859912	gneg	0	Path1 : 1	1	q44	gneg
Path4 : der(1)t(1;11)	1	15754588	p15.2	gpos50	p15	Path4	+	11	False	13800000	15754587	gneg	0	Path4 : (1;11)	1	p15	gneg
Path4 : der(1)t(1;11)	15754588	26370371	p21.1	gpos100	p21	Path4	+	1	True	101800000	106700000	gneg	0	Path4 : (1;11)	1	p21	gpos100
Path4 : der(1)t(1;11)	26370371	36870371	p13.1	gneg	p13	Path4	+	1	True	115500000	117200000	gneg	0	Path4 : (1;11)	1	p13	gneg
Path4 : der(1)t(1;11)	36870371	40070371	p12	gpos50	p12	Path4	+	1	True	117200000	120400000	gpos50	0	Path4 : (1;11)	1	p12	gpos575
Path4 : der(1)t(1;11)	40070371	43070371	p11.1	acen	p11	Path4	+	1	True	121700000	123400000	acen	0	Path4 : (1;11)	1	p11	acen
Path4 : der(1)t(1;11)	43070371	44770371	q11	acen	q11	Path4	+	1	True	123400000	125100000	acen	0	Path4 : (1;11)	1	q11	acen
Path4 : der(1)t(1;11)	44770371	62870371	q12	gvar	q12	Path4	+	1	True	125100000	143200000	gvar	0	Path4 : (1;11)	1	q12	gpos100
Path4 : der(1)t(1;11)	62870371	74770371	q21.3	gneg	q21	Path4	+	1	True	150600000	155100000	gneg	0	Path4 : (1;11)	1	q21	gneg
Path4 : der(1)t(1;11)	74770371	76270371	q22	gpos50	q22	Path4	+	1	True	155100000	156600000	gpos50	0	Path4 : (1;11)	1	q22	gpos25
Path4 : der(1)t(1;11)	76270371	85170371	q23.3	gneg	q23	Path4	+	1	True	160500000	165500000	gneg	0	Path4 : (1;11)	1	q23	gneg
Path4 : der(1)t(1;11)	85170371	92670371	q24.3	gpos75	q24	Path4	+	1	True	170900000	173000000	gpos50	0	Path4 : (1;11)	1	q24	gpos50
Path4 : der(1)t(1;11)	92670371	105470371	q25.3	gneg	q25	Path4	+	1	True	180300000	185800000	gneg	0	Path4 : (1;11)	1	q25	gneg
Path4 : der(1)t(1;11)	105470371	118370371	q31.3	gpos100	q31	Path4	+	1	True	193800000	198700000	gpos100	0	Path4 : (1;11)	1	q31	gpos100
Path4 : der(1)t(1;11)	118370371	134070371	q32.3	gneg	q32	Path4	+	1	True	211300000	214400000	gneg	0	Path4 : (1;11)	1	q32	gneg
Path4 : der(1)t(1;11)	134070371	143570371	q41	gpos100	q41	Path4	+	1	True	214400000	223900000	gpos100	0	Path4 : (1;11)	1	q41	gpos100
Path4 : der(1)t(1;11)	143570371	156070371	q42.3	gneg	q42	Path4	+	1	True	234600000	236400000	gneg	0	Path4 : (1;11)	1	q42	gneg
Path4 : der(1)t(1;11)	156070371	163170371	q43	gpos75	q43	Path4	+	1	True	236400000	243500000	gpos75	0	Path4 : (1;11)	1	q43	gpos100
Path4 : der(1)t(1;11)	163170371	168612482	q44	gneg	q44	Path4	+	1	True	243861134	248943333	gneg	0	Path4 : (1;11)	1	q44	gneg
Path6 : 2	1	12000001	p25.1	gneg	p25	Path6	+	2	False	6900000	12000000	gneg	0	Path6 : 2	2	p25	gneg
Path6 : 2	12000001	23800001	p24.1	gpos75	p24	Path6	+	2	False	19000000	23800000	gpos75	0	Path6 : 2	2	p24	gpos100
Path6 : 2	23800001	31800001	p23.1	gneg	p23	Path6	+	2	False	29800000	31800000	gneg	0	Path6 : 2	2	p23	gneg
Path6 : 2	31800001	41500001	p22.1	gpos50	p22	Path6	+	2	False	38300000	41500000	gpos75	0	Path6 : 2	2	p22	gpos100
Path6 : 2	41500001	47500001	p21	gneg	p21	Path6	+	2	False	41500000	47500000	gneg	0	Path6 : 2	2	p21	gneg
Path6 : 2	47500001	61000001	p16.1	gpos100	p16	Path6	+	2	False	54700000	61000000	gpos100	0	Path6 : 2	2	p16	gpos100
Path6 : 2	61000001	63900001	p15	gneg	p15	Path6	+	2	False	61000000	63900000	gneg	0	Path6 : 2	2	p15	gneg
Path6 : 2	63900001	68400001	p14	gpos50	p14	Path6	+	2	False	63900000	68400000	gpos50	0	Path6 : 2	2	p14	gpos50
Path6 : 2	68400001	74800001	p13.1	gneg	p13	Path6	+	2	False	73300000	74800000	gneg	0	Path6 : 2	2	p13	gneg
Path6 : 2	74800001	83100001	p12	gpos100	p12	Path6	+	2	False	74800000	83100000	gpos100	0	Path6 : 2	2	p12	gpos100
Path6 : 2	83100001	91800001	p11.2	gneg	p11	Path6	+	2	False	83100000	91800000	acen	0	Path6 : 2	2	p11.2	gneg
Path6 : 2	91800001	93900001	p11.1	acen	p11	Path6	+	2	False	91800000	93900000	acen	0	Path6 : 2	2	p11.1	acen
Path6 : 2	93900001	96000001	q11.1	acen	q11	Path6	+	2	False	93900000	96000000	acen	0	Path6 : 2	2	q11.1	acen
Path6 : 2	96000001	102100001	q11.2	gneg	q11	Path6	+	2	False	96000000	102100000	acen	0	Path6 : 2	2	q11.2	gneg
Path6 : 2	102100001	108700001	q12.3	gpos25	q12	Path6	+	2	False	106700000	108700000	gpos50	0	Path6 : 2	2	q12	gpos50
Path6 : 2	108700001	112200001	q13	gneg	q13	Path6	+	2	False	108700000	112200000	gneg	0	Path6 : 2	2	q13	gneg
Path6 : 2	112200001	118100001	q14.1	gpos50	q14	Path6	+	2	False	112200000	118100000	gpos50	0	Path6 : 2	2	q14.1	gpos50
Path6 : 2	118100001	121600001	q14.2	gneg	q14	Path6	+	2	False	118100000	121600000	gpos50	0	Path6 : 2	2	q14.2	gneg
Path6 : 2	121600001	129100001	q14.3	gpos50	q14	Path6	+	2	False	121600000	129100000	gpos50	0	Path6 : 2	2	q14.3	gpos50
Path6 : 2	129100001	136100001	q21.3	gneg	q21	Path6	+	2	False	134300000	136100000	gneg	0	Path6 : 2	2	q21	gneg
Path6 : 2	136100001	147900001	q22.3	gpos100	q22	Path6	+	2	False	143400000	147900000	gpos100	0	Path6 : 2	2	q22	gpos100
Path6 : 2	147900001	154000001	q23.3	gneg	q23	Path6	+	2	False	149600000	154000000	gneg	0	Path6 : 2	2	q23	gneg
Path6 : 2	154000001	168900001	q24.3	gpos75	q24	Path6	+	2	False	162900000	168900000	gpos75	0	Path6 : 2	2	q24	gpos100
