index	origin	start	end
1	Chr1	10000	93777924
2	Chr1	93777925	93777925
3	Chr1	93777926	121493624
4	Chr1	121493625	121493625
5	Chr1	121493626	122026459
CEN1	Chr1	122026460	125184587
6	Chr1	125184588	147061831
7	Chr1	147061832	148411223
8	Chr1	148411224	248946421
9	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
10	Chr2	94090558	242183528
11	Chr3	10000	16377321
12	Chr3	16377322	21203684
13	Chr3	21203685	30537971
14	Chr3	30537972	35678172
15	Chr3	35678173	90772458
CEN3	Chr3	90772459	93655574
16	Chr3	93655575	188716372
17	Chr3	188716373	192842997
18	Chr3	192842998	198235558
19	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
20	Chr4	51743952	98867762
21	Chr4	98867763	102858687
22	Chr4	102858688	133355512
23	Chr4	133355513	138636447
24	Chr4	138636448	190204554
25	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
26	Chr5	50059808	119490969
27	Chr5	119490970	122537808
28	Chr5	122537809	125662717
29	Chr5	125662718	130492942
30	Chr5	130492943	170910005
31	Chr5	170910006	173682658
32	Chr5	173682659	181478258
33	Chr6	60000	9932025
34	Chr6	9932026	15265012
35	Chr6	15265013	58553888
CEN6	Chr6	58553889	59829934
36	Chr6	59829935	66447592
37	Chr6	66447593	71173057
38	Chr6	71173058	150558346
39	Chr6	150558347	154996331
40	Chr6	154996332	170745978
41	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
42	Chr7	60828235	159335972
43	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
44	Chr8	45877266	89328299
45	Chr8	89328300	97886202
46	Chr8	97886203	145078635
47	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
48	Chr9	45518559	138334716
49	Chr10	10000	26593420
50	Chr10	26593421	30185093
51	Chr10	30185094	39686682
CEN10	Chr10	39686683	41593521
52	Chr10	41593522	96308015
53	Chr10	96308016	100896493
54	Chr10	100896494	133787421
55	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
56	Chr11	54425075	135076621
57	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
58	Chr12	37185253	133265308
59	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
60	Chr13	18051249	32973662
61	Chr13	32973663	40388796
62	Chr13	40388797	40613812
63	Chr13	40613813	47643527
64	Chr13	47643528	114354327
65	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
66	Chr14	18173524	106883717
67	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
68	Chr15	19725255	48937926
69	Chr15	48937927	56598141
70	Chr15	56598142	101981188
71	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
72	Chr16	38280683	90228344
73	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
74	Chr17	26885981	83247440
75	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
76	Chr18	20861207	80263284
77	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
78	Chr19	27190875	58607615
79	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
80	Chr20	30038349	64334166
81	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
82	Chr21	12915809	46699982
83	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
84	Chr22	15054319	50808467
85	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
86	ChrX	62412543	130223953
87	ChrX	130223954	130223954
88	ChrX	130223955	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2+,3+,4+,5+,CEN1+,6+,8+	10000	10000
Chr1b	1+,34+,2+,3+,27+,4+,5+,CEN1+,6+,7+,8+	10000	10000
Chr2a	9+,CEN2+,10+	10000	10000
Chr2b	9+,CEN2+,10+	10000	10000
Chr3a	11+,12+,13+,14+,15+,CEN3+,16+,17+,18+	10000	60000
Chr3b	11+,17+,13+,14+,14-,15+,CEN3+,16+,12+,18+	10000	60000
Chr4a	19+,CEN4+,20+,21+,21+,22+,23+,24+	10000	10000
Chr4b	19+,CEN4+,20+,21+,22+,23+,23+,24+	10000	10000
Chr5a	25+,CEN5+,26+,27+,28+,29-,29+,30+,31+,32+	10000	60000
Chr5b	25+,CEN5+,26+,28+,29+,30+,31-,32+	10000	60000
Chr6a	33+,35+,CEN6+,36+,39+,37+,38+,40+	60000	60000
Chr6b	33+,34+,35+,CEN6+,36+,37+,38+,39+,40+	60000	60000
Chr7a	41+,CEN7+,42+	10000	10000
Chr7b	41+,CEN7+,42+	10000	10000
Chr8a	43+,CEN8+,44+,45-,46+	60000	60000
Chr8b	43+,CEN8+,44+,45+,46+	60000	60000
Chr9a	47+,CEN9+,48+	10000	60000
Chr9b	47+,CEN9+,48+	10000	60000
Chr10a	49+,50+,51+,CEN10+,52+,53+,53+,54+	10000	10000
Chr10b	49+,50+,50-,51+,CEN10+,52+,53+,54+	10000	10000
Chr11a	55+,CEN11+,56+	60000	10000
Chr11b	55+,CEN11+,56+	60000	10000
Chr12a	57+,CEN12+,58+	10000	10000
Chr12b	57+,CEN12+,58+	10000	10000
