0	1	0.0	2	H	[1]
1	1	167143943.0	2	T	[0, 2, 3]
2	1	167143944.0	2	H	[1, 3, 4]
3	1	173896303.5	2	T	[1, 2, 4]
4	1	173896304.5	2	H	[2, 3, 5]
5	1	248943333.0	2	T	[4]
6	2	15925.0	2	H	[7]
7	2	10318322.25	2	T	[8, 6, 22]
8	2	10318323.25	2	H	[9, 21, 7]
9	2	18215667.0	2	T	[8, 24, 10]
10	2	18215668.0	2	H	[9, 11, 23]
11	2	34045739.0	2	T	[10, 12, 14]
12	2	34045740.0	1	H	[11, 13]
13	2	40163364.0	1	T	[12, 14]
14	2	40182831.0	2	H	[11, 13, 15]
15	2	87052278.0	2	T	[16, 17, 14]
16	2	87052279.0	2	H	[17, 15]
17	2	87717319.0	2	T	[16, 18, 15]
18	2	87717320.0	2	H	[17, 19]
19	2	242181356.0	2	T	[18]
20	3	0.0	2	H	[21]
21	3	2071496.0	2	T	[8, 20, 22]
22	3	2071497.0	2	H	[7, 21, 23]
23	3	10937392.0	2	T	[24, 10, 22]
24	3	10937393.0	2	H	[25, 9, 23]
25	3	198230596.0	2	T	[24]
26	4	0	2	H	[27]
27	4	190202564	2	T	[26]
28	5	19315	2	H	[29]
29	5	254718.0	2	T	[28, 30]
30	5	254719.0	1	H	[29, 31]
31	5	12605821.0	1	T	[32, 30]
32	5	12605822.0	2	H	[33, 31]
33	5	157639707.5	2	T	[32, 34]
34	5	157646546.0	3	H	[33, 35]
35	5	163786078.0	3	T	[34, 36]
36	5	163793639	2	H	[35, 37]
37	5	181472713	2	T	[36]
38	6	76217	2	H	[39]
39	6	86176730.0	2	T	[40, 38]
40	6	86176731.0	3	H	[41, 39]
41	6	90427979.0	3	T	[40, 42]
42	6	90427980	2	H	[41, 43]
43	6	170739896	2	T	[42]
44	7	0	2	H	[45]
45	7	159334984	2	T	[44]
46	8	0.0	2	H	[47]
47	8	116327180.0	2	T	[48, 68, 46]
48	8	116327181.0	2	H	[49, 67, 47]
49	8	122927075.5	2	T	[48, 50, 70]
50	8	122927076.5	2	H	[49, 51, 69]
51	8	145076125.0	2	T	[50]
52	9	0	2	H	[53]
53	9	138334464	2	T	[52]
54	10	18515.0	2	H	[55]
55	10	114840482.0	2	T	[56, 61, 54]
56	10	114840483.0	2	H	[57, 55]
57	10	114962497.0	2	T	[56, 58]
58	10	114962498.0	3	H	[57, 58, 59]
59	10	123824125.0	3	T	[58, 60]
60	10	123824126.0	2	H	[59, 61]
61	10	123879224.0	2	T	[60, 62, 55]
62	10	123879225.0	2	H	[61, 63]
63	10	133785265.0	2	T	[62]
64	11	0	2	H	[65]
65	11	135069565	2	T	[64]
66	12	0.0	2	H	[67]
67	12	75579873.0	2	T	[48, 66, 68]
68	12	75579874.0	2	H	[67, 69, 47]
69	12	81581607.0	2	T	[50, 68, 70]
70	12	81581608.0	2	H	[49, 69, 71]
71	12	133263960.0	2	T	[70]
72	13	16004726.0	2	H	[73]
73	13	90881889.0	2	T	[72, 74, 75]
74	13	90881890.0	2	H	[73, 75, 76]
75	13	96463005.5	2	T	[73, 74, 76]
76	13	96463006.5	2	H	[74, 75, 77]
77	13	110510479.0	2	T	[76, 77, 78]
78	13	110510480.0	3	H	[77, 78, 79]
79	13	113516616.0	3	T	[80, 78]
80	13	113516617	2	H	[81, 79]
81	13	114352101	2	T	[80]
82	14	0	2	H	[83]
83	14	106873282	2	T	[82]
84	15	0.0	2	H	[85]
85	15	30766282.0	2	T	[84, 86]
86	15	30766283.0	2	H	[88, 85, 87]
87	15	31639515.0	2	T	[88, 86]
88	15	31639516.0	2	H	[89, 86, 87]
89	15	101976509.0	2	T	[88]
90	16	0.0	2	H	[91]
91	16	21500434.0	2	T	[90, 92, 93]
92	16	21500435.0	2	H	[91, 93]
93	16	22438802.0	2	T	[91, 92, 94]
94	16	22438803.0	2	H	[93, 95]
95	16	90224751.0	2	T	[94]
96	17	0	2	H	[97]
97	17	83246392	2	T	[96]
98	18	0.0	2	H	[99]
99	18	57250827.5	2	T	[98, 100, 102]
100	18	57250828.5	2	H	[99, 101, 103]
101	18	66759432.5	2	T	[104, 100, 102]
102	18	66759433.5	2	H	[99, 101, 103]
103	18	74947575.5	2	T	[104, 100, 102]
104	18	74947576.5	2	H	[105, 101, 103]
105	18	80256374.0	2	T	[104]
106	19	0	2	H	[107]
107	19	58605715	2	T	[106]
108	20	0	2	H	[109]
109	20	64333718	2	T	[108]
110	21	0	2	H	[111]
111	21	46697230	2	T	[110]
112	22	0	2	H	[113]
113	22	50805587	2	T	[112]
114	23	0	1	H	[115]
115	23	156025612	1	T	[114]
116	24	0	1	H	[117]
117	24	57212132	1	T	[116]
