index	origin	start	end
1	Chr1	10000	80816630
2	Chr1	80816631	82128122
3	Chr1	82128123	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	195351165
5	Chr1	195351166	196236733
6	Chr1	196236734	225395193
7	Chr1	225395194	226942738
8	Chr1	226942739	248946421
9	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
10	Chr2	94090558	242183528
11	Chr3	10000	26090261
12	Chr3	26090262	27198713
13	Chr3	27198714	90772458
CEN3	Chr3	90772459	93655574
14	Chr3	93655575	198235558
15	Chr4	10000	29829702
16	Chr4	29829703	30373112
17	Chr4	30373113	49708100
CEN4	Chr4	49708101	51743951
18	Chr4	51743952	142760854
19	Chr4	142760855	142760855
20	Chr4	142760856	175027257
21	Chr4	175027258	176655196
22	Chr4	176655197	190204554
23	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
24	Chr5	50059808	181478258
25	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
26	Chr6	59829935	170745978
27	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
28	Chr7	60828235	159335972
29	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
30	Chr8	45877266	129463778
31	Chr8	129463779	130546303
32	Chr8	130546304	143996111
33	Chr8	143996112	145078635
34	Chr9	10000	1687134
35	Chr9	1687135	2566308
36	Chr9	2566309	2566309
37	Chr9	2566310	3542452
38	Chr9	3542453	43236167
CEN9	Chr9	43236168	45518558
39	Chr9	45518559	116060877
40	Chr9	116060878	117483641
41	Chr9	117483642	138334716
42	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
43	Chr10	41593522	94597022
44	Chr10	94597023	96570697
45	Chr10	96570698	133787421
46	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
47	Chr11	54425075	105001045
48	Chr11	105001046	106764583
49	Chr11	106764584	135076621
50	Chr12	10000	1011699
51	Chr12	1011700	19857940
52	Chr12	19857941	20859640
53	Chr12	20859641	34769407
CEN12	Chr12	34769408	37185252
54	Chr12	37185253	45004072
55	Chr12	45004073	46139222
56	Chr12	46139223	75905613
57	Chr12	75905614	77079999
58	Chr12	77080000	133265308
59	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
60	Chr13	18051249	21924645
61	Chr13	21924646	23596207
62	Chr13	23596208	114354327
63	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
64	Chr14	18173524	46822180
65	Chr14	46822181	48281802
66	Chr14	48281803	106883717
67	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
68	Chr15	19725255	64007139
69	Chr15	64007140	65218044
70	Chr15	65218045	101981188
71	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
72	Chr16	38280683	90228344
73	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
74	Chr17	26885981	75547159
75	Chr17	75547160	77148004
76	Chr17	77148005	83247440
77	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
78	Chr18	20861207	80263284
79	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
80	Chr19	27190875	58607615
