index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	166520997
3	Chr1	166520998	173738230
4	Chr1	173738231	248946421
5	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	114357741
7	Chr2	114357742	117874457
8	Chr2	117874458	132441096
9	Chr2	132441097	139347980
10	Chr2	139347981	159657880
11	Chr2	159657881	165392056
12	Chr2	165392057	220035988
13	Chr2	220035989	225182242
14	Chr2	225182243	237037275
15	Chr2	237037276	242183528
16	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
17	Chr3	93655575	155949914
18	Chr3	155949915	160790184
19	Chr3	160790185	175295736
20	Chr3	175295737	182903776
21	Chr3	182903777	198235558
22	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
23	Chr4	51743952	190204554
24	Chr5	10000	36296173
25	Chr5	36296174	42038437
26	Chr5	42038438	46485900
CEN5	Chr5	46485901	50059807
27	Chr5	50059808	65695338
28	Chr5	65695339	67878763
29	Chr5	67878764	181478258
30	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
31	Chr6	59829935	170745978
32	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
33	Chr7	60828235	85987226
34	Chr7	85987227	85987227
35	Chr7	85987228	159335972
36	Chr8	60000	9157233
37	Chr8	9157234	18173225
38	Chr8	18173226	27270459
39	Chr8	27270460	44033744
CEN8	Chr8	44033745	45877265
40	Chr8	45877266	145078635
41	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
42	Chr9	45518559	138334716
43	Chr10	10000	11297645
44	Chr10	11297646	15255848
45	Chr10	15255849	25142741
46	Chr10	25142742	25142742
47	Chr10	25142743	32649654
48	Chr10	32649655	35780325
49	Chr10	35780326	39686682
CEN10	Chr10	39686683	41593521
50	Chr10	41593522	115351381
51	Chr10	115351382	117723550
52	Chr10	117723551	131415253
53	Chr10	131415254	133787421
54	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
55	Chr11	54425075	135076621
56	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
57	Chr12	37185253	72159863
58	Chr12	72159864	81104278
59	Chr12	81104279	98529695
60	Chr12	98529696	98529696
61	Chr12	98529697	133265308
62	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
63	Chr13	18051249	93262988
64	Chr13	93262989	99040437
65	Chr13	99040438	114354327
66	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
67	Chr14	18173524	106883717
68	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
69	Chr15	19725255	101981188
70	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
71	Chr16	38280683	90228344
72	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
73	Chr17	26885981	83247440
74	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
75	Chr18	20861207	80263284
76	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
77	Chr19	27190875	58607615
78	Chr20	60000	6065720
79	Chr20	6065721	19485181
80	Chr20	19485182	25490902
81	Chr20	25490903	26436232
CEN20	Chr20	26436233	30038348
82	Chr20	30038349	64334166
83	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
84	Chr21	12915809	46699982
85	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
86	Chr22	15054319	50808467
87	ChrX	10000	6537770
88	ChrX	6537771	8165154
89	ChrX	8165155	58605579
CENX	ChrX	58605580	62412542
90	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,3-,4+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+	10000	10000
Chr2a	5+,CEN2+,6+,9+,7+,8+,10+,25+,12+,13+,14+,15+,15+	10000	10000
Chr2b	5+,CEN2+,6+,7+,8+,9+,10+,11+,12+,13+,14+,15+	10000	10000
Chr3a	16+,CEN3+,17+,20+,19+,18+,21+	10000	60000
Chr3b	16+,CEN3+,17+,18+,19+,20+,21+	10000	60000
Chr4a	22+,CEN4+,23+	10000	10000
Chr4b	22+,CEN4+,23+	10000	10000
Chr5a	24+,11+,26+,CEN5+,27+,28+,28-,29+	10000	60000
Chr5b	24+,25+,26+,CEN5+,27+,28+,29+	10000	60000
Chr6a	deleted	0	0
Chr6b	30+,CEN6+,31+	0	0
Chr7a	32+,CEN7+,33+,64+,34+,35+	10000	10000
Chr7b	32+,CEN7+,33+,34+,35+	10000	10000
Chr8a	36-,36+,37+,38+,39+,CEN8+,40+	60000	60000
Chr8b	36+,37+,38+,39+,CEN8+,40+	60000	60000
Chr9a	CEN9+,42+	10000	60000
Chr9b	41+,CEN9+,42+	10000	60000
Chr10a	43+,45+,58+,46+,47+,49+,CEN10+,50+,51+,52+,53+,53-	10000	10000
Chr10b	43+,44+,45+,46+,47+,48+,49+,CEN10+,50+,51+,52+,53+	10000	10000
Chr11a	54+,CEN11+,55+	60000	10000
Chr11b	54+,CEN11+,55+	60000	10000
Chr12a	56+,CEN12+,57+,59+,48+,60+,61+	10000	10000
Chr12b	56+,CEN12+,57+,58+,59+,60+,61+	10000	10000
Chr13a	62+,CEN13+,63+,65+	16000000	10000
Chr13b	62+,CEN13+,63+,64+,65+	16000000	10000
Chr14a	66+,CEN14+,67+	16000000	160000
Chr14b	66+,CEN14+,67+	16000000	160000
Chr15a	68+,CEN15+,69+	17000000	10000
Chr15b	68+,CEN15+,69+	17000000	10000
Chr16a	70+,CEN16+,71+	10000	110000
Chr16b	70+,CEN16+,71+	10000	110000
Chr17a	72+,CEN17+,73+	60000	10000
Chr17b	72+,CEN17+,73+	60000	10000
Chr18a	74+,CEN18+,75+	10000	110000
Chr18b	74+,CEN18+,75+	10000	110000
Chr19a	76+,CEN19+,77+	60000	10000
Chr19b	76+,CEN19+,77+	60000	10000
Chr20a	78+,78+,79+,80+,81+,CEN20+,82+	60000	110000
Chr20b	78+,79+,80+,81+,CEN20+,82+	60000	110000
Chr21a	83+,CEN21+,84+	5010000	10000
Chr21b	83+,CEN21+,84+	5010000	10000
Chr22a	85+,CEN22+,86+	10510000	10000
Chr22b	85+,CEN22+,86+	10510000	10000
ChrXa	87+,89+,CENX+,90+	10000	10000
ChrXb	87+,88+,89+,CENX+,90+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: STS
	deletion on segments [88+], from ChrXa to ChrXa
block 2: random events
	balanced reciprocal translocation on segments [7+], from Chr2a to Chr2a
	balanced reciprocal translocation on segments [9+], from Chr2a to Chr2a
	left duplication inversion on segments [36+], from Chr8a to Chr8a
	arm deletion on segments [41+], from Chr9a to Chr9a
	chromosomal deletion on segments [30+,CEN6+,31+], from Chr6a to Chr6a
	nonreciprocal translocation on segments [48+], from Chr10a to Chr12a
	nonreciprocal translocation on segments [64+], from Chr13a to Chr7a
	right duplication inversion on segments [53+], from Chr10a to Chr10a
	tandem duplication on segments [78+], from Chr20a to Chr20a
	deletion on segments [44+], from Chr10a to Chr10a
	balanced reciprocal translocation on segments [20+], from Chr3a to Chr3a
	balanced reciprocal translocation on segments [18+], from Chr3a to Chr3a
	inversion on segments [3+], from Chr1a to Chr1a
	balanced reciprocal translocation on segments [11+], from Chr2a to Chr5a
	balanced reciprocal translocation on segments [25+], from Chr5a to Chr2a
	tandem duplication on segments [15+], from Chr2a to Chr2a
	nonreciprocal translocation on segments [58+], from Chr12a to Chr10a
	right duplication inversion on segments [28+], from Chr5a to Chr5a
