chr	start	end
Path1 : 1	1	248943331
Path4 : der(1)t(1;6)	1	289512186
Path5 : 2	1	242139709
Path6 : 2	1	242827031
Path7 : 3	1	198164076
Path8 : 3	1	190750023
Path10 : 4	1	183081632
Path9 : 4	1	190150576
Path11 : 5	1	181472712
Path2 : der(6)t(1;6)	1	129242521
Path3 : der(6)t(1;6)	1	171668414
Path14 : 7	1	159313044
Path15 : 7	1	161944800
Path12 : der(8)t(5;8)	1	155388613
Path16 : 9	1	138334464
Path17 : 9	1	138334464
Path18 : 10	1	133711179
Path19 : 10	1	142632623
Path20 : 11	1	135069565
Path21 : 11	1	135069565
Path22 : 12	1	133263960
Path23 : 12	1	133263960
Path24 : 13	1	114352102
Path25 : 13	1	114352102
Path26 : 14	1	211519060
Path27 : 15	1	84915663
Path28 : 15	1	78822305
Path29 : 16	1	90150179
Path30 : 16	1	57983409
Path31 : 17	1	83246392
Path32 : 17	1	83246392
Path33 : 18	1	80256374
Path34 : 18	1	80256374
Path35 : 19	1	58605715
Path36 : 19	1	58605715
Path37 : 20	1	64333718
Path38 : 20	1	64333718
Path39 : 21	1	46697230
Path40 : 21	1	46697230
Path41 : 22	1	50805587
Path42 : 22	1	50805587
Path43 : X	1	156025612
Path44 : X	1	156025612
Path13 : dic(8;5)	1	312641587
