index	origin	start	end
1	Chr1	10000	93726953
2	Chr1	93726954	93726954
3	Chr1	93726955	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	248946421
5	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	175595783
7	Chr2	175595784	183929125
8	Chr2	183929126	242183528
9	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
10	Chr3	93655575	198235558
11	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
12	Chr4	51743952	73089060
13	Chr4	73089061	75768526
14	Chr4	75768527	190204554
15	Chr5	10000	23154567
16	Chr5	23154568	23154568
17	Chr5	23154569	46485900
CEN5	Chr5	46485901	50059807
18	Chr5	50059808	72648575
19	Chr5	72648576	77794438
20	Chr5	77794439	114338257
21	Chr5	114338258	122516277
22	Chr5	122516278	181478258
23	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
24	Chr6	59829935	170745978
25	Chr7	10000	17992626
26	Chr7	17992627	25882918
27	Chr7	25882919	58169653
CEN7	Chr7	58169654	60828234
28	Chr7	60828235	159335972
29	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
30	Chr8	45877266	145078635
31	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
32	Chr9	45518559	138334716
33	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
34	Chr10	41593522	67844336
35	Chr10	67844337	75826155
36	Chr10	75826156	133787421
37	Chr11	60000	6092014
38	Chr11	6092015	6931122
39	Chr11	6931123	12963137
40	Chr11	12963138	51078348
CEN11	Chr11	51078349	54425074
41	Chr11	54425075	135076621
42	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
43	Chr12	37185253	133265308
44	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
45	Chr13	18051249	114354327
46	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
47	Chr14	18173524	106883717
48	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
49	Chr15	19725255	101981188
50	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
51	Chr16	38280683	90228344
52	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
53	Chr17	26885981	83247440
54	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
55	Chr18	20861207	80263284
56	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
57	Chr19	27190875	58607615
58	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
59	Chr20	30038349	64334166
60	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
61	Chr21	12915809	16536851
62	Chr21	16536852	25290421
63	Chr21	25290422	46699982
64	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
65	Chr22	15054319	21562827
66	Chr22	21562828	23380258
67	Chr22	23380259	50808467
68	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
69	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,62+,2+,3+,CEN1+,4+	10000	10000
Chr1b	1+,2+,3+,CEN1+,4+	10000	10000
Chr2a	5+,CEN2+,6+,8+	10000	10000
Chr2b	5+,CEN2+,6+,7+,8+	10000	10000
Chr3a	9+,CEN3+	10000	60000
Chr3b	9+,CEN3+,10+	10000	60000
Chr4a	11+,CEN4+,12+,13-,13+,14+	10000	10000
Chr4b	11+,CEN4+,12+,13+,14+	10000	10000
Chr5a	15+,26+,16+,17+,CEN5+,18+,20+,21+,21+,22+	10000	60000
Chr5b	15+,16+,17+,CEN5+,18+,19+,20+,21+,22+	10000	60000
Chr6a	23+,CEN6+,24+	60000	60000
Chr6b	23+,CEN6+,24+	60000	60000
Chr7a	25+,27+,CEN7+,28+	10000	10000
Chr7b	25+,26+,27+,CEN7+,28+	10000	10000
Chr8a	29+,CEN8+,30+	60000	60000
Chr8b	29+,CEN8+,30+	60000	60000
Chr9a	31+,CEN9+,32+	10000	60000
Chr9b	31+,CEN9+,32+	10000	60000
Chr10a	33+,CEN10+,34+,35-,36+	10000	10000
Chr10b	33+,CEN10+,34+,35+,36+	10000	10000
Chr11a	37-,37+,38+,39+,40+,CEN11+,41+	60000	10000
Chr11b	37+,38+,39+,40+,CEN11+,41+	60000	10000
Chr12a	42+,CEN12+,43+	10000	10000
Chr12b	42+,CEN12+,43+	10000	10000
Chr13a	44+,CEN13+,45+	16000000	10000
Chr13b	44+,CEN13+,45+	16000000	10000
Chr14a	46+,CEN14+,47+	16000000	160000
Chr14b	46+,CEN14+,47+	16000000	160000
Chr15a	48+,CEN15+,49+	17000000	10000
Chr15b	48+,CEN15+,49+	17000000	10000
Chr16a	50+,CEN16+,51+	10000	110000
Chr16b	50+,CEN16+,51+	10000	110000
Chr17a	52+,CEN17+,53+	60000	10000
Chr17b	52+,CEN17+,53+	60000	10000
Chr17c	52+,CEN17+,53+	60000	10000
Chr18a	54+,CEN18+,55+	10000	110000
Chr18b	54+,CEN18+,55+	10000	110000
Chr19a	56+,CEN19+,57+	60000	10000
Chr19b	56+,CEN19+,57+	60000	10000
Chr20a	58+,CEN20+,59+	60000	110000
Chr20b	58+,CEN20+,59+	60000	110000
Chr21a	60+,CEN21+,61+,63+	5010000	10000
Chr21b	60+,CEN21+,61+,62+,63+	5010000	10000
Chr22a	64+,CEN22+,65+,67+	10510000	10000
Chr22b	64+,CEN22+,65+,66+,67+	10510000	10000
ChrXa	68+,CENX+,69+	10000	10000
ChrXb	68+,CENX+,69+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX']
block 1: 22q11.2_distal_deletion
	deletion on segments [66+], from Chr22a to Chr22a
block 2: random events
	chromosomal duplication on segments [52+,CEN17+,53+], from Chr17a to Chr17a
	nonreciprocal translocation on segments [26+], from Chr7a to Chr5a
	deletion on segments [7+], from Chr2a to Chr2a
	tandem duplication on segments [21+], from Chr5a to Chr5a
	left duplication inversion on segments [13+], from Chr4a to Chr4a
	arm deletion on segments [10+], from Chr3a to Chr3a
	inversion on segments [35+], from Chr10a to Chr10a
	left duplication inversion on segments [37+], from Chr11a to Chr11a
	deletion on segments [19+], from Chr5a to Chr5a
	nonreciprocal translocation on segments [62+], from Chr21a to Chr1a
