chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248916825	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg	5442320	124458413.0
Path10 : der(3)t(3;14)	1	195104390	q29	gneg	q29	Path10	-	3	True	192600000	194512502	gneg	0	Path10 : (3;14)	3	q29	gneg	1912502	97552195.5
Path10 : der(3)t(3;14)	195104390	238634675	q32.11	gneg	q32	Path10	-	14	True	89300000	91400000	gneg	0	Path10 : (3;14)	3	q32	gneg	17573282	216869532.5
Path11 : 4	1	190178514	q35.2	gpos25	q35	Path11	+	4	True	186200000	190196474	gneg	0	Path11 : 4	4	q35	gneg	7896474	95089257.5
Path12 : 4	1	190855382	q35.1	gneg	q35	Path12	-	4	True	182300000	186200000	gpos25	0	Path12 : 4	4	q35	gneg	7896474	95427691.5
Path13 : 5	1	181435256	q35.3	gneg	q35	Path13	+	5	True	177100000	181466351	gneg	0	Path13 : 5	5	q35	gneg	12466351	90717628.5
Path14 : der(7)t(5;7)	1	131830570	q32.1	gneg	q32	Path14	-	7	True	127500000	129600000	gneg	0	Path14 : (7;5)	7	q32	gneg	4330569	65915285.5
Path14 : der(7)t(5;7)	131830570	253113213	q35.1	gneg	q35	Path14	-	5	True	169000000	173300000	gneg	0	Path14 : (7;5)	7	q35	gneg	12466351	192471891.5
Path15 : 7	1	159334983	q36.3	gneg	q36	Path15	+	7	True	155200000	159334984	gneg	0	Path15 : 7	7	q36	gneg	11134984	79667492.0
Path16 : der(5)t(5;7)	1	61158782	q12.1	gpos75	q12	Path16	-	5	True	59600000	60183707	gpos75	0	Path16 : (5;7)	5	q12	gpos75	583707	30579391.5
Path16 : der(5)t(5;7)	61158782	90139795	q36.1	gneg	q36	Path16	-	7	True	148200000	152800000	gneg	0	Path16 : (5;7)	5	q36	gneg	11134984	75649288.5
Path17 : 6	1	170739898	q27	gneg	q27	Path17	+	6	False	164100000	170739897	gneg	0	Path17 : 6	6	q27	gneg	6639897	85369949.5
Path18 : 6	1	170739898	q27	gneg	q27	Path18	-	6	False	164100000	170739897	gneg	0	Path18 : 6	6	q27	gneg	6639897	85369949.5
Path19 : 8	1	145076126	q24.3	gneg	q24	Path19	+	8	False	138900000	145076125	gneg	0	Path19 : 8	8	q24.3	gneg	6176125	72538063.5
Path2 : der(12)t(1;12)	1	116412646	q24.23	gpos50	q24	Path2	+	12	True	117700000	120079170	gneg	0	Path2 : (12;1)	12	q24.2	gpos25	6179170	58206323.5
Path2 : der(12)t(1;12)	116412646	117426542	p31.1	gpos100	p31	Path2	+	1	True	76357104	77371000	gpos100	0	Path2 : (12;1)	12	p31	gpos100	1013896	116919594.0
Path2 : der(12)t(1;12)	117426542	129390176	q24.33	gneg	q24	Path2	+	12	True	128700000	133258008	gneg	0	Path2 : (12;1)	12	q24.3	gneg	11963634	123408359.0
Path20 : 8	1	145076126	q24.3	gneg	q24	Path20	-	8	False	138900000	145076125	gneg	0	Path20 : 8	8	q24.3	gneg	6176125	72538063.5
Path21 : 9	1	138334465	q34.3	gneg	q34	Path21	+	9	False	134500000	138334464	gneg	0	Path21 : 9	9	q34	gneg	10834464	69167233.0
Path22 : 9	1	138334465	q34.11	gneg	q34	Path22	-	9	True	127500000	130600000	gneg	0	Path22 : 9	9	q34	gneg	10834464	69167233.0
Path23 : 10	1	133785267	q26.3	gneg	q26	Path23	+	10	False	128800000	133785266	gneg	0	Path23 : 10	10	q26	gneg	16485266	66892634.0
Path24 : 10	1	133785267	q26.11	gneg	q26	Path24	-	10	True	117300000	119900000	gneg	0	Path24 : 10	10	q26	gneg	16485266	66892634.0
Path25 : 11	1	134983699	q25	gneg	q25	Path25	+	11	True	130900000	135068991	gneg	0	Path25 : 11	11	q25	gneg	4168991	67491850.0
Path26 : 11	1	136767099	q25	gneg	q25	Path26	-	11	False	130900000	135068991	gneg	0	Path26 : 11	11	q25	gneg	4168991	68383550.0
Path27 : 13	1	114352103	q34	gneg	q34	Path27	+	13	False	109600000	114352102	gneg	0	Path27 : 13	13	q34	gneg	4752102	57176052.0
Path28 : 13	1	114352103	q34	gneg	q34	Path28	-	13	False	109600000	114352102	gneg	0	Path28 : 13	13	q34	gneg	4752102	57176052.0
Path29 : 15	1	101976510	q26.3	gneg	q26	Path29	+	15	False	98000000	101976509	gneg	0	Path29 : 15	15	q26.3	gneg	3976509	50988255.5
Path3 : der(2)t(1;2)	1	42730633	p21	gneg	p21	Path3	+	2	False	41500000	42730632	gneg	0	Path3 : (2;1)	2	p21	gneg	1230632	21365317.0
Path3 : der(2)t(1;2)	42730633	43963887	p36.21	gpos50	p36	Path3	+	1	True	14320537	15553791	gpos50	0	Path3 : (2;1)	2	p36.2	gpos50	1233254	43347260.0
