Segments,smap_id,q_id,ref_c_id1,ref_c_id2,ref_start,ref_end,confidence,sv_type,size,VAF,Paths
Segment 1,33,292,1,1,44072317.0,45843902.0,0.99,deletion,1745017.8,0,[]
Segment 1,15,291,1,1,44072317.0,45843902.0,0.99,deletion,1745017.8,0,[]
Segment 3,33,292,1,1,44072317.0,45843902.0,0.99,deletion,1745017.8,0,['Path 2']
Segment 3,15,291,1,1,44072317.0,45843902.0,0.99,deletion,1745017.8,0,[]
Segment 5,356,72,2,10,54917843.0,77109914.0,0.4,translocation_interchr,-1.0,0,['Path 4']
Segment 5,357,72,2,10,55571413.0,77113976.0,0.05,translocation_interchr,-1.0,0,[]
Segment 7,635,82,3,3,76131299.0,76946050.0,1.0,inversion,806437.0,0,[]
Segment 7,686,81,3,3,76131299.0,76946050.0,1.0,inversion,806437.0,0,[]
Segment 8,690,81,3,3,76139613.0,76951042.0,1.0,inversion,806437.0,0,['Path 7']
Segment 8,635,82,3,3,76131299.0,76946050.0,1.0,inversion,806437.0,0,[]
Segment 8,692,82,3,3,76139613.0,76951042.0,1.0,inversion,806437.0,0,[]
Segment 8,686,81,3,3,76131299.0,76946050.0,1.0,inversion,806437.0,0,[]
Segment 9,690,81,3,3,76139613.0,76951042.0,1.0,inversion,806437.0,0,['Path 7']
Segment 9,692,82,3,3,76139613.0,76951042.0,1.0,inversion,806437.0,0,[]
Segment 10,776,692,3,3,136311880.0,136311880.0,-1.0,duplication_inverted,248543.0,0,['Path 7']
Segment 10,771,162,3,3,134771031.0,136337312.0,0.06,translocation_intrachr,-1.0,0,[]
Segment 10,772,161,3,3,134771031.0,136337312.0,0.11,translocation_intrachr,-1.0,0,[]
Segment 10,774,691,3,3,136311880.0,136311880.0,-1.0,duplication_inverted,210211.0,0,[]
Segment 11,771,162,3,3,134771031.0,136337312.0,0.06,translocation_intrachr,-1.0,0,['Path 7']
Segment 11,772,161,3,3,134771031.0,136337312.0,0.11,translocation_intrachr,-1.0,0,[]
Segment 15,1688,1160,7,7,48889313.0,49865903.0,1.0,inversion,289875.0,0,[]
Segment 16,1688,1160,7,7,48889313.0,49865903.0,1.0,inversion,289875.0,0,['Path 17']
Segment 16,1690,1251,7,7,48891927.0,49889650.0,1.0,inversion,204691.5,0,[]
Segment 16,1692,1252,7,7,48891927.0,49889650.0,1.0,inversion,295938.5,0,[]
Segment 17,1690,1251,7,7,48891927.0,49889650.0,1.0,inversion,204691.5,0,['Path 17']
Segment 17,1692,1252,7,7,48891927.0,49889650.0,1.0,inversion,295938.5,0,[]
Segment 18,1834,541,7,19,148702224.0,47451405.0,0.86,translocation_interchr,-1.0,0,['Path 15']
Segment 18,1836,542,7,19,148702224.0,47451405.0,0.39,translocation_interchr,-1.0,0,[]
Segment 18,1822,760,7,19,147743530.0,47441350.0,0.67,translocation_interchr,-1.0,0,[]
Segment 20,1914,122,8,14,79653159.0,32904993.0,0.3,translocation_interchr,-1.0,0,[]
Segment 20,1894,121,8,14,79653159.0,32904993.0,0.68,translocation_interchr,-1.0,0,[]
Segment 21,2021,1292,8,14,81392223.0,34571474.0,0.94,translocation_interchr,-1.0,0,['Path 20']
Segment 21,2020,112,8,14,79671947.0,32897263.0,0.87,translocation_interchr,-1.0,0,[]
Segment 21,1965,111,8,14,79671947.0,32896554.0,0.69,translocation_interchr,-1.0,0,[]
Segment 21,2022,1291,8,14,81392223.0,34571474.0,0.96,translocation_interchr,-1.0,0,[]
Segment 22,2024,1141,8,14,81405002.0,34548033.0,0.97,translocation_interchr,-1.0,0,['Path 19']
Segment 22,2025,1191,8,8,128454876.0,129418132.0,0.77,inversion,303935.0,0,[]
Segment 22,2027,1192,8,8,128454876.0,129418132.0,0.74,inversion,276348.0,0,[]
Segment 22,2023,1142,8,14,81405002.0,34548033.0,0.91,translocation_interchr,-1.0,0,[]
Segment 24,2025,1191,8,8,128454876.0,129418132.0,0.77,inversion,303935.0,0,['Path 19']
Segment 24,2027,1192,8,8,128454876.0,129418132.0,0.74,inversion,276348.0,0,[]
Segment 27,356,72,2,10,54917843.0,77109914.0,0.4,translocation_interchr,-1.0,0,[]
Segment 28,357,72,2,10,55571413.0,77113976.0,0.05,translocation_interchr,-1.0,0,[]
Segment 29,2371,1112,10,10,122393430.0,124319283.0,-1.0,duplication_split,1927044.0,0,['Path 5']
Segment 29,2372,1111,10,10,122393430.0,124319283.0,-1.0,duplication_split,1927044.0,0,[]
Segment 31,2379,241,11,11,11266026.0,12456778.0,1.0,inversion,1180576.5,0,[]
Segment 31,2389,242,11,11,11266026.0,12456778.0,1.0,inversion,1180576.5,0,[]
Segment 32,2394,242,11,11,11276201.5,12459321.0,1.0,inversion,1180576.5,0,['Path 27']
Segment 32,2379,241,11,11,11266026.0,12456778.0,1.0,inversion,1180576.5,0,[]
Segment 32,2389,242,11,11,11266026.0,12456778.0,1.0,inversion,1180576.5,0,[]
Segment 32,2391,241,11,11,11276201.5,12459321.0,1.0,inversion,1180576.5,0,[]
Segment 33,2394,242,11,11,11276201.5,12459321.0,1.0,inversion,1180576.5,0,['Path 27']
Segment 33,2391,241,11,11,11276201.5,12459321.0,1.0,inversion,1180576.5,0,[]
Segment 36,2669,52,12,12,113737267.0,114389292.0,0.99,deletion,566687.0,0,[]
Segment 38,2669,52,12,12,113737267.0,114389292.0,0.99,deletion,566687.0,0,['Path 29']
Segment 40,2020,112,8,14,79671947.0,32897263.0,0.87,translocation_interchr,-1.0,0,['Path 20']
Segment 40,1965,111,8,14,79671947.0,32896554.0,0.69,translocation_interchr,-1.0,0,[]
Segment 41,2024,1141,8,14,81405002.0,34548033.0,0.97,translocation_interchr,-1.0,0,['Path 23']
Segment 41,1914,122,8,14,79653159.0,32904993.0,0.3,translocation_interchr,-1.0,0,[]
Segment 41,1894,121,8,14,79653159.0,32904993.0,0.68,translocation_interchr,-1.0,0,[]
Segment 41,2023,1142,8,14,81405002.0,34548033.0,0.91,translocation_interchr,-1.0,0,[]
Segment 42,2965,640,14,18,77433989.0,74571520.0,0.22,translocation_interchr,-1.0,0,[]
Segment 42,2021,1292,8,14,81392223.0,34571474.0,0.94,translocation_interchr,-1.0,0,[]
Segment 42,2022,1291,8,14,81392223.0,34571474.0,0.96,translocation_interchr,-1.0,0,[]
Segment 43,2966,640,14,18,77439979.0,76248200.0,0.38,translocation_interchr,-1.0,0,['Path 21']
Segment 45,3107,1511,16,16,21500434.0,22438802.0,0.88,inversion,198203.0,0,[]
Segment 46,3107,1511,16,16,21500434.0,22438802.0,0.88,inversion,198203.0,0,[]
Segment 50,2965,640,14,18,77433989.0,74571520.0,0.22,translocation_interchr,-1.0,0,['Path 23']
Segment 50,2966,640,14,18,77439979.0,76248200.0,0.38,translocation_interchr,-1.0,0,[]
Segment 52,1822,760,7,19,147743530.0,47441350.0,0.67,translocation_interchr,-1.0,0,[]
Segment 53,1834,541,7,19,148702224.0,47451405.0,0.86,translocation_interchr,-1.0,0,['Path 17']
Segment 53,1836,542,7,19,148702224.0,47451405.0,0.39,translocation_interchr,-1.0,0,[]
