0	1	0.0	2	H	[1]
1	1	93719319.25	2	T	[0, 2, 108]
2	1	93719320.25	2	H	[1, 3, 109]
3	1	248943333.0	2	T	[2]
4	2	15925	2	H	[5]
5	2	175590434.0	2	T	[8, 4, 6]
6	2	175592943.5	1	H	[5, 7]
7	2	183929753.0	1	T	[8, 6]
8	2	183929754.0	1	H	[9, 5, 7]
9	2	183984819.0	1	T	[8, 10]
10	2	183984820	2	H	[9, 11]
11	2	242181356	2	T	[10]
12	3	12920	2	H	[13]
13	3	91946511.0	2	T	[12, 14]
14	3	91946512.0	1	H	[13, 15]
15	3	144382183.0	1	T	[16, 14]
16	3	144392509.0	1	H	[17, 15]
17	3	145704202.0	1	T	[16, 18]
18	3	145706242.0	1	H	[17, 19]
19	3	198230596.0	1	T	[18]
20	4	12986.0	2	H	[21]
21	4	73066639.0	2	T	[27, 20, 22]
22	4	73066640.0	2	H	[21, 23]
23	4	73192018.0	2	T	[24, 22]
24	4	73192019.0	3	H	[24, 25, 23]
25	4	75615907.0	3	T	[24, 26]
26	4	75615908.0	2	H	[25, 27]
27	4	75758785.0	2	T	[26, 28, 21]
28	4	75758786.0	2	H	[27, 29]
29	4	190202563.0	2	T	[28]
30	5	19315.0	2	H	[31]
31	5	23156358.5	2	T	[32, 48, 30]
32	5	23156359.5	2	H	[33, 49, 31]
33	5	72640050.0	2	T	[32, 34, 36]
34	5	72642337.0	1	H	[33, 35]
35	5	77794512.0	1	T	[34, 36]
36	5	77794513.0	1	H	[33, 35, 37]
37	5	77860221.0	1	T	[36, 38]
38	5	77860222	2	H	[37, 39]
39	5	114334914.0	2	T	[40, 38]
40	5	114336983.0	3	H	[41, 39]
41	5	122516172.0	3	T	[40, 42]
42	5	122516173	2	H	[41, 43]
43	5	181472713	2	T	[42]
44	6	0	2	H	[45]
45	6	170739897	2	T	[44]
46	7	0.0	2	H	[47]
47	7	17990943.5	2	T	[48, 50, 46]
48	7	17990944.5	2	H	[49, 31, 47]
49	7	25879086.0	2	T	[48, 50, 32]
50	7	25879087.0	2	H	[49, 51, 47]
51	7	159334984.0	2	T	[50]
52	8	0	2	H	[53]
53	8	145076125	2	T	[52]
54	9	0	2	H	[55]
55	9	138334464	2	T	[54]
56	10	0.0	2	H	[57]
57	10	46991592.0	2	T	[56, 58, 59]
58	10	46991593.0	2	H	[57, 59, 60]
59	10	48060267.0	2	T	[57, 58, 60]
60	10	48060268.0	2	H	[58, 59, 61]
61	10	67845793.5	2	T	[60, 62, 63]
62	10	67845794.5	2	H	[64, 61, 63]
63	10	75826591.5	2	T	[64, 61, 62]
64	10	75826592.5	2	H	[65, 62, 63]
65	10	133785266.0	2	T	[64]
66	11	60458	2	H	[66, 67]
67	11	2089628.0	2	T	[66, 68]
68	11	2089629.0	3	H	[67, 69]
69	11	6076010.0	3	T	[68, 70]
70	11	6076011	2	H	[69, 71]
71	11	135069564	2	T	[70]
72	12	0	2	H	[73]
73	12	133263960	2	T	[72]
74	13	0	2	H	[75]
75	13	114352102	2	T	[74]
76	14	0	2	H	[77]
77	14	106873282	2	T	[76]
78	15	0.0	2	H	[79]
79	15	30766282.0	2	T	[80, 78]
80	15	30766283.0	2	H	[81, 82, 79]
81	15	31639515.0	2	T	[80, 82]
82	15	31639516.0	2	H	[80, 81, 83]
83	15	101976509.0	2	T	[82]
84	16	0	2	H	[85]
85	16	90224751	2	T	[84]
86	17	66653.0	3	H	[87]
87	17	21692279.0	3	T	[88, 86]
88	17	21692280	2	H	[89, 87]
89	17	22042417.0	2	T	[88, 90]
90	17	22042418.0	3	H	[89, 91]
91	17	22732567.0	3	T	[90, 92]
92	17	22732568	2	H	[91, 93]
93	17	26692352.0	2	T	[92, 94]
94	17	26692353.0	3	H	[93, 95]
95	17	38157112.0	3	T	[96, 94]
96	17	38157113.0	3	H	[97, 95]
97	17	78190794.0	3	T	[96, 98]
98	17	78190795	2	H	[97, 99]
99	17	83246391	2	T	[98]
100	18	0	2	H	[101]
101	18	80256374	2	T	[100]
102	19	0	2	H	[103]
103	19	58605715	2	T	[102]
104	20	0	2	H	[105]
105	20	64333718	2	T	[104]
106	21	0.0	2	H	[107]
107	21	16536770.0	2	T	[106, 108, 110]
108	21	16536771.0	2	H	[1, 107, 109]
109	21	25290980.25	2	T	[2, 108, 110]
110	21	25290981.25	2	H	[107, 109, 111]
111	21	46697230.0	2	T	[110]
112	22	10514804	2	H	[113]
113	22	21468510.0	2	T	[112, 114, 116]
114	22	21468511.0	1	H	[113, 115]
115	22	23392027.0	1	T	[114, 116]
116	22	23392028	2	H	[113, 115, 117]
117	22	50805586	2	T	[116]
118	23	0	2	H	[119]
119	23	156025612	2	T	[118]
120	24	0	0	H	[121]
121	24	57212132	0	T	[120]
