chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 1	1	248922424	q44	gneg	q44	Path1	-	1	True	243500000	243859912	gneg	0	Path1 : 1	1	q44	gneg	5442111	124461212.5
Path10 : 17	1	83150353	q25.1	gneg	q25	Path10	-	17	True	72900000	76800000	gneg	0	Path10 : 17	17	q25	gneg	10340673	41575177.0
Path11 : der(3)t(3;17)	1	25733456	p24.3	gpos100	p24	Path11	-	3	True	16300000	23800000	gneg	0	Path11 : (3;17)	3	p24	gpos100	9450893	12866728.5
Path11 : der(3)t(3;17)	25733456	27773514	q24.2	gneg	q24	Path11	-	17	True	68423038	69100000	gpos75	0	Path11 : (3;17)	3	q24	gpos100	2040058	26753485.0
Path11 : der(3)t(3;17)	27773514	202673068	q29	gneg	q29	Path11	-	3	False	192600000	198217553	gneg	0	Path11 : (3;17)	3	q29	gneg	5617553	115223291.0
Path12 : 4	1	190170277	q35.2	gpos25	q35	Path12	+	4	True	186200000	190196474	gneg	0	Path12 : 4	4	q35	gneg	7896474	95085139.0
Path13 : 4	1	180446519	q35.1	gneg	q35	Path13	-	4	True	182300000	186200000	gpos25	0	Path13 : 4	4	q35	gneg	7896474	90223260.0
Path14 : der(8)t(5;8)	1	116758425	q24.11	gneg	q24	Path14	-	8	True	116700000	116833878	gneg	0	Path14 : (8;5)	8	q24.1	gneg	133878	58379213.0
Path14 : der(8)t(5;8)	116758425	169195969	q35.1	gneg	q35	Path14	-	5	True	169000000	171227591	gneg	0	Path14 : (8;5)	8	q35	gneg	12460167	142977197.0
Path15 : der(8)t(5;8)	1	114203204	q23.3	gpos100	q23	Path15	+	8	True	111100000	111577190	gpos75	0	Path15 : (8;5)	8	q23	gpos100	2041158	57101602.5
Path15 : der(8)t(5;8)	114203204	117348612	q35.2	gpos25	q35	Path15	+	5	True	173300000	174373000	gneg	0	Path15 : (8;5)	8	q35	gneg	3145408	115775908.0
Path15 : der(8)t(5;8)	117348612	145588972	q24.3	gneg	q24	Path15	+	8	True	138900000	145074239	gneg	0	Path15 : (8;5)	8	q24.3	gneg	6174239	131468792.0
Path16 : 5	1	181333154	q35.3	gneg	q35	Path16	+	5	True	181308173	181466351	gneg	0	Path16 : 5	5	q35	gneg	12460167	90666577.5
Path17 : der(5)t(5;8)	1	314232063	q35.1	gneg	q35	Path17	-	5	True	169000000	171227591	gneg	0	Path17 : (5;8)	5	q35	gneg	2227591	157116032.0
Path17 : der(5)t(5;8)	314232063	347729110	q24.3	gneg	q24	Path17	-	8	False	138900000	145074239	gneg	0	Path17 : (5;8)	5	q24.3	gneg	6174239	330980586.5
Path18 : 6	1	170650536	q27	gneg	q27	Path18	+	6	True	164100000	170737419	gneg	0	Path18 : 6	6	q27	gneg	6637419	85325268.5
Path19 : 6	1	174401516	q27	gneg	q27	Path19	-	6	False	164100000	170737419	gneg	0	Path19 : 6	6	q27	gneg	6637419	87200758.5
Path2 : der(11)t(1;11)	1	100821820	p21.2	gneg	p21	Path2	+	1	True	99300000	100841506	gpos75	0	Path2 : (11;1)	11	p21	gpos100	6541505	50410910.5
Path2 : der(11)t(1;11)	100821820	220136797	q25	gneg	q25	Path2	+	11	True	130900000	135069565	gneg	0	Path2 : (11;1)	11	q25	gneg	4169565	160479308.5
Path20 : 7	1	159296179	q36.3	gneg	q36	Path20	+	7	True	155200000	159329464	gneg	0	Path20 : 7	7	q36	gneg	11129464	79648090.0
Path21 : 7	1	165052905	q36.1	gneg	q36	Path21	-	7	True	148200000	152800000	gneg	0	Path21 : 7	7	q36	gneg	11129464	82526453.0
Path22 : 9	1	138334465	q34.3	gneg	q34	Path22	+	9	False	134500000	138334464	gneg	0	Path22 : 9	9	q34	gneg	10834464	69167233.0
Path23 : 9	1	138334465	q34.11	gneg	q34	Path23	-	9	True	127500000	130600000	gneg	0	Path23 : 9	9	q34	gneg	10834464	69167233.0
Path24 : 10	1	133747528	q26.3	gneg	q26	Path24	+	10	True	128800000	133778994	gneg	0	Path24 : 10	10	q26	gneg	16478994	66873764.5
Path25 : 10	1	139758712	q26.11	gneg	q26	Path25	-	10	True	117300000	119900000	gneg	0	Path25 : 10	10	q26	gneg	16478994	69879356.5
Path26 : 12	1	133263961	q24.33	gneg	q24	Path26	+	12	False	128700000	133263960	gneg	0	Path26 : 12	12	q24.3	gneg	12963960	66631981.0
Path27 : 12	1	133263961	q24.31	gneg	q24	Path27	-	12	True	120300000	125400000	gneg	0	Path27 : 12	12	q24.3	gneg	12963960	66631981.0
Path28 : 13	1	98334275	q34	gneg	q34	Path28	+	13	True	109600000	114350910	gneg	0	Path28 : 13	13	q34	gneg	4750910	49167138.0
Path29 : 13	1	95925547	q34	gneg	q34	Path29	-	13	False	109600000	114350910	gneg	0	Path29 : 13	13	q34	gneg	4750910	47962774.0
Path3 : 11	1	135069565	q25	gneg	q25	Path3	-	11	False	130900000	135069565	gneg	0	Path3 : 11	11	q25	gneg	4169565	67534783.0
Path30 : 14	1	106873283	q32.33	gneg	q32	Path30	+	14	False	103500000	106873282	gneg	0	Path30 : 14	14	q32	gneg	17573282	53436642.0
Path31 : 14	1	106873283	q32.11	gneg	q32	Path31	-	14	True	89300000	91400000	gneg	0	Path31 : 14	14	q32	gneg	17573282	53436642.0
Path32 : 15	1	101976510	q26.3	gneg	q26	Path32	+	15	False	98000000	101976509	gneg	0	Path32 : 15	15	q26.3	gneg	3976509	50988255.5
Path33 : 15	1	101976510	q26.3	gneg	q26	Path33	-	15	False	98000000	101976509	gneg	0	Path33 : 15	15	q26.3	gneg	3976509	50988255.5
Path34 : 16	1	90224752	q24.3	gneg	q24	Path34	+	16	False	88700000	90224751	gneg	0	Path34 : 16	16	q24	gneg	6124751	45112376.5
Path35 : 16	1	90224752	q24.1	gneg	q24	Path35	-	16	True	84100000	87000000	gneg	0	Path35 : 16	16	q24	gneg	6124751	45112376.5
