chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path1 : 7	1	159334984	q36.1	gneg	q36	Path1	-	7	True	148200000	152800000	gneg	0	Path1 : 7	7	q36	gneg	11134984	79667492.5
Path10 : 4	1	190202565	q35.1	gneg	q35	Path10	-	4	True	182300000	186200000	gpos25	0	Path10 : 4	4	q35	gneg	7902564	95101283.0
Path11 : 5	1	181472715	q35.3	gneg	q35	Path11	+	5	False	177100000	181472714	gneg	0	Path11 : 5	5	q35	gneg	12472714	90736358.0
Path12 : 5	1	181472715	q35.1	gneg	q35	Path12	-	5	True	169000000	173300000	gneg	0	Path12 : 5	5	q35	gneg	12472714	90736358.0
Path13 : 6	1	170739894	q27	gneg	q27	Path13	+	6	True	164100000	170739897	gneg	0	Path13 : 6	6	q27	gneg	6639897	85369947.5
Path14 : 6	1	170739894	q27	gneg	q27	Path14	-	6	False	164100000	170739897	gneg	0	Path14 : 6	6	q27	gneg	6639897	85369947.5
Path15 : 8	1	144222119	q24.3	gneg	q24	Path15	+	8	True	144889180	145074239	gneg	0	Path15 : 8	8	q24.3	gneg	6173174	72111060.0
Path16 : 8	1	45315335	p23.3	gneg	p23	Path16	-	8	True	66488	2300000	gneg	0	Path16 : 8	8	p23	gneg	12733512	22657668.0
Path17 : 9	1	138196136	q34.3	gneg	q34	Path17	+	9	True	135199824	138326093	gneg	0	Path17 : 9	9	q34	gneg	10818651	69098068.5
Path18 : der(14)t(9;14)	1	29339066	q21.2	gneg	q21	Path18	+	14	True	43000000	45349426	gpos100	0	Path18 : (14;9)	14	q21	gpos100	7949426	14669533.5
Path18 : der(14)t(9;14)	29339066	36910526	p22.3	gneg	p22	Path18	+	9	True	14200000	15699304	gneg	0	Path18 : (14;9)	14	p22	gneg	1499304	33124796.0
Path18 : der(14)t(9;14)	36910526	95731988	q32.33	gneg	q32	Path18	+	14	True	103500000	106860576	gneg	0	Path18 : (14;9)	14	q32	gneg	17560576	66321257.0
Path19 : 14	1	100246470	q32.11	gneg	q32	Path19	-	14	True	89300000	91400000	gneg	0	Path19 : 14	14	q32	gneg	17560576	50123235.5
Path2 : der(7)t(1;7)	1	96529623	q21.3	gpos75	q21	Path2	+	7	False	93300000	96529622	gpos75	0	Path2 : (7;1)	7	q21	gpos100	18629622	48264812.0
Path2 : der(7)t(1;7)	96529623	101097716	p21.3	gpos75	p21	Path2	+	1	True	98898999	98953857	gpos75	0	Path2 : (7;1)	7	p21	gpos100	4568093	98813669.5
Path2 : der(7)t(1;7)	101097716	163903077	q36.3	gneg	q36	Path2	+	7	True	155200000	159334984	gneg	0	Path2 : (7;1)	7	q36	gneg	11134984	132500396.5
Path20 : der(9)t(9;14)	1	7361618	p24.3	gneg	p24	Path20	-	9	True	19799	298315	gneg	0	Path20 : (9;14)	9	p24	gneg	7361617	3680809.5
Path20 : der(9)t(9;14)	7361618	8560593	q21.2	gneg	q21	Path20	+	14	True	45384476	46583451	gneg	0	Path20 : (9;14)	9	q21	gpos100	1198975	7961105.5
Path20 : der(9)t(9;14)	8560593	17684717	p24.1	gneg	p24	Path20	-	9	True	7385150	7464905	gneg	0	Path20 : (9;14)	9	p24	gneg	8474952	13122655.0
Path20 : der(9)t(9;14)	17684717	20292580	q21.2	gneg	q21	Path20	-	14	True	45384476	46583451	gneg	0	Path20 : (9;14)	9	q21	gpos100	2607863	18988648.5
Path20 : der(9)t(9;14)	20292580	246761914	q34.11	gneg	q34	Path20	-	9	True	127500000	130600000	gneg	0	Path20 : (9;14)	9	q34	gneg	10818651	133527247.0
Path21 : 10	1	133707985	q26.3	gneg	q26	Path21	+	10	True	128800000	133778994	gneg	0	Path21 : 10	10	q26	gneg	16456078	66853993.0
Path22 : 10	1	115244157	q26.2	gpos50	q26	Path22	-	10	True	125798798	128800000	gneg	0	Path22 : 10	10	q26	gneg	7980196	57622079.0
Path23 : 11	1	135069566	q25	gneg	q25	Path23	+	11	False	130900000	135069565	gneg	0	Path23 : 11	11	q25	gneg	4169565	67534783.5
Path24 : 11	1	135069566	q25	gneg	q25	Path24	-	11	False	130900000	135069565	gneg	0	Path24 : 11	11	q25	gneg	4169565	67534783.5
Path25 : 12	1	133235952	q24.33	gneg	q24	Path25	+	12	True	128700000	133258008	gneg	0	Path25 : 12	12	q24.3	gneg	12958008	66617976.5
Path26 : 12	1	136131391	q24.31	gneg	q24	Path26	-	12	True	120300000	125400000	gneg	0	Path26 : 12	12	q24.3	gneg	12958008	68065696.0
Path27 : 13	1	114352103	q34	gneg	q34	Path27	+	13	False	109600000	114352102	gneg	0	Path27 : 13	13	q34	gneg	4752102	57176052.0
Path28 : 13	1	114352103	q34	gneg	q34	Path28	-	13	False	109600000	114352102	gneg	0	Path28 : 13	13	q34	gneg	4752102	57176052.0
Path29 : 15	1	84888916	q26.3	gneg	q26	Path29	+	15	True	98000000	101971270	gneg	0	Path29 : 15	15	q26.3	gneg	3971270	42444458.5
Path3 : 1	1	230654133	q44	gneg	q44	Path3	+	1	True	248670927	248942320	gneg	0	Path3 : 1	1	q44	gneg	5439650	115327067.0
Path30 : 15	1	92090701	q26.3	gneg	q26	Path30	-	15	False	98000000	101971270	gneg	0	Path30 : 15	15	q26.3	gneg	3971270	46045351.0
Path31 : 16	1	90224752	q24.3	gneg	q24	Path31	+	16	False	88700000	90224751	gneg	0	Path31 : 16	16	q24	gneg	6124751	45112376.5
Path32 : 16	1	90224752	q24.1	gneg	q24	Path32	-	16	True	84100000	87000000	gneg	0	Path32 : 16	16	q24	gneg	6124751	45112376.5
Path33 : 17	1	83152194	q25.3	gneg	q25	Path33	+	17	True	77200000	83240673	gneg	0	Path33 : 17	17	q25	gneg	10340673	41576097.5
